0s 主公啊,在下还有一计,可是宫锦不得不回事,不知主公愿意采拿否?
8s 快讲。
9s 主公,眼下曹操派张辽镇守河匪,此人也是元上将,正立兵莫马,准备加袭我东吴。
19s 主公何不提兵阳攻河匪,然后再炸败几镇,即令宫锦驰援。
25s 主公可以告诉他,去下河匪之后,大军即刻回攻京乡,这样宫锦必会提兵赌援。
34s 宫锦离开后,刘备自然会认为太平了,而恰在此时,曹操也会马上知道我大军已离开了京乡,而城中只有刘备区区两万兵马。
48s 请主公想想看,此时此刻曹操会怎样呢?
54s 曹操,断不会让刘备坐拥京乡,成心腹巨患。
60s 正是,曹操惯会用兵,他必然会趁我们攻打河匪之际,袭取京乡。
67s 如果曹操和刘备能够争得死去活来,那我江东就可以试遍了。
74s 紫敬啊,听紫敬言,如长夜得明灯,就照你说的做。
86s 主公过奖了,请主公和太夫人继续用餐吧,在下告退了。
108s 仲盟啊,我看鲁素之才不下于宫锦。
114s 母亲说得是。
117s 你大哥临终留下一言,军机事务竟交给宫锦。
122s 宫锦啊,本事是有,但过于心高气傲。
127s 如今又身受重伤,我担心他年命不永,江东失衣国助啊。
138s 母亲不必担心,先兄对我说过一句话,也许母亲不知道。
147s 说什么?
148s 说什么?
150s 就是刚才母亲所说的,紫敬之才,绝不下于宫锦。
162s 她还说,若有此人在,可保江东二十年无忧。
198s 紫敬,可把你给盼了。
200s 怎么样?
202s 怎么样?主公派的援兵何时能到?
204s 我没带援兵来,只带来了主公一道军令。
207s 宫锦伤势如何?
208s 不太好。
210s 我看不太好。
212s 紫敬,请我见大都督。
216s 请。
222s 半个月前,宫锦发寒,请主公增兵三万攻打南军。
231s 主公正要发兵时,何必突然传来敌警。
236s 张廖引军南藩,连破江北树寨。
239s 主公只好引这三万兵马连夜北上迎敌。
245s 没想到,张廖的军力十分强大。
249s 再加上,主公阵前缺乏良将。
253s 与他交手之后,连错数阵。
257s 不,主公命我星夜兼程至此,与大都督商量。
263s 商量什么?
264s 请大都督引军前往河匪主持那里的军事。
268s 至于荆州之事,等河匪战罢,回头再作打算。
273s 听起来,这向主公军令并不是商量。
284s 宫锦,河匪军情如火,还望以大局为重。
290s 张廖没有水失。
291s 他的兵马再强,对我江东也无多大威胁。
295s 倒是荆襄之地若不夺回来,终是我江东祸患。
310s 我看你还是先回去,向主公禀报我的请求。
316s 请他撤离河匪。
318s 仅留一支兵与张廖虚生相持即可。
327s 将三万军交与我征伐刘备。
330s 宫锦,
332s 张廖,
333s 将三万军交与我征伐刘备。
336s 宫锦,
338s 你久违大将,必冒之兵。
341s 现在河匪阵前,两军已是犬牙交错。
345s 主公如何撤得下来?
347s 如果仓促撤军,必成溃败之事。
351s 到那时,连动我江北各城恐怕都要失陷。
356s 几座江北小城重要,还是京乡重要?
358s 不错,丢几座江北城池其实并不可惜。
366s 可是,我们能够丢下主公不管吗?
372s 如果主公仓促撤军,必遭曹军的掩杀。
379s 宫锦,河匪那里的地势你是知道的。
382s 前面是强敌,后面是大将。
385s 张廖又是曹操的上将,久经沙场。
388s 主公一旦被他掩杀,只能是一退再退,追入险境。
392s 到那时三军不得不背水而战,险境转瞬之间就变成了绝境。
398s 你一旦遭遇不测,你我何以面对江东父老?
418s 宫锦,你不就想替主公征回京州吗?
429s 如果你同意,此事交与我来办。
433s 你引军前往河匪回援主公。
436s 我去找刘备说理讨回京州,我们分头行事。
439s 你看我可好了?说理能讨回京乡?
447s 这理在前,兵在后。
450s 再说,关于京州之事,刘备诸葛亮余功书着理。
455s 于是欠我的情啊。
457s 子敬好天真哪。
466s 宫锦也是太多智了。
469s 既然我们现在没有拿回京州,
472s 何不让我这个天真者去试他一试?
475s 就算我们拿不回来,去看一看。
480s 我不出军事所料,
492s 那曹操已经知道我们夺得京乡了,
495s 却按兵不动,并没有挥师难下收复尸地。
499s 只是战时没有吧?
501s 曹操眼巴巴地等着我们和吴侯争起来呢。
505s 但令人不解的是,
509s 孙权怎么在河匪跟张遼打起来了?
513s 说实话,这件事我也不解。
516s 主公,主公!
521s 鲁素先生过江来了,来求见主公。
524s 这正说江东的,江东就来人了。
528s 来者不善,善者不来。
530s 主公的不解之事,就要问问这个鲁素了。
534s 邀请。
535s 遵命。
537s 这么说,子敬还是要抢索京州喽。
547s 不,不是索取,是恭请皇叔归还。
553s 鲁大人,你可真会讲笑话。
556s 我哥哥又没借你的,凭什么还?
560s 易得这话说得好,真是好啊。
564s 张将军这话好在哪里呢?
569s 好就好在,他等于说了,如果借了,就应当还。
575s 对吗?
576s 对啊!
577s 刘皇叔早年犯过律,张将军早年卖过肉。
580s 虽然如今都成了气候,但不管怎么说,以前都是做过生意的。
601s 早年做的是小生意,如今做的是大生意。
605s 但是,不管生意是大是小,这里的规矩可都是一样的。
612s 什么规矩呢?
614s 谁投的本钱大,谁的获利就多。
618s 你就别绕弯子了,有话直说。
622s 张将军喜欢痛快。
624s 好,那在下就往痛快中说了。
632s 首先,刘皇叔有没有向我东吴借过东西呢?
637s 张将军说没有,而我说有。
641s 你向我东吴借过五万大军。
643s 你向我东吴借过八千三百位将士的性命。
647s 半年前,曹操引百万之众南下,连克京乡各军。
653s 将诸位逐的事递不过百亩,兵不过数千,可谓是命悬一线。
661s 使我江东以举国之力,败曹操于赤壁。
665s 以残船之机,方才能够有今日。
668s 张将军说没有,而我说有。
671s 张将军以举国之力,败曹操于赤壁。
675s 以残船之机,方才能够有今日之胜。
678s 而我东吴却为此付出了兵马、钱粮、性命等沉重代价。
684s 现在张打完了,我东吴不仅寸力未得。
689s 而京乡各军,反而却被贵军趁虚占下。
696s 王叔,易德啊,请你们门心自问。
702s 这何乎生意规矩吗?
705s 这何乎天理人情吗?
708s 这何乎皇叔一贯标榜的人意吗?
712s 紫禁啊,紫禁,好一张利嘴。
714s 先前相处多日,我竟没有看出来。该罚,该罚。
719s 空明过奖了,万急之下,老实人也会张口咬人的。
728s 理解,理解。
730s 刚才紫禁讲到了做生意的规矩。
733s 好,那我也来讲讲做生意的规矩。
737s 赤壁之战,东吴花的本大,获得利应该比我们大。
742s 但说到根上,荆州它不是利。
745s 它是刘景升的基业,是三十八年前大汉天子赤峰给刘表的属地。
750s 你怎么能把刘氏基业说成是东吴的?
753s 怎么能把天子赤峰当成利前买卖呢?
756s 刘景升去世后,荆香才被曹操夺占。
759s 如今,景升公子刘齐再三相请他的刘皇叔替他夺回祖业。
765s 我主这才不必刀兵,不计生死,从曹人手中夺回荆香,还予刘齐。
772s 吴侯,乃仁义之君。
775s 周公瑾和卢紫静,更是当代高士。
778s 你们总不会厚着脸皮,再从孤公子刘齐手中,把荆香夺走吧。
784s 如果这样,那和董卓、曹贼等人,
787s 瞧取豪夺之辈又有何意呢?
790s 孔明啊,就算你们夺取荆州,真的是为了还给公子刘齐,
797s 那你为何又要摆下借兵之计,
800s 诱我东吴出兵出力击败曹人,自己却趁虚夺城呢?
805s 你们这样做,是不是太不把我们江东当盟友了?
811s 敢问紫静,江东就把我们当成盟友了吗?
815s 此话何意啊?
816s 当初周瑜攻打曹仁时,口口声声说只带三万人,
821s 可是江上粮船上运的却是五万人用毒的粮草。
825s 他为什么带那么多人?
827s 他的本意分明是取荆州后,乘胜攻打江夏,
832s 拿下我主臣等人。
837s 江夏成小,难以躲避。
840s 我主公若不拿下荆州,恐怕早就成了周瑜的阶下楚裘了。
845s 原来周瑜早有祸心啊?
848s 要想打仗是吧?
850s 那就明刀真枪地干嘛?干嘛偷偷摸摸的?
854s 和孔明斗嘴,真是徒劳无益。
863s 紫静啊,我已将荆州还给刘齐公子了。
873s 且已上奏朝廷,封刘齐为荆襄刺史。
879s 让他封了荆州,
881s 你看这是。
883s 敢问公子何在啊?
885s 请刘齐公子。
887s 公子?
888s 公子病危多日,
890s 要不是紫静相逼,真不该让他出来相见。
933s 无心不忍啊。
934s 快请公子下去养息吧。
937s 好。
938s 今天我且擅自做一回主张。
949s 答应你们。
950s 回去劝我家主,
951s 先不去荆州。
964s 紫静啊,
966s 紫静果真是江东第一善人。
971s 我,我替刘齐公子拜谢了。
978s 不过,
979s 我现在要先替我家主公向皇叔讨句话。
984s 紫静请讲。
987s 刘齐既然在,
988s 荆州自然归他。
991s 好。
993s 刘齐既然在,
994s 荆州自然归他。
997s 可是,
998s 万一公子不在了呢?
1001s 到那时,
1002s 如果你们再站着荆州不还,
1004s 恐怕就没有道理了吧。
1007s 公子若在,
1008s 我主就替公子守一铁。
1011s 公子若不在,
1013s 荆州归属,
1014s 另当商议。
1016s 孔明修提商议二字。
1018s 我们已经退让一步了,
1020s 绝不再退。
1021s 我的意思是,
1022s 如若公子不在,
1023s 你们应该立即把城池归还给我们。
1027s 紫静,
1028s 我向来敬你是个磊落的人。
1031s 没想到,
1032s 你和公瑾一样,
1034s 滋诛毙叫。
1035s 原来孔明知道公瑾的脾气啊。
1041s 这样就好。
1043s 恕我直言,
1044s 公瑾的脾气大致。
1046s 他的脾气一上来,
1048s 六亲不认,
1049s 水火无敌。
1050s 就连我家主公也是拦他不下的。
1053s 最要紧的是,
1056s 他的脾气一上来,
1058s 我江东十万大军,
1060s 都会心甘情愿地跟着他。
1063s 刘皇叔啊,
1067s 如果你今天不答应此事,
1069s 就等于不给公瑾这个台阶下。
1072s 到那时,
1073s 公瑾定然会在南郡城下,
1075s 沉兵五万,
1076s 驻军三年。
1078s 如果你天天在刀光剑营里过日子,
1084s 真瞻吗?
1085s 如果事情真的到了这步天地,
1091s 这日子,
1092s 你我两家恐怕都不好过吧?
1104s 好,
1105s 紫荆果真是厚道人。
1108s 连我怎么过日子都替我想到了。
1111s 那好,
1112s 空明啊,
1114s 就依紫荆的意思办吧。
1116s 遵命。
1121s 来,
1122s 紫荆,
1124s 现在,
1125s 荆州事已罢了,
1127s 我们该喝酒了吧?
1128s 一醉方休,
1130s 一醉方休,
1131s 可好?
1132s 好。
1133s 遵命。
1134s 我已经仔细看过了,
1144s 刘齐已经病入膏肓,
1147s 长则半年,
1148s 短则三月,
1149s 七人必死。
1152s 到那时,
1153s 我们再去讨要荆州,
1155s 刘备必然是无言推辞。
1158s 就怕他们言而无信?
1160s 报!
1162s 大都督,
1163s 主公连发急令,
1164s 让都督替军赴河飞相助。
1166s 主公军令上不便说,
1174s 但是他肯定是陷入险境了。
1178s 这万一要是有什么闪失?
1181s 大都督,
1182s 既然刘备已经允诺
1184s 在刘齐死后归还荆州,
1186s 我看,
1187s 我们还是驰援主公为事。
1190s 程博。
1201s 在。
1203s 即刻率索不战船士族,
1206s 前往河飞听主公调用。
1209s 诺。
1210s 甘宁留下守巴陵郡。
1214s 诺。
1215s 林统留下守汉阳郡。
1217s 诺。
1218s 难道你不去河飞吗?
1226s 我?
1227s 你就禀报主公,
1240s 说我伤情未愈,
1242s 即刻奉还全部兵权,
1246s 为差葬养伤。
1248s 前几日,
1249s 灰师公娶南郡时,
1261s 大都督尚不提养伤的事情。
1263s 怎么今日去救河飞,
1265s 大都督就要养伤了呢?
1267s 主督养的不是剑伤,
1271s 而是心伤啊。
1273s 剑伤是曹仁给的,
1275s 这心伤是谁给的?
1277s 诸葛亮。
1278s 不,
1279s 是他自己给自己的啊。
1288s 孔明,
1289s 孔明,
1290s 喜讯啊。
1298s 什么喜讯?
1300s 吴君撤了。
1302s 撤?
1304s 怎么了?
1306s 你好像不是很高兴啊。
1308s 主公还记得
1310s 那天和在下讨论的那件事情吗?
1312s 何事?
1314s 昼玉宫南郡时,
1316s 吴侯为何北计河飞?
1318s 是啊。
1319s 当时你说,
1320s 此事要问卢子敬。
1325s 我问了,
1326s 他遮掩不说。
1328s 他走后,
1329s 我一直在思索此事。
1332s 现在我算明白了。
1334s 吴侯是以此
1335s 强使这件事。
1337s 吴侯是以此强使周瑜退兵。
1341s 这不是什么好兆头。
1343s 那先生的意思是?
1345s 孙权鲁素深明大局,
1348s 周瑜就不同了。
1350s 他在江东一诺千金,
1351s 其威望甚至超过了孙权。
1354s 如果孙权压得住周瑜还行,
1356s 万一压不住呢?
1358s 往后,
1360s 我们和江东之间
1361s 怕少不了摩擦呀。
1363s 还好,
1367s 上苍给了我们一些
1368s 时间让我们经略荆州。
1371s 只是公子刘齐的身子
1372s 让人心忧啊。
1374s 我已经问过医官了。
1379s 怎么样?
1381s 医官说
1382s 刘齐公子
1384s 熬不过几日了。
1386s 主公!
1403s 主公!
1404s 这里也太重了吧?
1406s 子敬啊,
1407s 你为东吴立下如此大功,
1409s 我出来迎迎你
1410s 还不应该吗?
1412s 公敬他又犯性子了。
1418s 他提出
1419s 昨天,
1420s 我已经接到他的辞呈了。
1423s 走,
1424s 先随我入营。
1425s 公公这么信任在下,
1438s 在下却没有办好主公
1440s 交办的事情。
1442s 甚感愧疚。
1444s 主公啊,
1445s 公君虽然赌气养伤去了,
1450s 可他在南郡却留下了
1452s 甘宁灵铜两只精锐。
1455s 我看
1456s 他还是想再找机会
1458s 吸取精香啊。
1460s 你不必过于自责,
1463s 公君的脾气
1464s 我是知道的。
1466s 能把他从南郡城下
1468s 拽回来
1470s 已经不易了。
1471s 公虚怀大度,
1473s 真是令在下敬佩。
1478s 说句实话,
1482s 自从伯父将军走后,
1484s 我一直心有动物的前途。
1486s 我才亲眼看到
1488s 主公的心胸志脉
1494s 定能够胜我父兄,
1496s 成就伟业。
1500s 我手无缚鸡之力
1502s 胸无欲敌之则,
1506s 怎敢与我父兄并敌。
1508s 我会威德加于四海,
1510s 囊括九州,
1515s 克掌帝业。
1516s 紫景,
1517s 我一直视你为忠义,
1529s 没想到你竟说出
1530s 如此悖逆的话来。
1532s 亏你还身为汉臣。
1534s 你难道忘了
1536s 天子还嫌疑许昌
1538s 草草图谋篡汉,
1540s 我们身为臣子
1541s 不能就主已是不中,
1542s 怎敢再生这等异性。
1544s 所言句句真心哪,
1546s 草草早晚必然成帝。
1553s 刘备虽然满口正统,
1556s 但他心里想的
1557s 也是九五之尊哪。
1558s 没有天下之赤,
1560s 怎么和草草刘备争雄。
1563s 如果不争雄,
1565s 又怎么能够独保
1566s 我江东不败啊。
1568s 紫景,
1569s 你的心意我都明白。
1582s 时机未到,
1584s 万不可说。
1588s 刘备有正统之命,
1592s 草草携天子,
1594s 义领诸侯。
1596s 而我孙全
1598s 东吾亦余矣,
1600s 只能讨悔待变哪。
1602s 你看你,
1607s 又扯远了不是。
1620s 我现在最最关心的是荆州。
1623s 刘备和草草之间
1625s 何时能斗起来。
1627s 主公啊,
1629s 草草一败于赤壁,
1631s 二败于南军。
1634s 他要想夺回荆州,
1637s 少说要用半年的光景
1639s 整顿兵马。
1641s 可这半年里,
1643s 刘备也不会荒备,
1645s 他还会有进一步的发展。
1648s 紫景何意?
1650s 我料想,
1652s 刘备得荆襄之后,
1654s 必是声势大震。
1656s 可是荆州地下,
1659s 又夹在草草和我东吾之间,
1662s 可谓是四战之地。
1665s 如果刘备想成就大业,
1667s 必然取得战略纵深,
1669s 这样才能够真正成为一方诸侯。
1673s 所以,
1675s 他必定会广招兵马,
1677s 分兵去取长沙、武陵、
1679s 贵阳、陵陵等地。
1681s 这些地方,
1688s 可都在草草的手里啊。
1690s 孔明啊,
1715s 荆州乃南北受敌之地。
1718s 孤处于此,
1720s 难以经常啊。
1722s 主公想常至荆州,
1725s 当问荆州才俊才是。
1727s 记常啊,
1731s 荆州有言曰,
1733s 马士武常,
1734s 白眉醉凉。
1736s 大家既然都这么说了,
1738s 记常,
1739s 定有良策献与主公吧。
1743s 俊师过奖。
1745s 马梁,
1746s 何不赐教?
1748s 乘如主公之言,
1751s 荆州,
1752s 就像一棵长在山口上的树。
1755s 东风刮过来,
1757s 西风又刮过去。
1759s 若想不到,
1760s 一者须生出千秋叶万年根。
1763s 二者,
1765s 还须将独木变成林啊。
1768s 请先生明示。
1773s 荆州襄阳,
1777s 连年保离战乱,
1779s 人口锐减,
1780s 缺兵少粮。
1782s 而,
1783s 南边的武陵,
1785s 长沙、贵阳、
1786s 陵陵四郡,
1787s 未经大乱。
1789s 足可养兵囤粮。
1792s 主公,
1793s 必须取下这四郡。
1796s 荆乡,
1797s 才可永固。
1799s 那这四郡,
1800s 当先取何郡呢?
1803s 湘江之西,
1805s 可先取陵陵,
1806s 次取武陵。
1808s 湘江之东马,
1810s 先取贵阳,
1811s 长沙为后。
1815s 济常乃一方贤士,
1817s 所献方略甚为妥当,
1819s 请主公纳制。
1821s 不过,
1823s 出征之前,
1824s 应先请刘齐去襄阳养病,
1826s 不管朝廷旨意下还是不下,
1828s 我们先尊他为荆乡刺史,
1830s 他领了这个名号,
1831s 我们才能取四郡,
1833s 因为四郡,
1834s 原本就是刘氏旧地。
1837s 好,
1838s 就这么办。
1839s 多好听的曲子,
1858s 乱世之中,
1862s 唯有我陵陵府上,
1866s 才有这敬心赏取的地方啊。
1870s 报!
1872s 不好了!
1873s 报!
1874s 陵墨太守,
1878s 据探子来报,
1879s 刘备刘棺于守金州,
1881s 差张飞为先锋,
1882s 赵云为后应,
1883s 亲率大军,
1884s 杀奔我陵陵而来啊!
1886s 刘备领了多少人来?
1887s 大约有一万人马。
1889s 刘军来得不多啊,
1890s 父亲修律。
1893s 兵马虽不多,
1895s 但别忘了,
1897s 刘备是天天大仗,
1899s 他手下的人,
1901s 个个都是身经百战啊,
1904s 更兼有张飞,
1906s 赵云二勇将,
1908s 跟他们比,
1909s 咱们这些兵,
1911s 那可就像是绵羊啊。
1914s 父亲太长他人志气了,
1916s 我们行道戎,
1918s 可是历敌万人的勇将,
1920s 只要他肯拼死一战,
1921s 刘备必败无疑。
1923s 主公,
1924s 尽可放心,
1926s 凭末将手中,
1927s 这把梨花开山斧,
1929s 定能叫什么张飞,
1931s 赵云之流,
1932s 有来无回。
1934s 主公,
1935s 末将必生亲诸葛亮,
1937s 活捉刘备,
1938s 献于主公。
1940s 好,
1941s 你如能击退刘备,
1943s 我表奏朝廷,
1945s 封你为车记将军,
1947s 赐金封侯。
1949s 谢主公。
1950s 足下何人?
1987s 说出武名,
1989s 吓如一跳,
1990s 我乃是
1991s 零零上将军,
1993s 行道戎。
1996s 厉害啊厉害,
1998s 现如今,
1999s 无名数倍,
2001s 都有弱大散文了。
2004s 你知道武是何人吗?
2007s 武乃南洋诸葛孔明也,
2010s 曹操营百万之重,
2012s 被武略师小稷,
2014s 杀得片甲不回。
2017s 如等,
2018s 岂敢与武对敌?
2024s 吹牛,
2025s 赤壁熬兵,
2029s 赤人皆知,
2030s 乃周瑜之谋,
2032s 甘辱何事?
2034s 还敢夸口,
2036s 待武驱人高头。
2038s 杀!
2040s 什么阵型啊?
2064s 诸葛亮急善阵阵啊,
2078s 这应该就是他的阵容了。
2082s 快,
2083s 传令下去,
2084s 止住行将军,
2085s 叫他不要犯险。
2087s 估计这来不及了。
2123s 你小子不是瞧不起
2185s 浪得虚名的卓君屠户吗?
2187s 怎么现在狼狈到这部天地了?
2191s 张将军饶命,
2192s 说实话,
2193s 小子以前也是一屠户,
2195s 玉将军你同宗一脉啊。
2197s 呸!
2198s 可后来到了
2199s 刘太守帐下,
2200s 朗玉充数做了上将,
2202s 我只为换口饭吃啊,
2203s 求张将军,
2205s 你现在想起来
2206s 跟张将军叙旧了?
2209s 晚了。
2210s 拉下去看吧。
2211s 诺!
2214s 大人啊!
2215s 大人!
2216s 小子少年八十岁了高达,
2218s 下雨还居如此,
2220s 求将军饶了我吧,
2222s 发我一大生路。
2223s 瞧你那个熊样,
2225s 长得五大三粗的,
2227s 像个马汉,
2228s 怎么如此怕死啊?
2229s 是是是。
2230s 你这脑子掉了,
2231s 不过晚大了吧?
2233s 怕是!
2234s 俺张飞最恨你这种窝囊废!
2236s 好!
2237s 待俺亲手砍了你!
2239s 走!
2240s 大人!
2241s 救命啊!
2242s 大人!
2243s 将军且慢!
2250s 新将军,
2252s 你让我说你什么好?
2254s 你万万不该骂易德
2256s 是虚名土壶。
2257s 他最恨别人骂他这个。
2260s 小子知道错了,
2261s 小子这辈子也不敢了,
2263s 小子有声有声也不敢了。
2265s 张将军,
2266s 拿刀把小的割了吧,
2267s 舌头给割了吧,
2268s 只要放小的一条生路,
2269s 小的少年八十岁高堂,
2271s 下雨还居。
2272s 好了好了。
2274s 念在你对令堂一片孝心,
2276s 我替你求个情。
2277s 听着,
2279s 若能拿一件大功劳来换,
2281s 我就让易德饶了你。
2283s 若军师敢放我回去,
2285s 我愿为内应,
2286s 引贵军来袭,
2287s 活捉刘氏父子,
2288s 先于军师。
2289s 那我凭什么信你?
2291s 小的已经知道错了,
2292s 小的万万不敢欺骗将军啊。
2295s 易德啊,
2296s 兴将军一片成心,
2298s 你就饶他一命吧。
2300s 主公,
2301s 你看此事如何?
2303s 好吧好吧,
2304s 就听军师的吧。
2306s 谢谢老爷,
2307s 谢谢张将军。
2308s 不用,在,
2309s 松绑。
2310s 诺。
2311s 谢谢张将军,
2312s 谢谢,谢谢。
2313s 那你如何个儿卸法?
2315s 这,
2316s 今夜三个,
2317s 请将军,
2318s 引贵军到陵陵城下。
2320s 小的举火为号,
2321s 打开大门,
2322s 以恭迎各位将军。
2323s 好了好了,
2325s 左右,
2326s 在,
2327s 送兴将军出营。
2328s 诺。
2330s 谢谢,
2331s 谢谢将军,
2332s 谢谢军师,
2333s 谢谢啊,
2334s 谢谢。
2340s 孔明啊,
2342s 这个兴某武艺稀松,
2344s 口舌刁钻,
2345s 还不到半柱相的功夫,
2347s 就把他的主子卖了两三回啊。
2350s 此等下贱之人,
2352s 其言其可轻心。
2354s 不瞒主公,
2356s 我早就看出行道荣是个无性小人。
2359s 他回去之后,
2360s 必定会吹嘘自己,
2362s 如何血斩三军,
2363s 如何手刃强贼,
2365s 最后杀出重围。
2367s 他不但不会帮我们做内应,
2370s 反而会引我们进入他们的埋伏。
2372s 而咱们呢?
2373s 正好,
2374s 将计就计。
2375s 对,
2376s 对。
2378s 好,
2379s 子龙,
2380s 易德,
2381s 听我说,
2382s 此次我们南下,
2384s 要想打败这四军的军守并不太难。
2387s 难的是,
2389s 既要攻取四军的土地,
2391s 更要取四军的人心啊。
2394s 所以我意,
2395s 能不战,
2396s 则尽量不战。
2398s 能少杀一人,
2399s 则定要少杀一人。
2401s 这才是上人之人,
2403s 上善之善。
2405s 切记,
2406s 不可与当地的官员结起恨来。
2410s 明白了。
2412s 在主公心里,
2414s 早就把四军,
2416s 当成自己的家业了吧。
2418s 我呀,
2421s 是什么都瞒不过你孔明啊。
