6s 末将是有意让他们给擒去的。
10s 什么?你是有意让他们给擒去的?
13s 刚才末将出战时,
19s 这敌方军事浩大。
21s 我想,
22s 此战只宜制曲,
25s 不宜强攻。
26s 所以,等我与张飞赵云接战时,
29s 我虽然可以抵挡一阵,
32s 却故意扬作不敌,
34s 有意让赵云包给拿下。
37s 那后来呢?
41s 后来到了刘备的中军大帐,
45s 刘备见了我,
46s 亲自为末将松绑,
48s 并许末将以高官厚路,
51s 赐金封爵。
53s 更无耻的是,
55s 刘备想收末将为女婿,
58s 硬要把女儿嫁于末将。
61s 星道荣,
62s 你艳福不浅哪。
64s 启禀主公,
68s 我岂不知刘备虚心假意,
70s 暗藏祸心。
72s 我呢,
73s 就假装接受了。
75s 果然,
76s 刘备让我扬作内应,
78s 约定今夜三更举火为后,
81s 他引兵来袭。
83s 主公,
84s 这可是天大的良机啊。
87s 到时,
88s 主公可以在城内设下伏兵,
90s 安排好弩手,
91s 待末将把他们引入瓮城,
93s 万箭齐发,
94s 射杀刘备张飞诸葛亮。
96s 到时候,
97s 本将军再以一队兵马,
98s 直取荆州,
99s 拿下关羽。
100s 此荆襄九郡,
101s 可竟归主公之首啊。
105s 妙计啊妙计,
106s 行道荣,
108s 看来你使计炸了刘备他们,
111s 可是,
113s 又怎见得你不会使计炸我们呢。
117s 公子,
118s 公子你,
120s 这么看待末将,
129s 我行道荣跟随主公多年,
135s 主公对我分同采造。
138s 我既能做出如此悲主之事啊。
142s 我行道荣,
143s 如有半句虚言,
146s 生死,
147s 天打雷劈,
148s 死死,
150s 错过扬回啊。
153s 行将军,
155s 是个直人,
162s 再说,
163s 依他的本事,
164s 是想不出这个诱敌伏击的主意的。
169s 这个主意,
170s 必是诸葛亮令他这么做的。
173s 道荣啊,
175s 我看,
176s 你就依计行事吧。
180s 末将,
181s 遵命。
185s 行将军何在?
186s 我家主公要和他说啊。
204s 刘皇叔何在?
205s 我家主公在此,
209s 快快打开城门。
217s 开城门。
218s 你中计了,
219s 还不快下马戳墙。
224s 不好,
261s 他一定有埋伏。
263s 赶快掩护主公,
264s 从中从尾。
265s 诺。
266s 放箭射杀。
267s 诺。
268s 你不要抓我吗?
270s 反倒被我给拿下了。
375s 左右。
376s 在。
377s 把他给我绑了。
378s 诺。
384s 公子,
385s 此人不是刘备。
387s 刘备,
388s 听这脚步声,
389s 定是大获全胜了。
427s 军师,
428s 你果然是料事如神啊。
430s 那行道容,
