10s 对面的那个人就是关羽吗
13s 怎么只带了几百个人来呀
16s 兵不在多而在精
19s 黄将军切不可轻视关羽
22s 此人曾在万军从中
24s 斩颜良诸文丑
25s 而且是匹马担刀
27s 过五关斩六将
28s 无人能敌
29s 韩大人哪
30s 这些区区小事
32s 黄某都听说过
33s 不值一审
35s 主公不必忧虑
41s 凭我手上长刀
43s 安下雕工
44s 一千个来一千个死
46s 几谷挖
48s 大人拭目以待
49s 看我刀斩哪
50s 关羽
52s 何须老将军出马
54s 待在下勤拿关羽
56s 好啊
57s 众杨将军
59s 先行出战
60s 为我长沙军斩将立威
63s 遵令
65s 你重重雷鼓
75s 众军士齐声呐喊
76s 为杨令助威
78s 遵命
81s 伟严 雷鼓
84s 大人
86s 杨将军已经听不到鼓声了
92s 黄忠 黄忠
93s 属下在此
95s 传令撤军吧
99s 不撤
100s 为何不撤
101s 因为天下没有第二个长沙
103s 人间也没有第二个黄忠
105s 待我拿他
110s 黄忠来人
116s 你就是黄忠
118s 既知我名 怎敢犯境
122s 回去吧
123s 你太老了
124s 官某的大刀不斩老幼
131s 族下岂不闻
132s 连坡六十上有余勇
135s 有我在
135s 你进不了长沙
137s 看刀
149s 黄将军竟然能追上他
303s 这不是关羽士斩又是战马
305s 你胜了
346s 我这颗人头
347s 你拿去吧
349s 我说过
351s 我从不杀老幼
381s 黄将军
383s 你的作计呢
385s 那马九叔战阵
386s 尸体栽倒了
388s 因此我败了一阵
391s 你的保调功呢
392s 也有百步穿杨的本领
394s 箭无虚发
395s 为何只跟他一味斗刀
398s 而不射杀关羽
400s 明日再战时
401s 我定射死那关羽
404s 好
405s 来人
406s 将我的宝马赠予黄忠
408s 祝你再战关羽
410s 谢大人
417s 黄忠说他的作计
420s 九叔战阵
422s 方才落马
425s 在下感觉
428s 此言断不可信
433s 为何
435s 那关羽与黄忠
437s 杀出战阵
440s 有兵士随其后
442s 军士亲眼看到
445s 关羽将黄忠砍落马下
448s 却舍不得杀
452s 那军士还亲耳听到关羽说
457s 你走吧
459s 不
460s 不杀老幼
461s 你看这
462s 黄忠战败
471s 关羽少他一命
472s 可疑之处就在于此啊
477s 大人请想
479s 那关羽
480s 既然是来取长沙
483s 我等便是他的死敌啊
488s 他为何对敌
490s 舍而不杀
493s 留他一命
496s 大人请想一想
499s 这桂阳郡
501s 是如何丢的呢
508s 赵云战败陈英
510s 却舍而不杀
513s 又是陈英做了内应
516s 里应外合
518s 写了成冠
520s 大人再请想一想
523s 这武林郡又是如何丢的
528s 从事宫制
532s 与长妃赶召
536s 叛逆投敌
539s 从背后射死其太守金玄
544s 后来
546s 竟接替主子
550s 做了武林太守
553s 那今日皇中与关羽之战
557s 岂不是有
558s 异曲同工之妙吗
568s 素来中意
571s 他不会叛我
575s 我连自己的作计
577s 都送与他了
579s 大人啊
581s 这害人之心不可有
584s 可防人之心不可无啊
594s 这样
596s 明天皇中出战时
598s 我会制下严令
600s 命他临敌前开弓放箭
603s 射死关羽
605s 以皇中百步穿杨的本领
608s 要想让关羽死
610s 一箭一定能取关羽性命
617s 如果他与关羽暗中勾结
621s 就虚张声势
623s 这箭头就一定射不准了
627s 这中世间我们拭目以待
634s 这太高明了
656s 皇中
657s 既饶你不死
659s 何敢再来啊
661s 皇中施主奉路
662s 就该与主分忧
664s 头可断志不屈
666s 只要我有一口气在
668s 足下休想进长沙呀
673s 你虽年迈
675s 却是个尽忠职守的将军
678s 那好
678s 我就成全你
680s 放马过来
681s 看刀
791s 本将无罪啊
793s 你以为我瞎了吗
800s 是战关羽
801s 你马是前蹄
803s 不忍杀辱
807s 这期间就必有关通了
809s 今日出战
811s 你两番虚拽攻险
814s 第三箭却只射他冒金
818s 这不是通贼
820s 又是什么
829s 若不杀辱
830s 必为长沙后患
833s 听令
834s 皇中推出府门
838s 当众斩首
840s 以敬小友
840s 诺
841s 大人 大人 大人
842s 好 好 好
843s 让老精请坐
844s 让老精请坐
845s 让老精请坐
846s 让老精请坐
847s 住口
850s 你们是想学武林城的拱志啊
854s 谁再给皇中说情
857s 与他缤嘴论处
869s 不与你们动手
872s 我自己来
906s 皇中通敌
908s 依法处死
910s 刀斧手听令
927s 未言
928s 你 你想造反
932s 汉生将军是长沙的屏障
935s 杀了他
936s 就等于是杀了全城的百姓
939s 皇中通敌
940s 太守下令斩首
942s 未言
943s 你
944s 你敢抗命
946s 连你一并斩首
949s 韩玄算什么东西
951s 残暴不仁 倾贤卖势
953s 祸害称上
955s 我早就想为民除害了
957s 中军士
958s 随我举议
962s 捕杀韩玄
963s 投奔流黄庐
965s 举议 举议 举议
968s 举议 举议
973s 举议 举议
973s 举议 举议
973s 举议 举议
973s 举议 举议
973s 举议 举议
974s 举议 举议
974s 举议 举议
974s 举议 举议
974s 举议 举议
974s 举议 举议
975s 魏妍
975s 快放下剑
976s 快乱来
977s 韩玄在哪里
1004s 魏妍
