0s 在下的意思是
2s 如果我们去咬荆州
4s 就要先想好了
6s 要得回来怎么办
8s 要不回来又怎么办
12s 嗯,说得对
20s 冷静下来一想
22s 还是要不回来的可能性大
24s 荆州这块肉
26s 他们不但已经倒嘴
28s 都吞到肚子里了
30s 怎肯轻易吐之
32s 主公啊
36s 请恕在下直言
38s 就眼下的形势来看
42s 刘备连得四军
44s 军力大涨
46s 兵锋正进
48s 这一消一涨之间
50s 双方的力量
52s 大致持平
54s 我料想
58s 诸葛亮算定
60s 我们不会与他开战
62s 因此
64s 他定会赖着荆州不还
66s 孔明奸诈
69s 刘备虚伪
71s 主公啊
73s 在这个乱世当中
75s 没有奸诈与虚伪
77s 只有强弱与高下
79s 正所谓
81s 成者英雄
83s 败者贼呀
85s 这个道理我也明白
91s 只是一时契机而已
95s 子敬
97s 我议定
99s 荆州非要不可
103s 要不回来
105s 也得要
107s 说白了
109s 就是明知要不回来
111s 却偏偏还要去要
113s 一者
115s 去要
117s 证明我们一直坚持荆州是我们的
119s 而刘备只是
121s 作客于荆州
123s 二者
125s 若不去要
127s 他们更会小觑于我们
129s 三者
131s 我们要
133s 则他们不给
135s 则使他们理亏
137s 待时机成熟时
139s 我们再用兵去荆州
141s 那是取
143s 自己之物
145s 义者兵政理政
149s 好
151s 主公说得正是啊
153s 我这就以
155s 为刘齐
157s 调丧为名
159s 前往荆州
164s 主公 子敬
166s 蒋亲
168s 你不是应该在芭林统军吗
170s 怎么跑到这里来了
172s 末将前来领取军械粮饷
174s 今日寄回芭林
176s 临行前特来拜见主公
178s 前方军情如何
180s 主公 很奇怪
182s 末将来此途中
184s 与我军少探相遇
186s 他们禀报说
188s 好像在提防大敌来犯之意
190s 朱国良果然在备战
196s 公瑾病情如何
200s 大都督他
202s 时好时坏
204s 你出来的时候
206s 公瑾身在何处
208s 大都督
210s 又报兵视察前线去了
212s 看来是公瑾
214s 让你来补充军械的吧
216s 是
218s 你辛苦了
222s 急回芭林去吧
224s 告退
236s 子敬 公瑾得知刘岐已死
238s 立刻补充军械准备动兵
240s 他是意在荆州
242s 你立刻就走
244s 先去芭林看望周瑜的病情
246s 务必要阻拦他和刘备交兵
248s 然后再渡江调丧
250s 索要荆州
252s 遵命
254s 大都督
303s 你的伤病又犯了吧
307s 不但没犯
309s 而且一日好过一日
311s 已经半个月了
313s 你一直握着这部残菌不放
315s 反复的毒
317s 不知道这是何人所助
319s 对你
321s 有这么重要吗
328s 此书哪一位高人所助
330s 毒来令我茅塞大开
332s 现在我已经能看破其心
335s 其智
337s 谁
342s 诸葛亮
344s 他是我的天敌
346s 如欲战胜敌人
348s 必先以敌为师
350s 动起他的所有心思
352s 否则就会被敌所灭
354s 荆州之役后
359s 我痛定死痛
361s 反复琢磨诸葛亮的用兵之道
363s 现在
365s 我已完全能看出此人长短
367s 我已完全能料出诸葛亮所有心思
369s 我必杀诸葛亮
371s 大都督英明
373s 大都督
386s 鲁素先生坐船抵押了
388s 我又得跟他大吵一架了
392s 大都督
394s 你可以撑并不见啊
396s 岂敢
398s 不但得见
400s 还得出营
402s 听着
405s 你们谁敢对鲁素不敬
407s 我绝不轻饶
409s 遵命
418s 躬进你那
420s 紫禁此行是向刘备讨完荆州吧
422s 是啊
424s 刘齐升天了
426s 我们和刘备早就有约在先
428s 刘齐不在
430s 他就应该还我们荆州啊
434s 那不过是诸葛亮的一句托词
436s 紫禁你觉得
438s 狗嘴里要得回肉包子吗
442s 不愧是公瑾啊
444s 一眼就看出要害
446s 不过主公的决断是
448s 要不回
450s 我们也要要
452s 好 有气魄
456s 公瑾啊
458s 你到这芭林振钱来了
460s 使军
462s 不闻军鼓
464s 浑身的不自在
466s 果真如此吗
468s 你可是刚刚让
470s 蒋亲领了两万人的
472s 粮饷军械啊
474s 主公担忧我向荆州用兵
476s 对吗
480s 公瑾啊
482s 此次荆州不管要都回
484s 要不回
486s 我们都不能和刘备交战
494s 公瑾啊
496s 你知道
498s 刘备刚刚取下长沙四军
500s 军威大震
502s 而我们在河北损兵折将
504s 上疆太史寺
506s 也阵亡了
508s 这一宵一掌之间
510s 孙刘两家
512s 几乎是士军力敌
514s 再加上诸葛亮
518s 早就把大部分精锐部队
520s 收缩在荆州
522s 这说明
524s 他对我们早就有了防备
526s 你说得对
528s 不过你知道此时此刻
532s 诸葛亮是怎么想的
536s 都督明是
540s 诸葛亮早就看破了你的心思
542s 他算定我们不敢跟他开战
546s 诸葛亮认为
548s 只要曹操在
550s 东吴就不会让孙刘联盟解体
552s 主公和你
554s 不会为了一个荆州
556s 跟刘备翻脸
558s 所以你前去荆州必定空跑一趟
560s 诸葛亮也一定会赖着荆州不悔
562s 不错
566s 这的确是诸葛亮的心思
568s 被你一语道破
570s 在下佩服
572s 但是
577s 请你赐我一句实话
580s 你真的要
584s 聚兵攻打荆州吗
586s 太像了
596s 咒死也像
601s 我早就令吕蒙干宁讲清
603s 在此立兵莫马
605s 三个多月
607s 将士们斗志高昂
609s 恨不得即刻
611s 一雪荆州之耻
615s 不瞒你说
619s 我已经下令向芭林
621s 两翼进军
623s 步军三万水军五万分道行进
625s 三天之后
627s 就可抵荆州城下
629s 你无权这么做
635s 别忘了我是大都督
637s 可战和大计不是由你来决定
639s 这必须听主公的决断
641s 别忘了
643s 我这个大都督屡屡势全傲尚
645s 我师父偏偏就不听主公
649s 你
662s 紫禁啊
665s 我不会跟刘备开战的
667s 因为战机未到
671s 既然不战
685s 你为何还要向荆州用兵啊
687s 既然要不到荆州
689s 你为何还要取药啊
695s 何非
704s 你是在用
706s 移兵之计啊
708s 正是
713s 诸葛亮以为我们不敢跟他翻脸
715s 我偏要
717s 大举兵马
719s 做出宁为玉碎不为瓦全的样子
721s 对待诸葛亮这样的人
723s 三寸肉舌有何用
725s 他这个善变之徒
729s 恰恰最不相信的就是
731s 三寸肉舌必须兵戈相接
733s 紫禁你可以告诉他
739s 如果不还荆州
741s 我终于将不惜一战
743s 我这么做是为了你啊
749s 我高举战刀在后
753s 你才好一正言辞地
755s 向他们索要劲
757s 原来如此
768s 在下多谢相助了
770s 此外
775s 将士们练兵多日
777s 也应该出计一下了
779s 乔山镇
783s 看看荆州方面如何应付
785s 早晚回来
789s 此行即使要不到荆州
806s 也要让他们明白
810s 今日这一仗是他们欠下的
812s 拖得越久
816s 缓得越多
820s 公瑾啊你快回去吧
822s 我就不进军营了
824s 那你要干嘛
831s 公瑾啊你看
833s 明月当头好风无限
835s 我这就渡过江区
837s 明天
839s 就可以进入荆州城了
841s 刚到就走了
844s 这样还辛苦
846s 还是歇疑了
921s 你星夜赶来奔丧
923s 星夜
925s 多谢了
931s 皇叔休息
933s 因为接下来
935s 我倒想看看
937s 皇叔的仁义之心了
941s 有件事情容在下
943s 向皇叔请教
945s 请教
947s 前者皇叔有言
949s 公子不在
951s 急还荆州
953s 现在公子已经去世了
955s 皇叔可以兑现诺言了
957s 何时
960s 可以教歌呀
965s 这件事情
967s 能否
969s 暂缓两日
971s 容以后再议
973s 以后
976s 这以后又是何时
982s 紫荆啊
984s 你好不通情理
986s 大丧之日怎提这旧事
990s 正是
992s 大丧之日人无虚
994s 再说
996s 当着公子留起的灵位
998s 提此旧事
1000s 亦发显得真切
1002s 普天之下
1008s 莫非王土
1010s 率土之兵莫非王臣
1012s 荆州是谁的
1014s 是你主吾侯的还是草草的
1017s 他都不是
1019s 他是朝廷
1021s 当年高皇帝
1023s 斩舌取义
1025s 费了多少艰辛才开创了大汉
1027s 不幸
1029s 奸雄并起各举一方
1031s 荆州才落入草草手中
1033s 但无论任何人
1035s 用任何方式站着
1037s 他都该姓刘
1039s 因为天子姓刘
1043s 我主乃孝敬皇帝玄孙
1045s 中山晋王之后
1047s 经皇上之书
1049s 我主占着荆襄
1051s 成的是大汉祖爷
1053s 儒主
1055s 乃前堂小吏之子
1057s 已经占据江东
1059s 赏赐贪心不足
1061s 而欲并吞汉土
1063s 不给我主力追之敌
1065s 这适合道理
1067s 孔明不必诡辩
1073s 我只当皇叔是仁义之君
1077s 所以今天
1079s 才请他兑现诺言
1081s 当初我和皇叔相约时
1086s 足下也是在场的呀
1088s 难道今日皇叔
1092s 要做不信不义之人吗
1094s 子敬
1096s 你也是世之高人
1098s 当年我主
1100s 三让徐州之事
1102s 你应该听说过吗
1104s 我主一向是仁义之君
1106s 过去 今日 将来
1108s 都是
1110s 他一向把仁义看得比生命还重
1113s 我主
1115s 自占荆州后
1117s 忍着东吴一帮人的购骂
1119s 他心里好受
1121s 他不好受
1123s 但不好受也得受着
1125s 为何
1127s 因为他心里
1129s 有比性意和生命更重要的事情
1131s 忠心汉室
1137s 也许你会笑皇叔
1148s 都什么世道了
1150s 还大言不休地
1152s 谈汉室容衰
1154s 可是
1156s 皇叔乃帝室之咒
1158s 就算天下人都忘了大汉
1160s 他也不能忘
1162s 如今
1164s 天子被曹操挟制
1166s 无苦苟言
1168s 皇叔的心每天都在为此受着煎熬
1170s 皇叔休恼
1177s 在下素知
1179s 皇叔乃忠义之君
1181s 紫荆啊
1186s 我是汉臣
1188s 你也是汉臣
1190s 你我祖上几代人都使着汉路
1192s 就算不是汉臣
1194s 也是汉民
1196s 但周瑜忘本了
1198s 不明白势力
1200s 足下一直是个明理之人
1202s 是想
1204s 皇叔若没有一块立足之地
1206s 又怎能忠心汉室
1208s 怎能救天子于水火
1210s 更何况
1212s 怎么抵抗曹贼
1215s 说得好
1217s 据我所知
1219s 曹操最无信意
1224s 我族下心忧天下
1226s 那就更应该以信意为本
1230s 再说
1232s 如果皇叔想服汉
1234s 只凭一己之力
1236s 恐怕不行吧
1238s 师本
1240s 如果没有我主吴侯之力
1242s 你们能有今日之胜吗
1246s 此话不错
1250s 紫荆是忠厚之人
1252s 我与吴侯能够联手抗曹
1254s 有一半
1256s 是靠族下的援建着实
1260s 皇叔高看在下了
1264s 说实话
1268s 原来
1270s 我一直千方百计地
1272s 维持孙柳两家
1274s 联合的局面
1276s 为了达到这个目的
1278s 我也曾劝解过我家主公
1280s 对你们做了些让步
1284s 但是凡事总应该有个度吧
1286s 恕我放肆
1288s 如果皇叔食言自肥
1290s 非占着荆州不还
1294s 那么
1296s 即便我主吴侯能忍
1298s 恐怕
1300s 有的人却是不能忍的
1302s 何人
1304s 东吴长兵大都督
1306s 周瑜周公瑾
1312s 周瑜想动兵吗
1314s 伤势未愈
1316s 脾气还这么糟
1322s 足下知道周郎的脾气就好
1324s 不错
1326s 荆州之役
1328s 他气得吐了血
1330s 但是
1332s 一旦有个机会
1334s 让他可以血恨
1336s 或者说
1340s 血齿罢
1342s 我想即便是我家主公
1344s 也会拦他不住的
1348s 前天他竟然命令
1350s 三万步军五万水军
1352s 东进
1354s 对此
1356s 你们的少记
1358s 应该早就有所探报了吧
1364s 所幸的是
1366s 我家主公当机离断
1368s 夺了公瑾的兵权
1370s 又令步军和水军
1372s 原地驻扎待命
1376s 六皇叔
1378s 人心不可欺
1380s 如果逼急了
1382s 江东的将士们
1384s 是不惜玉石俱焚的
1386s 好
1397s 子敬这番话
1399s 很是诚恳
1401s 义足下的意思
1405s 眼下荆州这件事
1407s 该如何办
1409s 这句话
