4s 此时的来意我已经知道了
9s 还请主公答应这门亲事
11s 此事为大叙喜
16s 明日我先派人前往江东
20s 拜谢孙权
25s 深深拜谢吴侯美意
27s 及愿娶吴侯之妹为妻
35s 数日之后便有聘礼送到
37s 孙柳两家不但是抗曹同盟
41s 也成因亲
43s 张藤结彩之日
44s 曹操定然胆狠
47s 草草定然胆狠
51s 吴侯说得极是
54s 我主命在下请示吴侯
56s 不知何时可以成亲呢
59s 刘备何时来建康
61s 何时便可成亲
64s 吴侯 我主为何要来建康
67s 小姐不是要出嫁荆州吗
69s 我主可以在江边迎亲呢
73s 五妹年幼
75s 家母不愿让小妹远嫁
79s 非要让刘备入赘东吴成亲
84s 原来是要我主入赘东吴啊
89s 告诉皇叔
90s 从建康到荆州
92s 不过两日水路
94s 成亲之后
95s 他愿意在此待多久就待多久
98s 如不愿意
99s 随时可带新婚妻子
102s 返回荆州去
104s 说什么
105s 要让主公去建康成亲
107s 是啊
108s 孙权说
110s 小妹年轻
111s 太夫人舍不得
112s 要找主公入赘东吴
115s 成亲后
116s 主公想住多久就住多久
118s 想把新婚妻子接回来
120s 就接回来
122s 昨夜我通宵未眠
125s 一直在考虑此事
127s 现在我想好了
131s 娶孙小妹为妻
136s 和东吴结亲
137s 大哥
138s 你真打算要这么亲事啊
141s 这不成啊
143s 为何
144s 大哥
145s 你想想看
146s 当年讨伐董卓的时候
148s 咱们就和吴侯他爹孙坚谋事
152s 照这么算来
153s 他吴侯应该是你的侄儿啊
157s 可现在
158s 这
159s 你却要去做上门女婿
161s 还要尊纳二十多岁的
163s 孜然小儿为舅兄
165s 这
165s 这 这岂不是自哀三分吗
169s 是啊 大哥
171s 此事过于屈辱
174s 会让天下人耻笑
178s 屈辱
179s 这么多年
180s 我们受过的屈辱少吗
183s 为了这历尽千辛万苦
185s 得来的江汉之地
187s 我做一回上门女婿
190s 称她孙全一声舅兄
192s 又如何
193s 又会怎么样
196s 主公
198s 我也觉得此事不妥
202s 你怎么也变卦了
203s 你不是一直主张
204s 我答应这门亲事吗
207s 我是没有料到
208s 孙全会让主公入赘东吴
211s 事情变化得太快了
213s 我担心其中有诈
215s 主公若是去了
217s 一旦不测
218s 安危谁顾
221s 军师说得没错
223s 此事
224s 一定是周瑜的主意
226s 那小子一直没安好心
228s 可不是吗
230s 大哥
231s 这就跟打仗一样
233s 他们已经埋下伏击了
236s 周郎那小子
237s 用吴侯的妹妹做儿
239s 是想诱大哥入瓮啊
245s 你们多虑了
255s 我想啊
257s 应该是
259s 孙全经合肥之败
262s 担心曹操会趁胜进军
264s 渴望和我们
265s 结成更紧密的联盟吧
269s 再说了
270s 人家刚刚准了我们
272s 借荆州为本
274s 我们要是回绝了这门亲事
276s 那岂不是让人家恼羞成怒
280s 为大局计
282s 也必须答应
290s 两难那两难
293s 何为两难
296s 去也难
297s 不去也难
299s 如果主公拒绝连樱
301s 不去建康
303s 那他就是羞辱了整个东吴
305s 那时候
306s 周瑜带兵攻荆州时
308s 东吴大军同仇敌忾
310s 两军交战
311s 孙刘就会两败俱伤
312s 从中得利的
314s 是曹操
317s 如果大哥要是去了呢
319s 那周瑜的如意算盘
320s 就得逞了
322s 前时
324s 他在南郡损兵折疆
326s 自己中了一箭
327s 也没有攻下荆州
329s 可现在
331s 他把主公捏在手里
333s 以主公
334s 要挟我们
335s 归还荆州主军
337s 对对对
338s 军师说得对
340s 大哥
341s 你不能去
343s 大哥
344s 咱们不能自投罗网啊
347s 我得去
354s 好
359s 大哥
363s 事情已经很明白了
366s 去就是庆节
367s 不去就是仇节
369s 我们不能跟东吴翻脸
372s 如果我不去成亲
374s 周瑜动兵率军袭荆
376s 荆乡必为
377s 大局崩坏
379s 如果我去了
380s 他周瑜就没有
381s 任何动兵的理由了
385s 二位贤弟啊
387s 我们打了十几年的仗了
389s 我们尝尽了颠沛流离
391s 寄人篱下的苦头
394s 今天
395s 总算有了这么一块地盘
398s 你们让我怎么能够
399s 舍得放弃呢
402s 大哥
405s 如果周瑜他叩见你
408s 管你要荆州
410s 那荆州一样是不薄啊
412s 是啊
414s 叩我一人何用
418s 有你们和军师都在这
420s 荆州无忧
422s 再说了
423s 我就不信他周瑜
424s 能把我怎么样
426s 我现在就跟你们
427s 立一条规矩
429s 我去江东以后
431s 荆乡一应大势
433s 军由军师做主
435s 凡是从江东
436s 传来我的号令
437s 你们可以一概不放
447s 他们要永远不放你回来呢
450s 你们不用担心
452s 你们只管一心整军精
455s 只要咱们在荆州
457s 把根基扎牢了
458s 只要兵强马壮
460s 由不得他不放人
462s 大哥
463s 大哥
464s 好了
465s 事情就这么定了
467s 你们谁也不必再劝了
498s 二弟 三弟
499s 明天我就要走了
501s 积下这些兵马不易啊
504s 你们可要把他们练好了
508s 大哥 你再想想
510s 这不去不行吗
512s 云彰
513s 我知你心思
516s 可是没有办法呀
520s 老天从来都
522s 不曾厚待过我们
524s 一切都要靠我们
525s 自己去争
528s 一丝求存的机会
530s 我都不敢放过
534s 大哥
535s 你执意要冒这个险
537s 做兄弟的
539s 也劝不住
540s 有句话
543s 我还是想说
544s 二弟
546s 在大哥面前
547s 没必要吞吞吐吐的
549s 有什么你直言无妨
554s 军师朱葛亮他
560s 说呀
564s 他在投降大哥之前
566s 以有卧龙之称
568s 龙
570s 可是帝王之生啊
573s 他执谋过人
576s 我等兄弟不是他的对手
578s 大哥走后
580s 如果把荆襄的军政
