4s 我身为武侯,你怎能擅自用兵?
12s 这江东到底你是主,回府待
154s 刘文大军去西荆州,又不知道,对
173s 杜公做得完全正确,孙柳联盟不能坏
183s 我们现在绝不能和刘备开战
187s 有你这句话,我悬着的心就落下一半
196s 那是公瑾留下的兵符
198s 你令人把他制到芭林
201s 传我的令,命所有进军的军队
206s 立刻回营,待命
210s 主公啊,我料想兵符到后
215s 停止行军可以
218s 可是让那些军队回营
221s 为何?
226s 芭林将士只听命于公瑾
229s 只凭主公一声之令,怕是调不动
232s 我当了十年的武侯了
236s 这东吴到底是姓孙还是姓周?
242s 传我的令,让他们送回营
248s 敢有不尊者,杀
250s 大都督,你有伤在身,身体虚弱
265s 不能再饮酒了
266s 连你也敢管我
268s 退下
271s 大都督,你真的不能再喝了
275s 滚开
278s 大都督,就算你打死末将
281s 末将也不能再让你喝了
285s 我打伤你了
287s 不,末将无碍
300s 大都督伤得更重
302s 我为孙氏赴堂蹈火十几年
305s 主公年少,不安世事
315s 你就不要再怪他了
331s 我恨的是那诸葛匹夫
333s 一定是他看透了主公好面子的弱点
342s 让刘备青州直下
344s 到建康大半聘礼弄得近人皆知
349s 逼得主公不得不嫁美于他
352s 你就不要再难过了
354s 主公心意已决
362s 此事难以改变
364s 现在重要的是大都督一定要保重身体
367s 不能一日没有大都督
369s 已经没有周瑜了
373s 主公,末将刚刚从芭令回来
395s 怎么样,他们撤军了吗
398s 丁凤、蒋钦、甘霖等将都说
402s 如果此时让他们撤下
404s 诸葛亮必定会挥失东晋
407s 芭令必失
409s 因此他们请主公三思
412s 什么,让我三思
418s 你太胡言
421s 刘备在建康
423s 诸葛亮只会虚张声势
425s 怎会在这个时候挥失东晋
427s 这分明是他们抗敌的托词
429s 你执我建议立个传令
431s 将他们全都挥失
433s 你以为你是曹操啊
435s 家大业大
436s 我东吴有多少战将让你来免
440s 母亲
442s 母亲
443s 孩儿最近心烦事太多
449s 一时怒气
451s 做人主的
453s 应该能忍常人所不能忍
456s 宽人为怀,虔诚待世
459s 以周瑜在军中的威信
462s 你罢免了他
464s 那些青年将领
466s 只怕都会与你离心离德
468s 没他们扶持
470s 我看你这个吴侯还能当几天
473s 母亲
475s 可
476s 可是事情已经僵持在这
478s 孩儿
480s 也是束手无策
482s 我告诉你一策
484s 马上把兵符给公瑾送回去
487s 请她继续执掌大都督
489s 母亲
490s 你让我还她兵符
496s 我可以给她送过去
498s 但是
499s 依公瑾之计要袭取荆州
502s 这样
503s 势必会激进孙柳大战
505s 大局崩溃
509s 不会有大战
510s 也不会有崩溃
512s 母亲经历那么多兴风学雨
514s 这道理焉能不懂
517s 现在
518s 首先是你们主臣将帅
520s 要同心同德
522s 尤其是你
524s 不能和周瑜闹翻
526s 母亲的意思是
532s 只能把小妹嫁给刘备了
540s 孙柳两家皆为亲家
543s 母亲
544s 你不是不愿意吗
552s 我真不愿意
556s 我十八岁的女儿
558s 去侍奉一个四十八岁的老头
561s 为了保住你父兄留下的记忆
567s 别无选择
571s 主公
572s 奴才即刻禀报都督
590s 我和公瑾是兄弟
591s 你不必禀报
593s 看你来了
594s 拜见主公
602s 公瑾还是在生我气
643s 兵符我给你送来了
654s 你收也得收
656s 不收也得收
658s 这件事
664s 说起来是我的不对
666s 你与五兄同年
670s 师武为弟
672s 奉我母为姬母
675s 当年
677s 五兄渡江沽刘遥时
679s 你率亲族子侄相从
682s 那时
683s 我孙嘉语就迁于兵马
685s 没有你公瑾
687s 就没有我江东之地
691s 先兄
700s 一直视你为手足绑壁
702s 他在临终前留下一句话
705s 内事不绝问张昭
708s 外事不绝问周瑜
712s 可见你在我先兄心中
715s 在东吴八十一县中
718s 是何等地位
720s 是我错了
725s 是我违背了先兄的一言
728s 我想赔罪
732s 主公
734s 在下向主公请罪
737s 公瑾
738s 名为君臣
739s 世为兄弟
744s 我年纪轻
745s 经得世手
747s 难免不搬错事
749s 你是当哥哥的
751s 就不能原谅我一回吗
754s 你就别再说了
761s 我收回来
767s 荆州之事
768s 我都听你的
774s 你说该怎么办吧
775s 那好
776s 请主公这就下令
778s 拿下刘备
782s 进军荆州
783s 主公
784s 此事断不可一日
785s 公瑾
786s 此境
788s 主公
789s 我亲自去了趟芭林前线
791s 攻袭荆州的六万大军
793s 已经全部归迎了
794s 你
796s 公瑾
797s 刘备是汉制宗室
799s 现在剪灭他
800s 就等于与汉为敌
802s 如今天下人
803s 皆视曹操为国贼
805s 如果我们现在
806s 如果我们现在除掉刘备
808s 那么天下人
809s 就要以我们为国贼了
811s 什么汉制宗室
813s 虚名罢了
816s 刘备跟曹操一样
817s 都是乱世枭雄
819s 表面仁义
820s 心图天下
822s 我们必须趁其羽翼未丰时
824s 剪除他
825s 否则待他强大起来
827s 我东吴面对的
828s 就不止曹操这一方大敌了
831s 主公
832s 当今天下三族鼎立
834s 曹操强孙柳弱
835s 如果两个弱者相拼
837s 那么曹操必得天下
838s 我等皆为其虏
840s 不到万不得已
841s 切不可和诸葛亮交兵
844s 主公
847s 有人议论
859s 公瑾数度想灭刘备
861s 是因为不服诸葛亮之故
864s 其实根本没那么回事
867s 公瑾早就深谋远虑
871s 东西刘备自是正统之名
873s 兼有官章二人之用
875s 纵之
876s 纵之
877s 是养虎为患
880s 刘备这个人
882s 善于左右取巧 顺势而动
