3s 车架备好了吗?
16s 回太夫人,在前头候着呢。
19s 如果你香中了,就吹这支枭吧。
41s 这是你父亲留下的。
44s 他战死之后,江东竟落他人之手。
50s 家里的东西,差不多都丢光了。
57s 就留下这样物件。
60s 你大哥带着他,从江北打到江南,身负五重。
71s 他说,再多回江东故地,他又走了。
86s 每一次对着江东故地,吹起这支枭,能看见你父亲。
161s 空飞几兆,我看还是不去的好啊。
164s 一坨鸭粪就能挡住我了。
173s 子龙,只带上我的贴身侍卫,其余的全部留下。
178s 出发。
179s 上马。
184s 孙权恭迎皇叔。
216s 刘备拜见吴侯。
221s 皇叔请。
245s 皇叔请。
246s 卓俊刘备拜见太夫人。
263s 刘备啊,张昭跟我说,你是龙凤之姿,日月之表。
270s 今日相见,果然。
274s 太夫人谬赞了,刘备不敢当。
277s 请入席吧。
279s 太夫人请。
281s 你们也入座吧。
285s 谢太夫人。
301s 小姐,这就是刘备,你意下如何?
310s 上酒。
315s 来,刘备,请。
318s 太夫人请。
320s 吴侯请。
321s 吴侯,你既让我主公来相亲,为何伏兵于两厢?
356s 两厢,有伏兵吗?
360s 我这双耳朵,能听到百米之外的雨剑之音,还辩不出来十步之外有人拔刃吗?
367s 太夫人面前,怎敢动刀动枪?
381s 退下。
383s 若杀刘备,就此请诛。
435s 皇叔何出此言?
437s 郎下这些刀斧手,不是为我刘备而来吗?
442s 你也算是一方诛侯,这是待客之道吗?
451s 母后息怒,孩儿实不知,待我问清楚后,定重责不饶。
464s 贾华。
465s 末将在。
469s 是谁指使你这么干的?
471s 主公,是我。
480s 吕蒙,你好大胆子,退下。
496s 主公,刘备背信弃义,赌我荆州,杀我将士。
505s 今日,我要为在南军阵亡的弟兄们复仇。
514s 放肆。
515s 吕蒙疯了。
518s 来人,拦手。
520s 是。
521s 主公。
523s 吴侯且慢。
524s 今日是喜庆之日,斩将于亲不利。
542s 子明所恨,不是他一个人的恨。
547s 只怕是整个江东将士之恨。
550s 他恨得有道理。
552s 刘备取荆香,确实不够厚道。
561s 可是我这么做,是出于无奈。
566s 我刘备身上流着高祖的血。
570s 击灭强草,忠行汉业,责无旁败。
576s 可是我没有本钱。
580s 我只有厚着脸皮,向东吴借下荆州。
587s 说实在的,我领着那么一点点可怜的兵马开进荆州的时候,内心充满了愧疚。
599s 也在骂自己。
601s 我刘备一生光明磊落,从来都是宁肯委屈了自己,不肯委屈别人。
608s 怎么能占据这样一块朋友流了血想得到的土地呢?
614s 可是我一想到北方,在痛苦中,在屈辱中,煎熬得火,只能硬起心肠。
627s 东吴人人骂我,我也要借荆香一用,因为这里离中原最近。
634s 我爷爷都梦想着重振旗鼓,从荆州直到徐都,救天子于水火。
640s 今天刘备在这里,可想苍天表明心机。
650s 天下的土地既不该属于我刘备,更不该被曹操窃取。
658s 它只属于大汉。
660s 如果刘备侥幸成功,必谢家还乡,归于桑田。
667s 刘备今年四十八岁了,也没有几年可以征伐了。
691s 我相信在座的都是汉制忠臣。
699s 所以在这里,刘备想恳请列位,恳请列位相助。
711s 认为我所言虚假,就请子明砍我一刀吧。
762s 让我的血流干,以谢江东诸位才君。
780s 皇叔快快请起,请入席。
857s 那为何如此恨这块石头?
953s 刘备年近无寻,却不能为国剿除巨贼,心肠自恨。
968s 金蒙太夫人招为女婿,成就一段奇缘。
974s 于是问天买卦,许愿如能破曹兴旱,一剑下去便能砍断此事。
986s 看来上天已经允了你这个心愿了。
989s 好,我也问天买卦。
996s 若能破得曹贼,亦断此事。
1000s 拿剑来。
1077s 饮下这杯。
1078s 女婿呀,今天饮了多少杯了?
1096s 不记得了,总有四五十杯吧。
1099s 四五十杯怎么够呢?总该饮上一百杯吧。
1105s 百年好合吧。
1115s 好,那就遵太夫人之命,饮上一百杯。
1126s 来。
1136s 没事,这点酒能带我喝呀?
1140s 皇叔,内院已到,请。
1143s 这是洞房吗?这分明是营房嘛。
1157s 新夫人自幼尚无,她的洞房自然与众不同。
1162s 皇叔小心。
1166s 禀姑爷,我家主人生平好剑,这里有两把剑。
1195s 一把是好剑,一把是坏剑,请姑爷任选一把。
1200s 这洞房花烛之夜,选剑何用啊?
1207s 姑爷须凭此剑挑下新人红萝盖头,方能洞房花烛啊。
1213s 那我要是挑不下来呢?
1220s 姑爷自去,省得惹出羞骚来。
1224s 哦,遵命。
1230s 请。
1231s 有话请说,何必刀剑相逼呢?
1273s 我刘备别无所常,剑法却是当世一流。
1296s 可别逼我使出无情剑来。
1301s 这剑怎么这么差?
1333s 天意难违,你走吧,否则我剑下无几了。
1382s 这二十年来,我不知流了多少次血,唯独这次是最快活的。
1394s 既然上天赠与我这样一段姻缘,那么我刘备宁愿死了也不能负了这段姻缘。
1402s 你们还站在这儿干嘛?
1448s 还不退下?
1450s 诺。
1470s 没想到我刘备年近半百,竟能娶得美如天仙的夫人。
1476s 刘备死而无憾了。
1481s 不要叫我夫人。
1483s 哦,莫非你不喜欢我?不愿意嫁我?
1491s 是,我不愿意。
1494s 那为何要后堂吹箫,同意下嫁?
1499s 我是为了父兄的记忆,为了江东的安危。
1512s 多谢夫人直言相告,那么我也直言相告夫人。
1542s 一者,自我见到夫人起,便深深喜爱。
1550s 二者,我堂堂刘备,若不能被你真心喜欢,
1557s 那么,我非但不配做荆州之主,也不配为一介男儿,
1563s 更不配为你的夫君。
1566s 所以,从现在起,你我相敬如宾。
1572s 在你喜欢上我之前,我绝不会玷污你一根手指头。
1578s 母亲。
1622s 玄德呢?
1624s 他一大早就骑马去了。
1630s 这个玄德呀,新婚第二天,怎么就能把新娘甩在一边呢?
1637s 母亲,你别说他了,他这个人呢,性子就是这样的。
1643s 怎么,才出阁一天,就开始替夫家说话了?
1653s 瞧你,一夜之间变了个人呢。
1657s 母亲,那你觉得,女儿是现在好,还是从前好?
1667s 当然是现在这样好,女人嘛,就该有个女人样。
1673s 成天舞强弄棒的,像什么样子呀?
1677s 启禀太夫人,大都都求见。
1685s 他来干嘛?
1687s 恭喜太夫人。
1703s 坐吧。
1705s 怎么?公主你不反对这门亲事了?
1716s 既然是小姐自己选了刘备,这便是天意,天意难为啊。
1723s 你能这么想,那就好。我总算可以放心了。
1730s 常言道,嫁出去的闺女泼出去的水,不知新人几时启程回金州。
1736s 刘备说,十日之后就扬帆起航。
1741s 太夫人,你舍得让小姐离开你吗?刘备是个大英雄,胸怀大志。
1750s 回到金州之后,一定兴师北伐,此一去,你们母女俩就不知道何时才能相见了。
1757s 是啊,我这个女儿长得这么大,还一次远门也没有出国呢。
1768s 小妹乃伯父将军之妹,也就是我的妹妹。
1773s 就算你老人家舍得这个女儿,我还舍不得我这个妹妹呢。
1778s 依我之见,还是让他们夫妻俩多住些时日,好好陪陪你吧。
1784s 要是太夫人你开不了这个口,我来跟主公说去。
1790s 这,好吧,就依你之言,留他们多住些日子。
1799s 好。
1800s 听伤的伤,还疼吗?
1829s 我打了二十多年仗,这点伤不算什么,像荷花一样。
1845s 我自己夫人的手我都不能看了吗?
1855s 我刚刚见过母亲了。
1873s 她来了。
1877s 她让母亲留夫君在建康多住些日子。
1882s 母亲她答应了。
1887s 是真舍不得你呀。
1893s 连我都看出来了,这分明是周姨的伎俩。
1900s 她想把夫君困在江东,回不得荆州。
1906s 母亲也真是的,聪明一世,糊涂一世。
1911s 怎么就信了她的话了?
1913s 不管周姨是什么居心,我都要感谢她。
1923s 匡扶汉室是我一生的梦想。
1927s 我回荆州以后,你随我东征西逃,
1931s 就不知道什么时候再见到你母亲一面了。
1934s 我应该让你们母女在团圆一段日子。
1940s 主公打算留下来了,夜长梦多。
1967s 周姨多荆州之心未死。
1970s 多留一天,就多一份危险了。
1973s 你以为我想留在这儿吗?
1979s 我得走得了啊。
1982s 主公何出此言?
1986s 那周姨啊,是个最不愿意认输的人。
1990s 从我下江东以来,我们走一步她就输一步。
1994s 你想她会愿意输到底吗?
1997s 她绝不会让我们回荆州。
2000s 她只是借太夫人之口留下我们,
2003s 为了维护东吴的体面。
2005s 如果我们非要走,恐怕她就不会顾及这体面了。
2010s 周姨她干得出来。
2017s 在江东,太夫人、吴侯这一派与周姨想法不同。
2026s 他们既不想与我们反目,也不想与周姨闹僵。
2031s 但如果周姨动了真格的,到了最后选择的关头。
2036s 你想想,他们会向着我们呢,还是会向着周姨呢?
2042s 我想时之八九他们还会向着周姨,毕竟人家是一家人嘛。
2047s 主公所言甚是,也总不能就这样待下去吧。
2058s 我们多留一天,军师就会多一天整顿荆州的事件。
2069s 周姨就会多一分懈怠。
2071s 假以时日,我们一定能等到回去的机会。
