3s 咱们送这个月的支应了。
66s 多少啊?
71s 又加了两万,一共是六万钱。
74s 六万钱哪儿不用啊?
79s 你看,我又新添了五个厨子,
82s 六个乐师,都需要钱啊。
86s 去,去跟来人说,请再加两万钱。
91s 这,混人变了个人似的。
108s 我也觉得不对劲。
109s 何时才能回京州啊?
115s 变得醉生梦死,叹图享乐。
202s 难道中兴汉室的报复你都忘了吗?
205s 我是你主公,你竟敢如此对我说话。
212s 你要是再这么下去的话,就不是我的主公。
216s 混帐!
217s 你真的不能这么下去了。
223s 若是军师他们知道的话,一定会痛心疾首。
228s 动物的烈焰会笑话你的。
230s 放肆!
231s 你再教训我吗?
234s 我打了一辈子上去,不能享受享受吗?
239s 赵云受不了。
246s 赵云待不下去了。
248s 待不下去你就滚!
250s 主公。
251s 赵云,我念你一向忠诚,就不责罚你。
262s 你立刻给我滚回京州去。
265s 主公。
266s 滚!
267s 我不是易主公。
269s 让他滚!
270s 诺!
274s 主公!主公!主公!
279s 主公你不能这样下去!主公!
282s 不干你们的事。
288s 接着奏乐。
290s 接着舞。
291s 大都督,今日主公派人给刘备送月汁。
312s 刘备竟然嫌六万太少,还要再加些。
316s 加多少?
318s 他说还要再加两万。
322s 主公怎么说?
324s 主公请大都督珍重。
327s 那么,我看加两万太少,凑个数。
333s 给他十万吧。
335s 大都督,府上财力拮据。
342s 上下都要节衣缩食,供养兵马。
345s 这可是一笔很大的开销啊。
348s 长此下去,怎么受得了啊?
350s 一个月花十万供个女婿,是贵了点。
354s 可要是用这笔钱能换回京州,那可太便宜了。
359s 过一阵子等刘备绣到谷随里,他就该任我摆布了。
365s 都督英明。
368s 还有,赵云看不惯刘备醉生梦死,顶撞了刘备。
373s 二人发生争执,现在刘备已经把赵云赶走了。
378s 好事啊,让他走啊。
382s 赵云定会把刘备一起消沉的近况,告诉京州诸将。
388s 京州军心大乱,他们一乱,我们日后娶京州,就易如反掌了。
396s 军师,听说子龙回来了?
413s 是啊。
415s 他人呢?
416s 在外头。
421s 啊?子龙?
423s 子龙?你,闪开!
425s 军师,这是怎么回事?
432s 子龙弃主而归,有违职责,按军律,当仗三十。
440s 你,你伤着没有啊?
444s 不碍事。
446s 大哥在那边怎么样啊?
450s 他已陷入温柔相助,整天以酒色自语,我简劝了几句,便把我赶了回来。
466s 不可能啊,大哥不是那样的人啊。
472s 这不明摆着吗?东吴设下美人计想困住大哥,长此下去必有变故啊。
480s 军师,你下令,我们就回大哥。
487s 二哥说得是啊。
489s 军师,你现在就下令,俺当这个先锋。
494s 我马上就去军营,集合我的兵马。
497s 站住,江东有十万精兵。
503s 我们这点兵守住荆州,尚且捉襟建州,如何还能去攻打人家呢?
509s 再说北边还有曹操在虎视眈眈呢。
512s 兵不再多,而再勇。
515s 只要你下令,我带兵偷袭建康,出其不意,定能救回大哥。
520s 孙氏经略江东三世,到处都是他的耳目。
524s 齐席这条路,如何行得通啊?
527s 哎呀,这也不行,那也不行的。
531s 难道眼睁睁看着大哥一辈子坐人家阶下囚啊?
535s 不是行不行,我看是有人别有用心吧。
547s 运场不能那么想,眼下主公的处境危险,可荆州的处境更危险。
566s 我沿途回来,看见东吴往芭林不断运兵运粮,随时都有袭击的可能。
572s 主公把荆州交与军师与二位将军,大家应该精诚团结才是。
579s 子龙,子龙,你这是干嘛去?
597s 军师责罚得对,这段军棍算是把我打醒了。
602s 我的职责是护卫主公,不能离开他身边。
609s 我就是怕也要爬回东吴去。
613s 子龙,子龙。
619s 赵云回去后受到了诸葛亮的责罚,挨了三十军棍。
630s 然后又狼狈地扶在马背上,回到了东府。
634s 赵子龙真是个良将,终有难得。
645s 换了第二个人,遭了这么一顿打,是绝不会回来的。
653s 可惜啊,这样的人才却偏偏死心塌地地跟着刘备。
664s 赵云这次回去,荆州应该知道他们主子在健康的情形了。
670s 那边有什么动静吗?
672s 细作探回的消息说,关羽和张飞二人和诸葛亮产生了争执。
678s 关羽和张飞想要去救刘备,诸葛亮不让。
682s 看来,荆州的兵权是掌握在诸葛亮一个人手上。
687s 关张二人不服,疏于军务,终日饮酒作乐。
693s 诸葛亮也只能带着黄中、魏延等人去操练新兵了。
702s 派些人去荆州。
704s 早些流言,就说诸葛亮跟我有密约,要图谋自立。
710s 让他们自己摇起来,咱们就有热闹可瞧了。
715s 属下这就去办。
719s 你背上的伤没事吧?
732s 军师没让人争打,不碍事。这是军师给你的信。
740s 军师真是有办法,不到大半年的工夫,就囤了这么多粮草。
760s 不光粮草,这人马也涨了五万了。
764s 五万?对,这么多。
767s 军师让马素四处奔走,招募了许多隐在山中的荆州人才。
773s 还寄用了一半荆州旧部。
775s 这些人久居荆乡,根深夜晚,找兵买马,一呼百应。
781s 而且训练出来的兵族也十分适合在那作战。
785s 我原来的兵马不善于在南方作战。
790s 对付曹操占不了便宜,对付周瑜就更加难了。
794s 可就是?
799s 就是什么?
800s 云长跟易德不了解军师的苦衷,天天吵着要兴兵来把主公抢回去。
809s 我不在,迟早要生出事。
821s 可军师也说了,他们闹闹也好,这样会使周瑜更加懈怠。
829s 真是难为孔明了。
834s 那你打算什么时候返回荆州?
842s 军师什么意见?
844s 军师说主公决定,主公决定返回了,他就会造生事。
850s 说是曹操大军来犯,荆州危急,这样主公回去就有理由了。
855s 走途深,免得一场梦多。
864s 我早就盼着主公下这个决定了。
868s 那咱们是走水路返回,还是走陆路返回?
872s 我们可以在水路上抛下一个诱饵,但不能真走水路。
880s 周瑜自掌东吴水师,诸将多为其嫡系。
885s 如果我们走水路,他必全力追杀。
888s 我们想要脱身就难了。
890s 路上就不同了,像沿途的陈武、潘章、蒋钦、周泰他们都和孙全亲近。
898s 如果我们万一有闪失,可能还有机会。
901s 主公说得有理。
906s 只是,还有一件事情。
918s 何事主公?主公的意思是,想把夫人一同带回去。
942s 一日夫妻百日恩啊。
952s 我与她不只有夫妻之情,她对我更有救命之恩。
960s 这花好看吗?
988s 好看,不过她没我的娇妻好看。
999s 夫君,你也许会封城人了?
1003s 怎么了?
1004s 夫人,荆州出事了。
1035s 出了什么事?
1040s 曹操大军来犯。
1043s 荆州万分危急。
1047s 你想回荆州了?
1052s 带我回去,击退曹操,即刻回来。
1067s 多者三个月,少者二十天,可否?
1073s 你这一去,就不会再回来了。
1083s 而且曹操根本就没有来犯。
1089s 你想回荆州,就变了这个理由来唬我。
1095s 昨晚你辗转反侧,也不成美。
1100s 我就知道,你心里一定有事。
1104s 说完,把事情都告诉我。
1109s 我把事情告诉你。
1119s 我此次东来成亲,实际上是一场鸿门宴。
1127s 若没有夫人那日在甘露寺的一曲萧声,我早已伸手一触了。
1136s 现在,我必须要回荆州。
1143s 夫人若跟我走,从此便和太夫人天隔一方。
1150s 若夫人不跟我走,你我又会天隔一方。
1156s 无论是走还是留,都想有把刀在我的心头刮过。
1165s 我不知道怎么跟夫人说。
1170s 你真的不舍得跟我分开?
1180s 我刘备血雨兴风,生来死去三十年。
1185s 就像一叶没有根的草,直到遇到夫人,才享受了天伦之路。
1194s 面对你,我就像面对一颗晶莹的露珠。
1203s 哪怕有一丝会吹动你的风,我都会害怕。
1210s 我现在不得不回荆州,但是我也舍不得你。
1218s 我跟你走,你必须要记住。
1232s 以前,我是吾后之妹。
1236s 现在,我是你刘弦德的妻子。
1240s 嫁鸡随鸡,嫁狗随狗。
1244s 你走到哪儿,我跟到哪儿。
1247s 哪怕身上只有一根稻草取暖,我也要跟你一人一半。
1254s 你不要再说什么草草兴兵犯荆州的事了。
