12s 主公,前面有伏兵。
14s 这周郎真是机关算尽啊。
19s 不用着急,我们在临来动物之前,军师给了我三支锦囊。
26s 里边有军师预先设置好的妙计。
29s 第一支呢,我们到卢江镇的时候已经用过了。
32s 令军师大肆采买,把消息散播出去。
37s 第二支是让我跟你吵架,逼你把我逐回京州。
42s 第三支呢?
43s 第三支就是让我在危难之时再性打开。
47s 那还不打开看看?
49s 这第三支是给你的。
60s 徐胜丁凤,你们想造反吗?
91s 夫人,末将岂敢造反?
96s 现有大都的将令,前来捉拿刘备。
99s 我等不能不遵啊。
102s 你们怕周瑜,就不怕我?
105s 周瑜杀得了你,我就杀不了你吗?
108s 说到跟上,你们都是我父兄的旧部,是我孙家的家将。
114s 可是现在你们眼里只有周瑜,什么时候真把我二哥当主公了?
120s 小姐,我等万不敢背你主公啊。
126s 那好,我是奉二哥的命令,陪我夫君前去烧香祭祖。
132s 之前也禀过太夫人,谁敢拦我,我就取下他的向上人头。
137s 齐清!
152s 照这么像,先生这片棋子可就成死棋了。
178s 哦,可不是吗?这棋我又输了。
188s 以前我可是从未赢过先生,今天先生怎么会输得这么惨?
196s 看来先生的心思不在这棋局上了。
199s 我在计算着赵云前往江东的日子,如果按期到达,主公应该派人送信回来才是。
210s 可为何到现在一点音讯都没有?
214s 是啊,按理说不该啊。
218s 今日这官署中如此安静,我总觉得缺点什么。
226s 张妃日日醉酒之后,会来我的府衙门前骂阵,今日为何没有来?
248s 先生的意思是?
250s 他们对主公情深似海,对我却有成见,难道……
256s 难道他们要兵戒?
258s 荆州军中最善战的一万人,是主公和官与张妃从北方带来的老兵。
267s 他们随主公征战多年,官与张妃振臂一呼,他们必然响应。
273s 如果他们带着这些人拿下我,就能拿我的兵符调动荆州军全失东晋。
279s 要真是这样的话,又该如何应对?
283s 又成啊,拿着我的兵符去调黄忠所部。
298s 我这就调他们来护卫先生。
301s 慢,见着黄忠后,命他带领部下星夜出城。
311s 先生,这是为何?
314s 黄忠起于荆州,我也起于荆州。
319s 平日私下里对我自然亲近一些。
322s 如果黄忠知道官与张妃兵戒,一定会和他的人发生龌龊。
328s 这几万人马拉起来不容易。
329s 我不想看到他们自相残杀,把我们这些日子的心血毁于一旦。
346s 如果我把这支兵带走了,谁又来护卫先生呢?
350s 这个就不用你担心了。
356s 我能凭这三寸不烂之舌,遍到江东群儒,还对付不了两个武夫吗?
