6s 临终前,龚瑾向我保取了大都督一职。
11s 我来,是想听听你的看法。
17s 不知龚瑾,举荐何人啊?
25s 你。
27s 我和龚瑾正见不一啊。
36s 没错,我也没有想到,龚瑾会举荐你。
42s 人哪,真是世上最难捉摸的东西。
49s 同是龚瑾。
50s 你可以说,她是这世上肚量最小的人。
59s 也可以说,她是世上肚量最大的人。
65s 自从胡米之降,我和龚瑾相识十五年了。
74s 她乍然离去,我这心里头如何是好?
84s 军中不可一日无主。
92s 龚瑾长东吴之兵已经十几年了。
96s 她走后,必须尽快择一人来掌管三军。
102s 不知主公做何打算?
105s 你可曾知道,那日在龚瑾府上,我为何对你发那么大的脾气?
118s 又为何当着她的面,罢了你的官吗?
123s 那一日,我言语过激,触怒了主公。
128s 如果言语触怒我的话,那我还凭什么继承父兄大业,统领江东?
143s 我那是在演戏给龚瑾看。
148s 一,可以替她找回面子。
152s 二,可以让她对你心怀歉疚。
158s 龚瑾是个有恩必报,有仇必雪的性情中人。
163s 你曾大恩于她,我又让她复旧于你。
168s 这样,她必然会将大都督之职留给你。
173s 龚瑾在诸将心中地位甚高。
176s 也只有她执行的大都督,才能压住众将之口。
182s 原来,主公是有意冷我。
189s 我这片苦心,也是为了东吴大业。
193s 而今放眼东吴,唯有卿,能够担此大任。
202s 主公太高看鲁素了。
205s 只是,江东驻将心中多属于吕蒙。
214s 我若接此兵斧,吕蒙又往何处摆放?
220s 这个你不必担心。
223s 这是什么?
228s 吕蒙写给我的书信。
232s 他在信中,第一个拥戴你。
236s 既然东吴大都督之职。
239s 你这辈子,把我鲁素当成了最知心的朋友。
275s 我鲁素这辈子,也把你龚瑾当成了最知心的朋友。
285s 原本想,你我二人携起手来。
292s 让江东强盛起来,必有意照百姓。
297s 可谁想到,你就这样掀我主而去。
304s 以后江东有事,主公是谁?
314s 我鲁素又去问谁?
318s 估计中前怒视苍天,不肯闭目。
328s 鲁素知道,你真是壮志为仇啊。
333s 如果苍天能用我鲁素之命,换回你龚瑾之命。
339s 我宁愿死上十回百回。
344s 江东可以没有我鲁素啊。
351s 却怎么能离得开你周公瑾呢?
390s 我们都还好好的活着。
415s 公瑾却已经去了。
421s 从此日月两望,天人永隔。
430s 痛哉,痛哉啊。
436s 这就是全谋家。
447s 为治一国,就必须要有这样的灵脾。
454s 关中的公瑾,明明是因太恐鸣而死。
458s 可你看她现在,哭得如丧考笔。
464s 好像比谁都心痛。
467s 公瑾啊,上天为何如此绝情?
481s 你是天寿奇才,师无匹敌啊。
489s 赤壁一战,权仗凶猛。
496s 火烧草草八十三万兵马。
500s 拼定江南半壁啊,公瑾。
504s 你这一走,大汉江山遁失一柱。
514s 天下何人不悲,孤有何不断肠啊。
522s 痛哉公瑾,哀哉公瑾啊。
529s 上苍无情,不让我与兄弟见上这最后的一面啊。
539s 写下两天为美,一泪水已没。
547s 写下记闻一篇相赠。
550s 怎能听到,明白我心里无限的悲痛。
562s 不幸要亡,修短古天,人起不伤。
584s 我心始痛,泪酒已上,有灵赏我增长。
603s 君又学,已教伯父。
608s 张一书才,让蛇一驹。
613s 调君若冠,万里彭团。
618s 定剑霸业,割据江南啊。
625s 扶手齐针,明明灭灭。
643s 魂如有灵,天见我心。
649s 从此天下,耿吾乎痛哉。
660s 为上相,恭敬啊,恭敬啊,恭敬啊。
672s 为何不让我与你见最后一面啊,恭敬啊。
678s 心胸来迟一步,恭敬已去,我痛是一只鹰啊。
709s 尽尽泉下有知,一定会感激先生这份情意的。
715s 这里雕刻太多,一时也来不及搭张了。
719s 还请先生到在下的船上,将血玉残。
723s 待我忙把眼前之事,再和先生共叙旧议。
727s 紫禁啊,你现在也是大都督。
732s 这样,岂不饶你操持军务啊?
738s 我想,只要你我开诚相见,好好地谈上一谈。
762s 这全仗着周瑜之谋了,和谋略了。
771s 赤壁之战是我的谋略,若我献连环计,曹操能把战船连在一起吗?
783s 如果曹操不把战船连在一起,周瑜如何火烧连营啊?
791s 此人,几量狭小,难成大事。
799s 虽然也号称一代名将,打得败仗,也有一摞筐。
806s 赤壁之战,它有何功劳?
811s 那是我庞统县的连环计才决定的胜负。
817s 哪来的狂徒?在这里胡说八道,我一刀断了你。
823s 你没有看见此人在发酒疯吗?先撵他出去吧。
830s 来人哪!把他给轰出去!
832s 诺!
834s 你们这是干什么呀?
836s 再怎么说,我也是来调校的!
839s 连口酒都不赏吗?必败!
842s 无嫌疑之师,必败!
854s 紫禁兄,你且忙着,我就先告辞了。
860s 谢先生了,恕无远送。
885s 刚才那位狂士呢?
886s 已经走了。
887s 你去跟着他,弄清楚他的落脚之处,速来报。
892s 遵命。
893s 你看见刚才那个狂士了吗?
902s 他名庞统自侍员。
904s 看见了,大多的合意,是否要斩他祭灵?
908s 胡说。
910s 此人乃世间奇才,神龙见首不见尾。
914s 我寻他已经寻了多日了,一切前去跟踪他。
918s 看他究竟落足何处,然后即刻回来报与我知。
921s 遵命。
922s 慢点,小姐。
932s 里面请。
933s 上喝的酒,上喝的菜啊。
943s 爷,你来了。
944s 来来来,里面请。
945s 上喝的酒,上喝的菜。
947s 侍缘哪,你我多年不见,今日一醉方休。
997s 孔明,你好大的胆啊。
1000s 龚瑾是你害杀的,你竟然还敢给她掉相。
1005s 那是各为其主,我不得不为。
1009s 但是跟你说句幸福吧,周龚瑾是我最敬佩的人。
1013s 她走了,我既少一敬敌,又痛失一知音。
1018s 这话倒也是。
1023s 你们两个星星相惜,就像,就像桌上这对筷子。
1032s 妙语。
1034s 孔明啊,除了龚瑾,你星星相惜的还有谁?
1040s 眼前不正坐着以为。
1042s 你说,你说,你说的是我?还算你识货。
1053s 十年了,足下还在代价而孤。
1058s 十年算什么?我庞统生的一副好头颅,就是没有好的买主。
1065s 三十年我都不卖。
1067s 人生能有几个三十年啊?不如你来荆州吧。
1073s 我主乃当今皇叔,宽仁爱民,虔诚待世,胸怀大志,守己雄兵。
1079s 你随他匡扶汉室,定能大展宏图。
1082s 刘备倒还算是个人,就是。
1092s 就是什么?
1093s 他的本钱太小,区区几万兵马而已。
1098s 我可是个做大生意的人。
1100s 算了,算了,算了,不提那些了,饮酒。
1106s 是人哪,我主公。
1108s 孔明,你要是再劝,我一走了之,饮酒。
1112s 好好好。
1113s 里面请,上好的酒,上好的菜啊。
1126s 师元。
1127s 请。
