18s 我渴了,去,我打过球。
20s 好的。
21s 来,我去打。
26s 刘皇叔,你怎么在这儿?
33s 大哥听说了先生的事,
36s 急迟了一夜,天亮前就赶到这里了。
39s 你这个家伙只顾着死睡,
41s 害得我大哥在这儿等。
46s 先生,你喜欢喝什么酒?
48s 杏花村。
50s 好,我这就给你打来。
52s 禀主公,夫人派我来给你送信,
57s 说阿斗已经昏迷不醒,请主公快快回去。
60s 你回去禀告夫人,
65s 就说我还有公事,让他好生照应阿斗。
67s 遵命。
69s 大哥,你可就剩下这点骨血了,
71s 快回去吧。
73s 先前我已经对不住龙先生了,
77s 现在他想喝酒,
79s 我若能帮他打来,
81s 也可以让我心安一些。
106s 先生,酒来了。
108s 刘皇叔,
122s 你以为一壶酒,
124s 就可以收下一颗已经被你伤过的心吗?
126s 龙广去意已决,
128s 你就是强留下我,
130s 我也不会为你效力的。
132s 这只怪我刘备有眼无珠,
137s 先生一定要走,
139s 那我有什么理由阻拦呢?
141s 来,我送先生一张。
145s 先生,
179s 我刘备,
183s 是个没钱的周目,
185s 赤贫的皇叔,
187s 虽然心爱先生之才,
189s 却没什么珍贵的东西可以送你。
191s 这样,
193s 这匹狄鲁,
195s 是我的爱居,
197s 也算得上是一匹良马,
199s 就赠与先生上路吧。
201s 听着,
207s 这马名字叫狄鲁,
209s 它可曾救过咱大哥的性命。
211s 这还真是匹好马。
217s 那,
219s 在下恭敬不如从命了。
221s 先生请上吧。
230s 这狄鲁太高了,
232s 能不能帮帮忙?
234s 三弟,扶先生上马。
236s 好,
238s 先生请。
256s 像他这种人,
258s 不可落入别人手中。
260s 既然不能为我所用,
262s 干脆让我杀了他。
264s 你出后患。
275s 休得胡言。
283s 把剑收起来。
285s 虽然我不能留住此人,
287s 但我还是希望他能够找到一个比我更强的人,
289s 一展才华,
293s 除贼复害。
295s 我一定会记住我今天犯的过失。
297s 先生别再犹豫了,
299s 走吧。
316s 先生怎么不走了?
320s 这马,
322s 它不听使喚,
324s 可能太流量它的主人了。
326s 走着走着,
328s 它自个儿往回奔,
330s 我还是把它还给你吧。
334s 那先生你怎么走呢?
337s 我用那匹,可以吧?
339s 当然可以。
351s 主公,你还愣着干什么?
353s 回荆州啊。
361s 你叫我什么?
363s 叫我主公。
367s 主公,
369s 龙广这一辈子就想找一个
371s 真正能识千里马的英主。
373s 今天终于找到了。
375s 龙广愿意跟随主公
377s 回荆州,
379s 跟随主公东征西逃,
381s 助主公成就功名大业。
383s 来来来,
391s 快快快,
393s 等我来。
395s 我帮你引荐一位大才。
397s 好。
399s 龙先生,
401s 龙先生,孔明巡视四郡回来了。
403s 来来来,我介绍给你认识。
405s 庞士元?
407s 孔明?
411s 你是庞统庞士元?
413s 原来龙先生
415s 就是凤雏先生。
417s 士元,你到荆州
419s 怎么不和我说一声?
421s 我一直在找你呢。
423s 原来他是考我呀。
427s 请主公恕我
429s 欺君之罪。
431s 何罪之有啊?
434s 昔日,
436s 水晶先生就说过,
438s 卧龙凤雏,
440s 两人得一便可安天下。
442s 而如今,我二人皆得,
444s 汉氏定可忠心啊。
446s 先生,
448s 听说你也喜欢喝酒啊。
450s 我也喜欢得很啊。
452s 今日定要饮上三百杯啊。
454s 好好好。
456s 等我看完这幅地图,咱们再饮。
458s 先生,这是看什么呢?
462s 西川。
473s 三弟啊,辛苦了。
475s 这几个月,你征讨误换。
477s 我心里真是为你担心啊。
479s 好在我们张帝所向披靡。
481s 捷保平川。
485s 我跟父亲真是为你高兴啊。
487s 二哥,父亲
489s 突然召我回来,不知为何事啊。
491s 这铜雀台要完工了。
493s 来,三弟。
495s 这可是件盛事啊。
497s 父亲就把朱弟都招来了。
499s 大眼宾客嘛。
501s 原来是这么回事。
503s 那,这值得找我回来吗?
505s 其实啊,这就是个油头。
507s 乌桓之乱已平。
509s 父亲心里面
511s 能不挂念你吗?
513s 自然是想让你
515s 早些回到他的身边嘛。
517s 好。
519s 高典沙。
521s 四弟。
523s 四弟。
525s 见过二公子、三公子。
527s 杨兄,四弟这是怎么了?
529s 今天啊,四公子跟城内的几位
531s 临时相聚,把酒作附。
533s 这一时兴起啊,便多喝了几杯。
535s 四弟,嘴都不清了。
537s 快快快,进屋将信,快。
539s 青江。
543s 行,走,游。
545s 我们游。
547s 小心,慢点,慢点啊。
549s 中储,半风扇。
551s 是是是。
553s 去拿水。
555s 青江。
557s 公子小心啊。
559s 快,快躺下。
562s 中储。
566s 半风扇。
570s 争一争呀。
572s 宰肥牛。
576s 见毒。
580s 脸都不会擦啊。
582s 四弟,不斗武力。
584s 三弟。
594s 二哥。
596s 四弟。
598s 二哥。
600s 我刚才把你。
602s 我把你当。
606s 四弟。
615s 当成吓人了。
621s 众大先生。
632s 你有何事?
636s 丞相让我禀告三位公子。
638s 铜雀台之会。
640s 定在明天辰时开始。
642s 知道了。
644s 众大先生。
649s 你请留步。
651s 二公子有何吩咐?
657s 既然是宴会。
659s 为何要辰时啊?
661s 这也太早了吧。
663s 二公子问得好。
665s 据在下所知啊。
667s 除了宴会。
669s 丞相还有别的安排。
671s 武将比射。
673s 文臣比副。
677s 三公子。
679s 可要备足强攻力荐啊。
681s 多谢主部大人相告。
683s 至于文臣比副的题目啊。
689s 二公子。
691s 四公子。
694s 想知道吗?
696s 司法爷。
702s 你要解题吗?
704s 活人给死人当宾客。
706s 一定是耐不住寂寞。
708s 四爷。
710s 背着主子讨好我们是吗?
712s 既是考试。
714s 就该展现真才实学才是。
718s 给我出去。
720s 我绝不听你的。
722s 四公子指教的是。
725s 众大先生。
727s 二哥。
729s 二哥。
731s 二哥。
735s 二哥。
741s 众大先生。
743s 众大先生。
745s 二公子还有何事?
747s 众大先生。
748s 你可千万不要介意。
750s 四弟他就是这个体系。
752s 试才奥。
753s 方才是多演了几倍。
755s 二公子是想知道
757s 师父的题目是吧?
759s 众大先生。
767s 天资愚钝。
769s 军功武略。
771s 不济三弟。
773s 这文策论。
775s 又不如四弟。
777s 当然是提早做准备的好啊。
779s 免得来日在百官面前。
781s 丢父亲的脸嘛。
783s 那好。
785s 这题目就是铜雀台。
787s 铜雀台。
789s 正是。
794s 在下还有一事禀报。
796s 二公子想知道吗?
798s 先生请请。
804s 在下没有歇题。
806s 丞相早有口谕。
808s 二公子谁想知道师父的题目。
810s 尽可以告知。
815s 可四公子过意清高了。
829s 铜雀台。
831s 这可不是一道普通的题目啊。
833s 此话怎讲?
839s 依古里。
841s 只有帝王才可铸高台。
843s 以仗王位。
845s 而铜雀台。
847s 几乎是古往今来第一大高台。
849s 丞相借高台之会。
851s 大集群臣。
853s 必是想表明帝王之志。
855s 帝是?
868s 由此可见。
872s 明天是决定诸公子的重要日子。
874s 主公要考察诸子。
876s 也借考察众闻母。
878s 所以这篇副如何做。
882s 公子可要想明白了。
884s 既然事情如此重要。
886s 还得请先生教我呀。
894s 此副一定要彰显主公帝王之志。
896s 气势洪韵。
898s 意贯古今。
900s 文弱招侠。
902s 尤其是帝王之志。
904s 文弱招侠。
906s 势弱奔马。
918s 完了。
923s 先生啊。
925s 就算是我请来全界的文人。
927s 写出来的文章。
930s 也无法和子剑相比呀。
934s 公子莫慌。
936s 这场户比得不止是户。
938s 还有户外之意。
940s 此话怎讲?
947s 公子可知
949s 汉门帝罢休露台之掌控。
951s 这柱台不是什么人都能做的事情。
953s 偏偏主公做了。
955s 这回他让文臣比副。
957s 武臣比武。
959s 实际上是。
961s 我明白了。
963s 我明白了。
969s 先生。
971s 实际上是在。
975s 是在。
977s 考验群臣。
979s 试探群臣。
981s 也是在试探我们这些
983s 做儿子的心意呀。
985s 这样。
992s 我明日准备两篇幅。
994s 如果这些重要的大臣
996s 都称送父亲的帝王之志。
998s 我就用其中的一篇。
1000s 如果他们推托不来。
1002s 或者来了。
1004s 不肯称送父亲。
1006s 我就用另外一篇。
1008s 公子真是心有灵犀呀。
1012s 先生。
1016s 先生一枪掏掠。
1018s 这乃当时之奇才呀。
1020s 这样。
1022s 过两天我禀奏父亲。
1024s 尽先生为宾客。
1026s 不。
1028s 公子万物生此念。
1030s 我若做了公子的宾客。
1032s 那司马仪还能来吗?
1034s 和他比。
1036s 我不过是大树下的
1038s 一棵小草罢了。
1040s 先生。
1042s 先生如此推托。
1044s 你让我心里面怎么好受啊?
1046s 我这么推托。
1048s 公子啊。
1050s 心里好受。
1052s 不但公子好受。
1054s 我也坦然。
1056s 因为为公子效力。
1058s 不必飞入府。
1060s 在府外不是更好吗?
1066s 谢谢先生。
1120s 谢谢先生教诲。
1131s 这些空位是谁没来啊?
1135s 丞相。
1137s 我这就让人去查查。
1139s 人家不来,就有人家不来的道理。
1143s 我怎么没见着寻玉叔侄呢?
1145s 听说是病吧?
1147s 叔侄一起生病。
1149s 是心病吧?
1153s 不等了。开心。
1155s 让大伙坐吧。
1157s 诺。
1161s 诸位。丞相请大家落座。
1163s 谢谢丞相。
1165s 这三年以来。
1184s 承蒙上苍庇佑。
1186s 与顺风调。国泰民安。
1190s 我驻此台。
1192s 就是为了感谢上苍。
1194s 今日请大伙来。
1196s 一起为贺。
1198s 谢谢丞相。
1200s 今日是。
1203s 美酒佳肴。
1209s 高朋满座。
1211s 少长贤妻。
1213s 此会。
1215s 难得啊。
1217s 待会。
1219s 我们还要请。
1221s 武将比射。
1223s 文官比副。
1225s 一起来。
1227s 盛同此会。
1229s 大家意下如何?
1231s 敬请。
1236s 敬您此尊。
1251s 徐叔。
1253s 丞相。
1255s 有何吩咐?
1257s 你把这件西川红锦战袍。
1259s 挂到湖心那个小岛上。
1261s 以百步为界设一剑舵。
1263s 用剑舵上的红锦。
1265s 就把这个袍子赏给他。
1267s 否则,罚酒一杯。
1269s 诺。
1391s 谢国父亲。
1396s 丞相啊。
1398s 三公子的旗射之技。
1400s 真是盖世无双啊。
1402s 不读书,而好功马。
1404s 此匹夫之用也。
1406s 何足归乎?
1408s 而以为,出生于乱世。
1410s 就应该学卫青获取病。
1412s 立功沙漠。
1414s 救黎民,出水火之中。
1416s 别的,
1418s 别的有什么用啊?
1420s 听你这口气,
1422s 你的志向就是当个大将军了。
1424s 是。
1426s 那我问你,你知道怎么才能当好一个大将军吗?
1428s 赏必行,
1430s 罚必信。
1432s 披肩执锐,
1434s 身先士卒,临危不惧。
1438s 听这几句,
1440s 还真能当个大将军?
1442s 是。
1444s 诺。
1448s 武将以骑射为乐,足以彰显为勇。
1450s 下面,
1452s 该你们这些宝学之士,
1454s 一展才华了。
1456s 请丞相主席。
1458s 就以铜雀台为题。
1460s 公子,
1571s 丞相可一直在欣赏你的大作呢。
1575s 就好,
1595s 就好。
1618s 丞相,这是二公子所做的服务。
1620s 请丞相欣赏。
1622s 司马仪。
1641s 在。
1647s 你把这两篇符给诸位念念。
1651s 先念曹芝的吧。
1663s 符,黄都之弘历兮,
1665s 看云霞之浮动,
1667s 心群彩之来翠兮,
1669s 邪飞雄之极梦,
1671s 仰春风之和睦兮,
1673s 听百鸟之归鸣,
1675s 同天地之归亮兮,
1677s 起日月之辉光,
1679s 永贵尊,
1681s 永贵尊,
1683s 永贵尊,
1685s 而无极兮,
1687s 等君寿于东王。
1689s 再念曹芝的。
1695s 临台行高,
1706s 高以轩,下有水,
1708s 清且寒,
1710s 中有黄狐王且翻,
1712s 行为臣当尽忠,
1714s 愿令皇帝陛下三千岁。
1718s 你们别光摇土啊。
1720s 说说看。
1722s 这两篇符怎么样?
1726s 四公子的驸马一采流光,
1728s 气象万千。
1730s 二公子的驸马平顺有余,
1732s 精彩不足。
1736s 曹芝。
1743s 孩儿在。
1745s 芝儿,
1747s 看得出你读书是
1749s 颇为用功的。
1754s 刚才章儿
1756s 骑射拿了个第一,
1758s 我赐给他一件锦袍。
1760s 你写了这么好一篇符,
1762s 我也要赏你。
1766s 赏你点什么呢?
1771s 我要上表给天子,
1773s 让他封你为
1775s 平原侯。
1781s 谢副相。
1783s 恭喜四公子,
1785s 恭喜平原侯。
1793s 丞相。
1795s 远长,你有什么话说?
1797s 四公子是才在
1799s 副中写得好啊。
1801s 同天地之归两兮,
1803s 是月之辉光。
1805s 我看这章句用来
1807s 计数丞相的功绩
1809s 是最恰当不过。
1811s 但是,
1813s 我等丞相都希望丞相
1815s 以天下为己任,
1819s 更进一步。
1821s 钟大人所言极是,
1823s 丞相功德微微,
1825s 如能承受天命,
1827s 真乃社稷之福啊。
1831s 主公啊,
1833s 稳重了。
1835s 我本是个
1837s 娱乐的人,
1839s 举孝敛出身,
1841s 正好赶上乱世,
1843s 朝廷征我为典军校尉,
1845s 我不得不首踢三尺剑,
1847s 为朝廷孝敛薄之礼。
1849s 当时我只有一个念想,
1851s 就是死后在墓碑上能客上,
1853s 已故征西将军
1855s 曹侯之墓,
1857s 我这辈子就知足了。
1859s 可是没有想到,
1861s 上了马鞍子就下不来了。
1863s 几十年纵横天下,
1865s 做了些事情,
1867s 无非是为国讨贼,
1869s 救百姓于水火,
1871s 没有想到啊,
1873s 竟蒙天恩,
1875s 为登福载,
1877s 贵己人臣,
1879s 我已经是追追不安了。
1881s 这个时候我还能奢望什么呢?
1885s 说实话,其实我早就想把兵权交出来,
1887s 以表明我的心意,
1889s 可是为了汉室着想,
1891s 为了天下百姓着想,
1893s 我不能这么做。
1895s 你们想想,
1897s 如果现在,
1899s 天下没有我曹侯,
1901s 不只有几人称帝,
1903s 几人称王呢?
1907s 丞相真是一片担心啊,
1912s 就是一隐周公的胸怀,
1914s 也不及丞相万一。
1918s 可是不是所有的人都像你原常
1920s 这么想的。
1922s 有些人,
1927s 他觉得我权重,
1931s 忘家寸朵,
1933s 以我有异心,
1937s 甚至,
1941s 刺激当于想暗害我。
1943s 我今天就告诉你们,
1946s 你们想错了。
1948s 请你们诸位大人今天回去,
1953s 告诉那些今天没有来的官员。
1957s 我曹葬,
1959s 我曹葬,
1961s 绝非,
1963s 他们才记得那种人。
1965s 公子昨日之父,
1974s 灿若昭霞,
1976s 朗若群星,
1978s 气吞山河,
1980s 横扫古今。
1982s 由此父在,
1984s 屈子的离嫂和九哥,
1986s 也该休矣啊。
1988s 更加值得可喜的是,
1990s 公子被册封为平原侯,
1992s 此事足以见得,
1994s 大业啊,
1996s 并非因为此父啊。
2003s 父相,
2005s 还含有别的深意吗?
2007s 丞相,
2009s 是奖赏公子劝尽的功劳,
2011s 并以此向百官,
2013s 展示恩威。
2015s 不错,
2017s 二哥的父中,
2025s 就隐约含有着,
2029s 宗从汉士之。
2031s 使得父相,
2035s 深。
2038s 批公子过于厚实憨直,
2040s 不明势力,
2042s 汉庭,
2044s 就剩下张破番了。
2046s 如果不是丞相扶着,
2048s 一阵风就能给吹倒了。
2050s 批公子还在汉庭做事,
2052s 天下仍无不盼望丞相,
2054s 均临天下啊。
2056s 可是父相那最后
2058s 一番表白,
2060s 又是何意?
2062s 听起来,
2066s 父相似乎并不想畏惧九五。
2072s 那是丞相客气,
2074s 客气给天下人看的。
2076s 即便是有一天,
2078s 天子真的上位了,
2080s 丞相也要三词才行啊。
2089s 请敬此杯。
2102s 公子请。
2104s 来。
2106s 请。
2125s 仲达先生,
2128s 百官们都到四弟那儿去贺喜了,
2130s 你怎么到我这儿来了?
2132s 他有什么喜可贺?
2134s 该贺喜的是公子你。
2136s 我?
2143s 这我就不懂了。
2145s 四弟因一父而名扬天下,
2147s 得到了侯爵的重赏,
2149s 回头吐脸的。
2157s 他因为一篇副
2160s 得到了侯爵封赏,
2162s 也会因为一篇副
2164s 失去整个天下。
2172s 这我就更不明白了。
2175s 公子已经看见了,
2179s 那天腾雪台职会,
2181s 很多大臣没到,
2183s 别人不说,
2185s 玄玉追随丞相多年,
2187s 功勋卓著,
2189s 丞相视他为公,
2191s 连他都告病在家。
2195s 公子想没想过这是为什么?
2197s 御闻先生指教。
2199s 一类为草帽武将,
2201s 他们只知征战,
2203s 不明玄机。
2205s 一类为没有实权的文官,
2207s 因为手中没权,
2209s 更需要扼余丞相,
2211s 得到封赏。
2213s 他们从四公子的府里,
2217s 拼出了劝禁之意,
2219s 便大肆献媚。
2221s 因为赞扬此父,
2224s 就等于拥戴丞相称帝。
2226s 反过来,
2228s 二公子的府里,
2230s 却含着心存汉史的意思,
2232s 他们自然摇手叹息了。
2234s 向丞相表明立场,
2236s 更重要的是,
2241s 足以测出,
2247s 许多人的心里,
2249s 还是拥护汉史的。
2253s 铜雀台之会,
2255s 令天下人注目,
2259s 铜雀台上所有的父,
2261s 均已不进而走,
2263s 早晚会传遍天下。
2265s 四公子的父,
2267s 虽然得到了丞相的赞扬,
2269s 但却会失去,
2271s 天下世子之心。
2273s 而二公子的父,
2275s 虽然令丞相不悦,
2277s 但心存汉史的世子,
2279s 却会对二公子,
2281s 心怀感激。
2283s 所谓,
2285s 得民心者得天下,
2287s 一颗世子之心,
2289s 往往聚得住一片民心。
2291s 先生过奖了,
2299s 所有的人都知道,
2301s 曹皮在诸公子里面,
2303s 最为努顿。
2305s 即便真的如先生所言,
2307s 我那篇幅,
2309s 得侥幸。
2312s 侥幸不能吧?
2316s 公子,
2318s 书房里的灯亮了一夜,
2320s 难道只写出了
2322s 区区百来字的一篇小幅?
2324s 是我冒昧猜测。
2336s 公子也许写出了
2338s 另一篇幅,
2340s 而另一篇幅是劝尽的。
2342s 如果那篇,
2344s 大臣们通通到齐,
2346s 公子就会拿出另一篇,
2348s 我猜测得对吗?
2350s 刁章卓具算什么?
2363s 懂得审时度势,
2365s 相机行事,
2367s 乃更高境界。
2369s 而达到此境界的公子,
2371s 还装成一无所知,
2373s 善于掏毁藏着。
2375s 那么我对这样的公子
2377s 只有两个字评价了。
2382s 两个什么字?
2394s 自少公子走后,
2413s 我每月都去他坟前
2415s 画一本书。
2417s 到今天三年已过,
2419s 我已经画了三十六本书。
2423s 我想我可以遵奉丞相先曰,
2425s 在朱公子中
2427s 选择一位做他的目客了。
2429s 您选中了哪位公子?
2433s 曹匹。
