10s 苗泽,我且问你,我待你如何?
18s 姐夫,姐夫待我恩重如山,就是连我现在的官职也是姐夫给谋来的。
26s 好,我要你为我做一件事。
36s 姐夫,姐夫请示下,无论何事,我必遵命。
40s 起来吧,今夜三更,你看见城外亮出三只火把,就打开许昌南门。
57s 开城干什么?
60s 应马腾军进城,剿灭曹操。
66s 怎么?你害怕了?
71s 姐夫,这,这一旦失败,那可是要诛灭九族的,姐夫。
81s 马腾军早就万事俱备,只等我们开放城门了。
87s 曹操是国贼,各路诸侯,无不狠杀。
93s 成之后,天子将为你拜将封侯了。
104s 天子将给我拜将封侯?真的?
111s 自然,高祖帝也不过一厅长出身嘛。
116s 你错过了这次,就再无近身的机会了。
122s 丞相睡下了吗?
161s 睡了半个时辰了。
163s 马上叫丞相起来。
165s 大人你忘了吗?丞相有令,他一旦入睡,不许任何人靠近。
169s 退下!丞相快快起来!丞相!
179s 丞相!是我!寻衣!寻衣!
184s 文若,半夜到此何事?
187s 城门里,苗泽来报,说黄魁勾结马腾。
193s 今夜三更,马腾就率兵杀进城来了。
196s 真有此事?苗泽是如何知道的?
200s 苗泽是黄魁的七弟,他说,马腾和黄魁早就勾结好了。
204s 让他看到城外大火,立即打开城门,放马腾进来。
207s 现在已经是两更了,时不我待啊。
211s 将军们呢?
212s 都在门外等候。
213s 抓紧来。
214s 将军们请进!
216s 副相!
221s 丞相!丞相!
223s 都准备好了吗?
225s 儿帅领的五百甲士,早已在相府四周埋伏好了。
228s 好,徐楚,徐晃,你二人在各帅五千人马,
236s 扶在南门境内,带马腾入城,一起杀出江西秦下。
243s 诺!
244s 徐御,
249s 在!
250s 立刻拆人捕拿黄魁。
254s 他既然勾结马腾,城内一定还有起挡雨。
259s 这回一定要斩草除根。
262s 遵命!
263s 到时候了吗?
289s 暂停了!
290s 军火!直奔曹府!
294s 杀曹贼!
356s 诺!
357s 兄弟们!
358s 不出重围,直奔孝府杀雷。
398s 徐晃的上万人马还挡不住马腾的五千残军。
402s 禀丞相,交战时我们才知道,马腾的五千军根本不是残军。
407s 全都是西粮休旗,他们不是武长就是使长。
411s 哥哥无意精良,死战不退,我军一时不能进剑。
416s 我倒小看这些胡子兵了。
418s 把门打开!
420s 丞相,赶快退到后院去吧,这里太危险了。
424s 你说什么?
425s 这是我的都城,我还要逃到后院去。
429s 西粮有萧綦,难道我没有吗?
432s 我儿曹章,原生西粮萧綦。
435s 我哪儿都不去。
437s 我就在这儿,敬候我儿佳音。
440s 丞相!
442s 禀部下!
453s 这是马腾儿子马铁的首级。
455s 西粮兵已经被我斩尽杀绝了。
458s 马腾呢?
461s 好了?
463s 押上来!
464s 诺!
465s 马腾!
472s 我把你当兄弟看,你又是怎么待我的?
476s 退!
477s 曹贼,我乃世代中良,你乃篡汉之奸逆。
483s 我恨不得石儿的肉,波儿的皮。
487s 看看,这是你儿子的首级。
489s 马上你就会跟他一样,身手一主。
501s 马铁虽死,我还有马巢马带,给我报仇。
508s 拿出去斩了!
509s 诺!
510s 杀贼呀!杀贼呀!
514s 曹正,传命。
526s 卓,虚幌曹弘,引军三万,前往威和。
535s 防备马巢来袭。
538s 巡玉。
540s 在!
541s 你只召告天下,西粮马腾寒随反叛朝廷。
549s 我奉天子诏,将亲率军队,前往西粮逃贼。
555s 其余各将,各归其营,整军待命。
560s 遵命!
562s 巡玉,光亏招供了吗?
568s 禀丞相,还在训问中。
571s 你城内还有什么党羽?
586s 说!
589s 给我破!
598s 丞相有令,如若不招,千刀万剐。
609s 把你的党羽全部写出来,一个别落!
631s 黄葵招了吗?
664s 招了,这是黄葵的供状。
667s 党羽都有谁啊?
670s 士郎吴忠,己士刘易贤,主部宋志义,南宏酒店掌柜陈玉勇。
680s 全部拿下,一个也不要放过。
