7s 你竟令人围攻我。
13s 好。
14s 任凭你们一起上我也不惧。
168s 来啊。
171s 马俏已经认定你咋了。
173s 你浑身有罪说不清了。
180s 现在就投了曹操吧。
181s 我的结义兄弟。
182s 事已至此,不得不忍啊。
196s 韩将军,不要惊慌。
198s 我来助你。
201s 放箭。
202s 逃贼就要来救你了。
204s 你还有得担心吗?
214s 没事吧?
215s 自然守记者赏千金风万...
217s 点睛失分,万万错失不得。
366s 稍一走神,就神韵皆无了。
370s 主公画上的簪花是女,
375s 要比堂上的舞女更有神韵。
380s 那是自然。
382s 说吧。
384s 是。
385s 启禀国主,
390s 曹操在魏水之盘击败马超二十万大军,
393s 并乘胜攻取西梁。
395s 马超走投无路,
397s 只得率五万残军奔往汉中,
400s 投了汉宁探守张鲁。
404s 曹操好厉害啊。
406s 把西梁都给取下来了。
409s 张鲁该忙着对付曹操了吧?
412s 不。
414s 张鲁兵风所向,直指我西船。
417s 什么?
419s 他不抗曹,攻我作甚?
421s 武功倾向。
423s 如果连马超都不是曹操的对手,
433s 那张鲁又如何抵得过曹操呢?
437s 汉中之地易攻难守。
440s 张鲁要想图存,
442s 最好的办法就是拜马超为将,
445s 夺取我西川,
447s 把西川和汉中都给取下来了。
450s 拜一拜了,汉中失手,
453s 他仍然可以退居西川,
456s 平险举手。
458s 你既知道西川艰险,
460s 那还担心什么?
462s 让张鲁来攻好了。
464s 我有二十万大军,何惧他?
468s 主公,
469s 这张鲁素有息故之心,
472s 但他却不敢担心。
475s 张鲁,
476s 主公,
477s 这张鲁素有息故之心,
480s 如今又添了猛将马超,
483s 如虎添翼啊。
485s 马超有这么骁勇,
488s 我西川将士斩他不过?
491s 主公知道吕布吧?
495s 当然,
496s 手中方天锦,跨下赤兔马,
499s 天下无人可敌。
500s 曹操说,
501s 马超之勇不下于吕布,
504s 卫水之战中,
506s 马超把曹操杀得隔续蒙面而逃,
510s 险些丢了性命,
512s 只因曹操失了离间计,
515s 那马超才功亏一篑。
518s 永年啊,
520s 你以为咱们如何是好?
524s 向许昌朝廷供奉重礼,
528s 拜曹操为盟,
530s 让他出军攻袭汉中,
533s 如此,
534s 张鲁无心稀固,
537s 西川无忧。
539s 好,好!
541s 永年啊,
542s 令你为使,
544s 亲自前往许昌,
546s 拜见曹丞相。
548s 遵命。
549s 主上这样昏庸,
554s 西川岂能自保,
557s 这次不亡,
558s 也难逃下司。
560s 你我一枪报复,
566s 满腹制谋,
568s 却只能用来为庸主看家守院。
574s 天赐西川与流争啊,
577s 他却不知珍惜。
580s 为西川四十一州百姓计,
583s 我们不如替西川寻一个名主吧。
590s 法正,
591s 你想叛主吗?
599s 我一向视你为数中才俊,
609s 没想到你这等浅薄。
612s 好,
615s 你拿我剑留着妖工去吧。
626s 孝之,
630s 你果然有肝胆。
635s 永年兄,
637s 莫非你也有此意?
641s 来,
643s 来,
644s 你看,
651s 这是什么?
652s 是一州祥土。
660s 川地之险,
662s 你之险雄于天下。
665s 如果没有地图,
667s 任得千军万马也休想入川。
671s 这张祥土是我花了三年的时间绘制而成。
679s 西川地通道山川险易,
683s 兵营军阵,
684s 府库钱粮,
686s 全部祥家载入。
690s 谁得此图,
691s 谁就得半个西川。
694s 那么,
696s 兄台想把此图献给谁呢?
702s 曲昌,
703s 曹操,
704s 此人胸有套略,
707s 手握雄兵,
709s 挟天子令天下,
712s 是当今世上第一雄主。
716s 西川落入他手,
718s 数中百姓便可长久太平。
723s 你我也能大战才干啊。
727s 曹操脱名汉相,
731s 实为汉贼。
733s 兄台为何不把此图献给刘备呢?
737s 他既是汉室后裔,
738s 又占据荆州九郡,
740s 本有祝格量,
741s 乌有端章照,
743s 将来必成大义。
745s 荆州之地,
749s 夹在曹操与孙泉之间,
752s 早晚必是。
754s 刘备若能自救,
757s 救赎不易,
759s 和谈大业。
761s 至于贤弟的汉相汉贼之说,
767s 就太迂了。
769s 天下何人无人骂,
773s 天下何人不骂人。
776s 骂来骂去,
778s 曹操却成就了功名大业。
782s 如果说刘备是贤主,
788s 那曹操便是熊主。
791s 乱世之中熊主胜于贤主。
795s 何时启行?
799s 明日出川,
801s 十日之后便可到许昌了。
805s 好,熊台一路顺风。
810s 好。
811s 丞相,
830s 这些都是西征时消耗的兵马钱粮不测。
838s 请丞相审阅。
840s 这么多?
842s 曹弘、徐晃、夏侯渊等部
849s 伤亡都超过了一半。
851s 青州、济州、徐州
853s 税付耗尽。
855s 丞相啊,
857s 这一仗把我们积攒八年的粮饷
861s 用掉了七成啊。
865s 损失果然不小,
867s 但是从长远看起来,
869s 咱们得到的更多。
871s 首先我们解除了北境之忧,
875s 其次我们得到了西粮八军。
880s 西粮是苦寒之地,
884s 出军马更出赶战之时。
887s 咱们占据中原也有近十年了吧。
893s 军中木器日盛,
897s 太需要西粮军师来充实我们的军营了。
902s 丞相,
903s 丞相做言极是啊。
905s 但西粮自董卓之后,
908s 就由马氏父子占据。
910s 我们刚刚拿下,
912s 人心未富,田木荒芜。
914s 枪人逃税,
916s 情状俱征啊。
920s 从现在起,
921s 全力做好三件事。
924s 哪三件事啊?
926s 第一,
927s 养民。
931s 第二,
934s 吞啃。
936s 第三,
939s 休战。
941s 请丞相详释。
944s 西粮,
946s 原本就是贫瘠之地。
949s 又逢连年兵祸,
952s 加上旱灾,
954s 百姓的日子,
956s 就更加艰难了。
958s 已传令下去,
960s 所有驻防西粮的军队,
965s 一律不准在当地挣粮。
968s 凡敢拿,
971s 百姓一树一草者,
974s 斩。
975s 把长安大仓中的所有军粮,
980s 全部调往西粮镇集灾民。
983s 还有,
985s 我们要免去西粮八军,
987s 百姓两年的赋税,
989s 这就是养民。
992s 记下了。
994s 第二呢?
996s 派上将于晋,
999s 率老弱之师赴西粮无主之地,
1002s 实行屯恳。
1004s 凡冤屈者,
1006s 赠钱粮。
1009s 牛马,
1014s 头三年,
1015s 所产古物,
1017s 权归己有。
1018s 三年后,
1020s 可按三七分队,
1023s 共饮军粮。
1025s 第三?
1031s 现在,
1034s 我们拥有
1036s 中原四周,
1038s 再加上西粮各地,
1041s 也可以算是
1043s 纵横数千里了。
1047s 可是将士们连年征战,
1049s 早已疲惫不堪。
1052s 所以我们
1054s 要休战数年,
1056s 用以练兵养士,
1059s 囤集粮草,
1060s 打造军械。
1062s 待我们的力量,
1064s 还要在强盛的时候,
1066s 在灰石南下。
1069s 就是所谓,
1071s 与取胜他人,
1073s 自己先要利用,
1075s 不败之道。
1082s 丞相,
1083s 我这就召集相关文武,
1085s 不止施行,
1086s 你的三大方略。
1092s 报!
1094s 禀丞相,
1095s 西川刘璋派别驾张松为使,
1096s 来许昌朝宫。
1098s 你去吧。
1099s 诺!
1103s 西川刘璋,
1107s 是一丘之河。
1110s 向来以正统自居,
1112s 从不与我往来。
1114s 怎么会突然想起来,
1117s 给我朝贡呢?
1119s 使者是一周别驾张松。
1121s 丞相,
1124s 此人是刘璋的心腹和臂膀,
1126s 在西川士族中,
1128s 树大根深。
1130s 刘璋,
1132s 他到底想干什么?
1134s 是来求我的,
1137s 还是来骗我的。
1139s 丞相,
1141s 不管怎样,
1143s 先见见才说。
1145s 不,
1148s 我先不见他。
1150s 你告诉张松,
1152s 让他稍候数日,
1154s 现在管意,
1158s 住下吧。
1162s 遵命。
1167s 今天丞相又没哭。
1169s 回大人,
1171s 今天丞相要给小儿子做晚睡,
1173s 所以不能见大人。
1175s 丞相,
1176s 请大人见谅。
1178s 什么?
1180s 为了给一个小娃儿过生日,
1182s 你们竟敢漫待西川特使?
1185s 请大人见谅,
1187s 见谅。
1198s 都说,
1200s 曹操素有胸襟,
1202s 礼贤下士,
1204s 我看是徒有虚名。
1206s 丞相,
1224s 今天已经是第五天了。
1226s 据医馆的人说,
1228s 张松每天戒酒使性,
1230s 言语之中甚至不满,
1232s 抱怨丞相,
1234s 漫嫌。
1236s 咱们漫待了人家,
1238s 人家骂两句是应该的。
