49s 黄叔
55s 永年醒了
56s 夜来睡得可好
58s 恕罪恕罪
60s 你看我醉成什么样子
62s 永年不必说话
67s 且先吃了这杯茶
68s 刚刚真下的
71s 多谢多谢多谢黄叔
81s 酒席已备好
83s 请先生入席吧
86s 什么
88s 还要喝酒
89s 百年佳酿 恭候嘉宾
93s 刘黄叔啊
94s 你看你已经连续陪了我三天了
98s 叫张松暂生归多去啊
100s 永年这话就见外了
103s 你主公是无皇兄
105s 你是当今国士
107s 刘备能与君共罪
108s 实乃大魏平生啊
112s 区区在下
113s 手无缚鸡之力
115s 胸无出无贼之策
117s 谈何国士啊
119s 展观多爱
121s 与万君从中取上将首级
123s 那是关于张妃他们的事
125s 先生能与笑谈之间
127s 便骂得草草狗血喷头
129s 烟族破灭
130s 不是国士是神
134s 这和黄叔过奖了
136s 过奖了
137s 请先生更衣
138s 我在外恭候
140s 黄叔请
157s 主公
157s 内府有要事禀报
159s 什么事啊
161s 永年不是外人
162s 但说无妨
164s 夫人请主公过去一趟
168s 他不知道
169s 我在招待国士吗
172s 去告诉夫人
173s 不管有什么事情
175s 以后再说
177s 遵命
178s 来
181s 孙夫人是孙犬之妹
185s 青春年少
186s 又远离故土
189s 黄叔在这里
191s 已经陪了在下三天了
195s 还是快快回府吧
200s 妻子无衣服
202s 兄弟无生存
205s 何况是永年这样的国士
207s 更应该肝胆相照
211s 妻子什么时候不能见
213s 而永年千里而来
215s 我一年能见上几回啊
218s 来
219s 不用理他
220s 咱们接着喝
232s 看来永年兄
233s 很喜欢饮制新花春啊
235s 待先生归属时
237s 带上三车
238s 两车留给我皇兄刘璋
241s 一车留给先生
243s 多谢黄叔
251s 主公
253s 怎么了
254s 夫人
255s 夫人有些发火了
256s 请主公回去一趟呐
258s 夫人发火
259s 我就不能发火吗
263s 下去
266s 再敢扰我待客
267s 军法从事
269s 遵命
280s 都是因为我
282s 还是请黄叔
283s 快快回府吧
287s 主公啊
288s 我看
289s 你还是过去吧
291s 夫人脾气大
292s 还是不要得罪她
294s 好在张大人是朋友
296s 也不会见笑的
297s 人在屋檐下
303s 安能不低头
306s 荆州说到底
307s 还是向东吴借来的
309s 夫人就是仗着这个
311s 才敢向主公发火呀
319s 发脾气我就会害怕吗
322s 就算得罪了孙权
323s 又能怎么样
326s 就算得罪了整个江东
328s 我也不能失去永年这位朋友
331s 来
340s 请
352s 汉之毛贼义
354s 都持强凝弱
356s 侵占大汉城市
360s 黄叔是汉室宗亲
363s 仁义之名
364s 文娱天下
365s 李夏
370s 张松心有不平啊
374s 有何心有不平的
377s 我刘备何德何能
380s 能有荆州这样一个七身之地
384s 已经是心满意足了
386s 岂敢多往
388s 黄叔之言差矣
391s 以你的凶财大略
393s 别说是占据周军
396s 便是取许昌而居朝廷
398s 亦非奋败
400s 你醉了
407s 我刘备世代为汉臣
411s 永不敢叛汉
418s 到了今天
420s 还有人念念不忘自己是汉臣
425s 真是难得
429s 在我看来
430s 荆州东勇孙全
433s 常怀虎拒之心
436s 北有曹操
437s 早有京吞之意
440s 区区荆州
443s 非久恋之地啊
445s 是啊
447s 这个我知道
451s 但天下之大
455s 舍荆州
457s 而我刘备安身立命之地啊
461s 黄叔恕我直言
464s 一州有显色百处
467s 卧野千里
469s 民因国富良享足位
472s 川中智能之士
474s 无不久目黄叔之德
478s 黄叔若能起荆襄之君
481s 长驱西至
483s 以蜀中为基本
485s 数年之内则罢业可成
488s 汉氏兴矣
490s 郑年啊
496s 我当你是国士
498s 你怎么能说出这等悖逆之话呀
502s 别忘了
503s 你主刘继玉也是汉族皇亲
507s 是我同宗皇兄
510s 我怎能骨肉相识
512s 寝夺他的蜀地呢
517s 刘继玉随居一州牧
520s 却非贤君名主
523s 他秉性暗弱
525s 不能任贤用奴
528s 更有汉中张鲁
530s 他十四侵犯西川
533s 我来之计
534s 他已经大军压境
538s 竟把川蜀两县的土地说服
541s 强行受教
543s 那刘继玉对此
545s 竟然诺诺不至一词
549s 整日间
550s 只知对着美女作话
553s 这等君主
555s 能保有西川吗
557s 他配保有西川吗
560s 时下川中人心离散
564s 惶惶不可终日
566s 皇叔不娶
567s 难道要拱手让与张鲁
570s 或者坐视他
572s 落于曹操之手吗
584s 几位
585s 请随我来
587s 西川四十一郡祥图
603s 此图
605s 张松用了整整三年的时间
607s 把它画完
608s 书中地理形成山川险要
613s 兵营军阵
614s 府库钱粮
616s 尽在土中
617s 谁得到此图
619s 谁就能得到半个西川
622s 皇叔请过目
636s 皇叔为何不看
643s 我岂不知
645s 这图是天下之宝啊
650s 但这有如是林家的美玉
653s 君子岂能窥视
655s 况且
657s 这美玉
658s 是我自家皇兄的
661s 所以
663s 我不能看
668s 皇叔啊
670s 皇叔
670s 永年这是为何
672s 请皇叔不要再推辞了
675s 你若再推辞
676s 西川的百姓不答应
678s 大汉的百姓也不答应啊
681s 皇叔
683s 自董卓之乱之后
685s 汉时如西辰之日
688s 气息艳艳
690s 刘氏诸侯相继被人并吞
694s 如今就只有西川还姓刘
698s 可是书中誓死百姓都明白
701s 这个刘义州
703s 只怕是维持不了多久
705s 你如不娶不出两年
708s 义州一为一主
711s 你所声称的
713s 汉贼不两立
714s 王爷不偏安
716s 又有何意义
718s 岂非空眼吗
722s 皇叔啊
724s 为汉室忠心
725s 我甘愿赴被主之名
728s 舍弃刘章
729s 引皇叔入川
732s 还望皇叔以天下为重
735s 听张宗一言
738s 先娶西川为基本
740s 然后备途汉中
743s 再后收取中原
746s 匡政天朝
748s 如此皇叔可名垂青史
752s 忘故流芳啊
757s 禀主公
