14s 皇叔,张松遣人送来密信,说刘章已离开义州,亲自到福城来迎接皇叔。
33s 义州距此有三百六十里路啊,刘章盛情可感啊。
39s 皇叔,我看这可是天赐的良机啊。
46s 是啊。
48s 何意啊?
49s 皇叔,义州之地深沟高磊,城墙坚实,难以共取。
57s 而今刘章离开了义州,就等于离开了朝学啊。
61s 如果皇叔趁机将其劫下,便能以刘章为制,令蜀军们归乡。
68s 如此兵不迅刃,岂不坐收西川?
74s 如能不动倒兵,实为上善之策啊。
87s 人家走了三百六十里地来迎我,你们却想让我加害他。
94s 皇叔若不下手,只怕蜀中将领未必如你。
101s 为何?
102s 皇叔,刘继昱孙时诚心相邀,可蜀中上将张任他们不善。
109s 方才我已接报,刘章已令他带三千人马护驾。
114s 而且我还得知,张任前军是三千,可后面却跟着三万大军。
122s 果然来者不善啊,主公,我意先下手为强。
128s 待刘章到后,我们可以九宴之策,埋伏一百假士。
134s 其间主公至卑为好,就严上杀之。
139s 如此,我军刀不出鞘,功不尚显,定能坐定西川啊。
148s 此等话,请二位再无提及。
157s 刘继昱是我同宗,人家诚心相待,我岂能刀剑相报?
163s 更何况,我初到蜀中,恩信丝毫未立,却要结下深仇大恨吗?
173s 如此行事,上天不容下民意愿。
176s 您二人所谋,非但仁者不为,霸者亦不为也。
181s 主公!主公!
189s 失去这次机会,早晚要动刀兵的呀。
194s 到那时,流血更多,伤亡更大,仇恨更深啊。
202s 我家主公以仁义立身,也会以仁义务事啊。
207s 可惜,可惜啊。
212s 诗然兄,我客居于此,不便忤逆贵主公。
217s 你是执掌大权的军师啊,你可以先斩后奏。
224s 孝之兄啊,你姓法名正,却一不守法,二不正行啊。
230s 你逼着我去做那些邪恶的事情啊。
235s 兄台不必笑我。
237s 你浪迹江湖时,不也是邪道士吗?
244s 来来。
245s 军师有何吩咐?
247s 去请卫将军来。
249s 遵命。
250s 报,一周沐流章,拒死二十里了。
264s 好。
267s 卫延。
279s 在。
280s 将那些甲师都换了。
282s 禀主公,这些将士,乃是我营中精锐。
285s 在此布阵相迎,这可展示我军威啊。
288s 我与刘继毅是同宗兄弟,展什么军威啊?
291s 换了。
292s 诺。
295s 文长留步。
301s 军师。
304s 你武术主公,是什么心思没有?
307s 主公不让我们在流章面前展示军威啊。
314s 不错。
315s 军容太强,流章难免有恐惧之意。
319s 军容太弱,也会让流章小觑我军。
323s 他担心,我们不是张鲁马超的对手。
327s 军师何意啊?
331s 军师不可太强,也不可太弱。
334s 你要多树其枝,少立刀枪。
337s 多谢军师。
338s 刘备大营还有多远?
356s 少纪说,不足十里了。
359s 张任,你派前军先去。
361s 务必要大战我蜀中军威。
364s 遵命。
365s 你先过去。
366s 诺。
367s 成州慕刘备,拜见兄台。
400s 玄德啊,我朝思暮想,总算把你盼来了。
414s 久不骑马,多谢多谢。
417s 兄台军政严整,将士矫健。
419s 在下看了,敬佩不已啊。请。
424s 玄德,请。
436s 兄台请。
437s 五弟玄德,亲率荆州士兵。
450s 应我之邀,远射千里。
454s 前来助我共聚张鲁。
456s 如此真情厚意,令我与蜀中军民不慎感谢。
462s 我先敬各位义尊,医者致谢。
466s 二者,预祝玄德齐开得胜,马到成功。
471s 多谢兄台。
472s 不过,在下有一心愿,望兄台恩准。
477s 请说。
478s 我想,这第一尊,应该共敬天子才是。
483s 此时此刻,天子正陷于曹贼之手。
491s 日夜以泪洗面。
493s 苦盼着我们刘氏宗族,能够协守灭贼,匡扶大汉。
499s 玄德忠义之心,甘天动地啊。
504s 今以贤帝之命,我们共敬天子一尊。
508s 天子在上,我们皇宗血脉在此立誓。
516s 定要剿灭贼患,中兴大汉。
520s 这蜀中之酒真是甘美无比啊。
533s 蜀中人更胜于酒,贤帝日后便知。
540s 不用日后,在下现在就知道了。
544s 兄台远道相迎,这份情义就远浓于酒啊。
549s 你挑挑千里而来,我赢你百里,就不该吗?
555s 贤帝啊,你此行带了多少兵马?
559s 部军两万,骑兵一万。
562s 这三万军士要做兄台先锋,驰骋疆场,生死不计。
567s 好,张鲁屡犯我敬,先有得马超为助,兵奉正剑。
575s 你此次入川,胜如何,败又如何啊?
580s 如胜,则乘胜进军,为兄台攻取汉中之敌。
586s 如败,则立兵默马,以备再战。
591s 如果不胜不败呢?
594s 如不胜不败,依然遵奉兄台之令。
600s 兄台令我离川,在下即刻率军返回京中。
605s 如兄台令我助手,在下便助手待命。
610s 如兄台要留下兵马,只令我返回。
616s 在下即刻将所有兵马送于兄台,只伸匹马返回京中。
622s 昔日只听说玄德仁义,今日之剑更令我刮目啊。
628s 来,请尽此尊,以表我敬意。
634s 主公,眼间无以为乐,为言,愿无剑为戏。
648s 好啊,我正想看看京中将士之勇啊。
657s 剑舞必须有对,我愿与魏将军共舞。
714s 我等当群舞,以助一向。
743s 既然群舞,我等愿为主公尽兴。
752s 住手!
757s 今日我们兄弟相逢,何等畅快之事?
772s 你们竟弄出一片刀光剑影。
775s 听着,此宴不是鸿门宴,我也不是楚霸物。
784s 伟严,弃剑。
786s 京中来的将领,如有不弃剑者,立斩。
795s 张律,把剑放下。
801s 张将军留步。
802s 各位将军,我与姬玉兄,乃同宗骨血,
823s 荣辱同舟。
825s 各位,勿要再生疑虑了。
827s 今日,我刘备当着众人的面立誓,
832s 人不负我,我不负人。
834s 如果日后我对你家主公做出什么不义之事,
838s 你们谁都可以杀我。
841s 玄德!
