6s 石渊,你以为我不想取川帝吗?
14s 我想,我比谁都想。
21s 孔明龙中三策,第二条,便是要取川帝。
29s 可是我现在师出无名啊,取之不易啊。
35s 我就算攻下义州,得了川叔,必定会尽失人。
42s 尽失人心,尽失立身之本啊。
47s 我就是想穿了心,跟自己。
64s 既想以仁义为本,又想取西川成功名大业。
79s 可是这两者,水火难容啊。
85s 主公此话,在下极为感动。
99s 主公,我会让你水火兼容的。
104s 主公之所以不敢取西川,是怕师出无名。
113s 主公请放心,我庞统一定会让主公师出有名。
120s 而且,师是仁义之师,名是堂堂正正之名。
129s 军师唤我前来,有何吩咐?
149s 这是给张松的复信,你急派一个可靠之人送往成都。
155s 诺。
161s 张府在成都的东大街,此街斜对面,也有一座张府。
167s 但那是张松之兄张素的住宅。
171s 你告诉送信的人这样做,你让他到时候千万不要。
179s 那张松岂不是要大祸临头。
188s 此人卖主求荣,绝非闲事。
194s 留之后患无穷啊。
205s 刘备快马发来急函,所要军粮十万壶。
210s 言辞甚为恳切。
217s 你们说这事怎么办啊?
219s 主公,在下之见,现在战事已了。
225s 张陆军败退汉中,刘备也应该返回荆州。
230s 如果他们千言不去,天天索取粮饷,这不是让我们替他养兵吗?
237s 我看粮草,断断不能给。
240s 否则,他们就会赖在川鼠不走了。
244s 主公,黄泉说的话不对啊。
248s 刘备是我们请来御敌的。
251s 现在强敌刚走,我们就要过河拆桥吗?
256s 如果张陆明言再来犯,我们又该如何应对?
262s 如果说刘备军中粮进,击出兵变供我城池索粮,又该如何是好呢?
273s 主公,刘备是当世骁雄,给他粮草定是如虎添翼。
279s 其货大于张鲁啊。
281s 臣已得知刘备驻军加盟关后,甚得名望。
286s 当地的士绅明流,经常携酒肉去靠军,恳求他永驻川地。
292s 主公啊,你听听。
294s 刘备一旦在西川扎下根,定会反客为主啊。
299s 好了,都别争了。
301s 我有主意了。
303s 永年说的话有些道理。
306s 刘备毕竟是我们请来的嘛。
309s 我们不能过河拆桥啊。
311s 公衡说的话也有些道理。
314s 我们不能把刘备喂得太肥,让他吃饱了赖着不走。
320s 这样就有反客为主之律。
323s 所以啊,刘备要军粮十万壶。
329s 我们就砍他七万,给他三万壶吧。
335s 这样,他既吃不饱,也饿不死。
339s 逼他回荆州去。
374s 老爷,你休息了吗?
376s 深情半夜的,什么事啊?
385s 来人说,这是军师给你的急信。
389s 军师?我不认得什么军师啊。
394s 送信的人呢?
398s 走了。
402s 永年兄台如雾,来寒已熄。
405s 皇叔决定遵照兄台寒中所示方列。
409s 星夜攻袭成都,三日之内即可兵临城下。
413s 至时,请兄台为内应,开城相应,行同百败。
422s 主公啊,主公啊。
423s 从今日起,下官与那张宗义一刀两断,有无关系了。
428s 皇叔啊,清楚公已发言办张宗啊。
437s 你大义灭亲,非但无罪,反而有功。
442s 我万未想到,你弟张宗,竟然会投靠刘备充当内应。
448s 此贼,我绝不数。
451s 待我拿了他,必悬守城门,错骨扬灰,放弃我心头之憾。
460s 刘备已经起兵,势不宜迟。
462s 请主公立即下令给各官岸,让守将们天兵把守,不得放荆州军入关。
468s 此外,末将立即率扬怀高配两军东进,
471s 埋伏在洛城的来路上,伏杀刘备。
475s 一旦和刘备交战,胜负难了,川地更无宁日啊。
484s 主公,再不下令,为师晚矣。
489s 义州已经出了个张宗,谁知道还会出多少个张宗。
494s 法正不是到刘备军营后就再不回来了吗?
498s 请主公立即下令,斩杀张宗,并把他的首级送给刘备。
