4s 父亲不守规矩,儿子也不守规矩。
9s 这天下成何体细?
12s 徐大人,那你想让我怎么办?
18s 请公子给我退回去。
20s 定仪
28s 在
29s 出
30s 诺
33s 父王
34s 卫王
35s 白马门谁当值啊?
61s 回卫王,是在下
64s 徐楚
65s 在
67s 诺
68s 卫王,饶命啊
69s 饶命啊,卫王
70s 卫王,饶命啊
71s 丞相
72s 饶命啊,卫王
73s 我是卫王
75s 禀丞相
76s 坏规矩的是公子
79s 为什么要杀死门吏?
83s 门吏如果不开门
84s 公子岂能坏规矩
86s 这就是我的规矩
88s 门吏尚开白马门盖上
93s 那朝廷尚未丞相
96s 大开封王之门的百官
121s 寻玉寻玉
124s 你跟了我三十年
127s 没想到你竟敢这么忤逆
130s 来人哪
131s 在
132s 丞相想杀在下吗?
139s 族下尽管放心
141s 我曹操从来不杀有功之臣
144s 徐楚
146s 即刻拆除白马门
148s 遵命
151s 寻玉
152s 我要你好好看看
154s 一会儿连门都没了
156s 大陆朝天人人可走
159s 你所谈的规矩
162s 有何在呢?
168s 寻大人
196s 寻大人
198s 寻大人
201s 寻大人
202s 寻大人
205s 寻大人
210s 少府耿尽
228s 没死决
229s 白马门拆除了没有?
246s 全部拆完了
248s 那寻玉
251s 有没有来闹过?
252s 那天时候
256s 他回去
258s 回去就病了
260s 三天没进食了
263s 不吃东西怎么能吃
267s 我这儿有点儿果品
274s 你拿着
277s 带我到他府上去
280s 盼望一下
284s 遵命
285s 给你烧了一盒果品
404s 没有你徇门弱
692s 性平缘年
699s 我正讨欠
700s 你以周司马
704s 留守延州
706s 费尽心机
711s 把我两相共计
714s 掌描反叛时
716s 各军线纷纷响应
719s 又是你
721s 率军坚守
724s 并不是
726s 建安五年关渡之战
733s 我大军粮进
735s 军心大乱
737s 所有将领都要让我退去
742s 只有你坚守待变
747s 连夜给我送来了
749s 粮草军械
752s 我才能
753s 最后出其之声
755s 大败元少
757s 你就是我的张粮
762s 张梁 张子芳
765s 你就是我的左膀右背
768s 就是我的兄弟
798s 是
799s 孩儿明白
800s 杀了一个不想杀
806s 又不得不杀的老友
810s 况且这位老友
812s 还是父亲的知心人
816s 你听见了吧
820s 皮儿说得对
822s 你是我的知心老友
827s 可是你
828s 跟世人一样
830s 你等着
836s 时间会证明
839s 你离我而去是错的
842s 大错特错
874s 曹贼大逆无道
875s 破天子立他为位王
877s 逼杀巡大府
878s 出境入壁
880s 吾等汉臣
881s 当杀死逆贼
882s 匡扶朝廷
883s 杀死逆贼
884s 匡扶朝廷
885s 吾等半死不死
886s 好
887s 列伪弟兄
888s 静听我说
889s 曹操今夜
890s 仍夙在五凤楼
892s 此楼由御林军执守
894s 我已经在御林军中
895s 联络多位义士
896s 三晚时分
897s 他们会在马料厂放火
899s 以此吸引城中守卫
900s 前去救火
901s 我则率兵杀入五凤楼
903s 斩杀曹操
904s 再请天子当楼
906s 招百官灭狱逃贼
907s 招安御林军
911s 如此便大局已定
912s 我等皆是汉室功勋之臣
915s 快去救火
919s 着火了
