18s 都带二百铁机,从后代杀出重围。
21s 至此心,交予卫王,请求卫王速发援兵。
25s 告诉卫王,援兵一日不到,定军山全军覆没!
30s 遵命!
41s 卫王,夏侯将军求援,定军山万急啊!
44s 拿来。
47s 敌军不下三万,把山寨围的水线不通。
50s 我军死伤过半,夏侯将军身中一箭两枪,仍然死战。
55s 如果援军再不来,定军山全军覆没啊!
60s 卫王,快发兵救援吧!
62s 卫王,快发兵救援吧!
70s 夏侯元英勇,不愧为五弟。
76s 侄儿,你先歇息片刻。
81s 待会儿我会派五百铁机,护送你回山寨。
85s 你告诉夏侯元,
87s 我马上就会让徐晃,徐楚,带三万大军前去香园。
93s 让他再私守一天,
95s 只带援军到,离殷外合,拒监皇中。
99s 谢卫王!
102s 都退了吧。
104s 遵命!
117s 功课第一关算齐。
120s 我们这是第几场败仗了?
123s 第四场。
126s 我打了一辈子仗,
128s 还从来没有连败过四阵。
132s 卫王真想援救定军山。
134s 为何不?
136s 你以为我说说而已吗?
138s 卫王应该前日就发兵。
142s 何必等到战局恶化成今日?
145s 此刻发兵,需急行军一日半。
148s 等援军到时,
151s 定军山八成已经失了。
154s 而我援军确实兵疲马乏。
161s 按不过你,这正是我心中的苦恼啊。
170s 我刚才给信使说要发兵,
173s 也只是说给他听听。
175s 定军山,敌视贤军,
178s 四周山岭皆被皇中占据。
182s 我已无法再救。
185s 派多少人去,
188s 都是送死。
190s 卫王的意思是,
193s 定军山已成败士,
195s 就让他败得更有价值。
198s 让定军山的士兵
200s 抱有一丝希望,
201s 战至最后一刻,
203s 好拼杀掉刘备更多兵马。
208s 没错,
209s 刘备得定军山之后,
212s 娇气更盛,
214s 必小试于我,
216s 这更有利于我日后与他决战。
226s 夏侯院是我军上将,
229s 屡见其功,
232s 还是卫王的宗亲血脉,
236s 他一旦阵亡,
237s 三军阵动。
239s 你难过了?
242s 心痛如脚。
243s 我也心痛,
246s 但又能如何?
249s 我只能让痛到最后的,
252s 不是我,
254s 是刘备。
264s 我早已不好阵势,
266s 只等曹操率军来援救定军山,
269s 为何他迟迟不救?
271s 难道要坐视夏侯院全筋覆膜?
275s 曹操用兵,
277s 经常出人意料。
279s 主公,
283s 定军山被攻下来了,
285s 曹军非死即降,
287s 我亲手斩了夏侯院的。
292s 恭喜黄老将军。
294s 恭喜黄老将军。
295s 竟有如此之神勇,
297s 在下是敬佩万分的。
299s 恭喜黄老将军。
301s 韩生。
303s 主公。
304s 你老当益壮,
305s 不让连坡。
307s 我即加封你为征东将军,
309s 上奏天子,
311s 为你赐决。
312s 谢主公。
314s 众将听令。
316s 在。
318s 曹军失了定军山,
320s 可谓大势已去。
321s 三军齐发汉中,
323s 与曹操决战。
325s 遵命。
326s 定军山失了。
339s 是。
342s 我军两万多将士全部阵亡。
345s 夏侯。
346s 不用说了。
350s 我知道什么结果。
355s 苗材是我兄弟。
357s 他绝不会做俘虏。
363s 请为王下令。
364s 我等愿与贼军决一死战,
366s 为夏侯将军报仇。
368s 请为王下令。
369s 是为夏侯将军报仇。
370s 请为王下令吧。
371s 请为王下令吧。
373s 为差人送来战表。
386s 梦得如物。
387s 今日我借军一言,
389s 请族下沐浴敬守,
391s 与我会列汉中。
396s 刘备皮肤如此猖狂,
399s 欺我太子。
401s 魏王息怒。
403s 刘备正是诱我军会战。
414s 刘备现在兵至何处了?
417s 先锋赵运皇中,
418s 已渡过魏河之边。
420s 刘备率三十万军,
421s 紧随其后。
424s 徐皇现在哪里?
426s 徐将军已搭好副脚,
427s 依印军渡过魏河。
431s 在西岸接应扎寨,
433s 徐将军御效韩信,
436s 至死地而后生。
438s 徐皇宝都兵书却不求甚解。
441s 也不想一想,
443s 当年韩信背水为战,
445s 是因为对手无谋。
446s 他现在面对的是刘备,
448s 诸葛亮。
452s 曹长现在哪里?
454s 三公子奉魏王命,
455s 零五万精气日夜兼程而来,
458s 现已邪骨等好。
462s 虎儿到了,
463s 我无后顾之忧了。
467s 你们且退,
469s 待我三思。
470s 遵命。
480s 你也退下。
482s 请魏王用膳。
519s 当之将军请示,
520s 今夜的口令是什么?
522s 鸡肋。
523s 诺,鸡肋。
528s 听好了,
529s 今夜口令为鸡肋,
532s 各少记务必严查巡视,
534s 防敌夜袭。
535s 诺。
541s 马上收拾行装,
542s 准备回城。
543s 遵命。
545s 杨先生。
546s 好。
548s 魏王正准备与敌决战,
549s 你怎么能让两官们收拾行装呢?
551s 好。
552s 我听魏王号令,
553s 已知他的心意了。
555s 所谓鸡肋者,
557s 实之无畏,
558s 弃之可惜。
559s 以此夺之,
560s 魏王必定退兵。
562s 两官早些准备,
563s 以免得临时慌张啊。
565s 快点,
568s 收拾一下,收拾一下。
569s 准备啊,
570s 都走快点。
575s 魏王。
577s 怎么回事?
578s 他们为什么在搭点心呢?
581s 回魏王,
582s 主部杨修说,
583s 魏王不日就会下令班师啊。
585s 他为何这么说?
586s 杨修听到今夜口令为鸡肋,
589s 便说,
590s 鸡肋者,
591s 实之无畏,
591s 弃之可惜。
593s 以此夺之,
593s 魏王定会下令班师。
595s 杨修匹夫,
597s 妄自猜测乱我军心。
599s 来人哪。
600s 在。
600s 立刻把他拿下,
601s 斩首之重。
602s 遵命。
