4s 各位弟兄,明天我就要出战关羽。
11s 死亦不是我死,就是关羽死。
17s 无论谁死,你们都把他放到这口棺材里,回报魏王。
23s 遵命。
24s 来,干了这碗酒,不杀关羽,吃不休!
30s 不杀关羽,吃不休!
33s 不杀关羽,吃不休!
36s 不杀关羽,吃不休!
39s 不杀关羽,吃不休!
42s 刘备自取汉中后,自立为汉中王。
51s 现在兵强马壮,所拥半壁江山。
56s 五年前,关羽又攻下了中原重镇襄阳。
60s 现在正在攻打樊城。
63s 曹操派密使来说,他已派出七路人马支援樊城。
69s 要我夹击刘备,承诺与我平分疆土。
75s 信中言语近乎恳求。
79s 怎么样?意下吧?该如何应对?
86s 主公,刘备得川帝之后,生势熏天。
97s 迟早会攻灭徐昌,望图一统天下。
102s 如今,我东吴最主要的敌人是刘备。
107s 卢子敬临终前有言,曹强则连流抗曹。
112s 若刘强,则连曹抗刘。
117s 这是我东吴求存之道,也是取胜之道。
122s 末将议委,我们应联合曹操,席取靖州。
128s 刘备君是正胜,我们不可与之为敌。
134s 最起码,现在不可与之为敌。
139s 不能与之为敌,难道与之为友吗?
144s 现在这个刘备,还能看得起我这个盟友吗?
149s 主公啊,在下有一策,不知可否。
160s 说吧。
161s 关羽有一女,尚未许配人家。
166s 主公有一子,也年当娶亲了吧。
171s 请主公派出使臣前往靖州,向关羽提亲。
177s 两家再结,秦晋之好。
181s 再结秦晋之好?
183s 上次主公之妹下嫁刘备,就是赔了夫人又折兵啊。
190s 如今怎能重蹈覆辙?
194s 如果关羽答应了,主公可趁势向他索要靖州。
200s 毕竟刘备已娶汉中,按约礼当归还靖州。
206s 如果关羽不答应,他肯定会对我们更加的轻视。
215s 救兵之计。
220s 总之,在下希望与关羽血战的是曹军,得靖州的是主公。
231s 父亲,曹操发兵,来借樊城之位。
248s 来了多少兵马,先到何处?
252s 曹军兵困七路,共有八万兵左右。
256s 齐前锋已到北关外三十里出。
259s 同军将领是何人?
261s 上将于晋。
263s 于晋?
269s 于晋能统兵吗?
271s 曹操真是老糊涂,派了个驻地的来救樊城。
275s 父亲说得不错,孩儿前去探营时,就发现于晋所扎营盘,不成体统。
281s 但是前军先封庞德,起言十分嚣张。
285s 军前抬着口棺材,口出不逊之言,是与父亲决一死战。
292s 庞德是何人?
294s 他从前是马超的部将,兵败之后被曹操所受。
300s 此人武艺超群,其勇烈不在马超之下。
306s 天下英雄,闻官某大名无不,闻风丧胆。
312s 体负庞德,竟敢抬口棺材前来送辞。
317s 官平,继续攻打樊城,我要亲自斩杀庞德。
324s 遵命。
325s 将军,东吴有史求见。
330s 什么人?
331s 参军朱阁锦。
333s 他怎么来了?
336s 讨还荆州的吧。
342s 说没空,不见。
343s 遵命。
344s 君侯,朱阁锦毕竟是军师的兄长。
348s 他跨江而来,你若不见,只怕余力不共啊。
353s 再者,我们正在远攻樊城。
356s 此时此刻更应该与东吴有善相处才是。
361s 你说得是,那就请他进来。
364s 遵命。
366s 在下先告退。
368s 参见官将军。
372s 子昀,请坐。
374s 多谢。
375s 这回,你来此何意?
386s 在下来此求亲,以解秦记之好。
391s 又解秦记之好?
393s 我大哥,不是和孙权已经结下了亲奠了吗?
398s 官将军,此一时彼一时也。
403s 听闻将军有一女,尚未婚配。
407s 所以,在下特来求亲。
416s 将军,为何大笑啊?
418s 荒唐。
419s 我大哥,去孙权妹子时,差点死于非命。
426s 我胡女,岂肯嫁全子。
430s 我胡女,岂肯嫁全子。
434s 回去吧。
435s 官将军。
436s 不必多言。请吧。
438s 先生,请。
451s 君侯,怎么了?
456s 听见了吗?
458s 孙权,又要和我解秦记之好。
461s 他想让我女儿嫁给他儿子。
464s 这是在向我献媚。
469s 君侯,是否答应?
472s 我怎么答应?
474s 当场把他吃走了。
477s 君侯,你如果不愿意,也不应当场拒绝他。
481s 你应该好言相慰才是。
483s 官平。
488s 父帅。
489s 赶快调集精兵。
491s 我要亲自出战庞德,在二日内。
494s 定复曹军七路援军,攻去樊城。
497s 君侯,你如果把荆州荆锐全部调走。
502s 荆州怎么办?
504s 东吴懂兵者无非二人。
507s 一个周瑜,一个鲁苏。
509s 二人死后,东吴只剩一群蜀辈儿。
513s 谁敢犯我荆州?
515s 县吕盟就率数万水师囤于路口。
518s 一旦有警,荆州难敌。
521s 我有一策。
523s 沿江每二十里造一座风火台,每台五十军士。
527s 一旦预警,日举烟,夜举火。
530s 我半日之内便可飞马杀盗。
533s 在下刚刚表明求亲之意。
540s 关羽尽哈哈大笑,还说。
543s 说什么?
547s 主公,望无动怒。
549s 关羽说,虎女岂能嫁犬子。
553s 他是虎,我是犬。
560s 好你个关云长。
562s 我平生还没受到过这种侮辱。
565s 刘备要是得了天下,岂不比曹操还要危险?
573s 主公,在下有一事,要向主公道谢。
579s 还有何谢?
581s 少记谈报,关羽已将五万金锐调出荆州。
586s 亲自率领前往樊城攻打曹操援军。
590s 荆州是前所未有的空虚。
595s 主公,攻打荆州的时机到了。
606s 马上传令吕盟,命他过江攻打荆州。
613s 在下遵命。
638s 关羽听着,吴奉魏王旨特来取你首级。
644s 关牧已为你准备好。
646s 你若是胆怯,就赶快下马受复吧。
651s 狂徒,天下英雄闻我名,无辜丧胆。
657s 可惜我这青龙燕月刀,竟斩你这鼠辈的首级。
662s 那不是去杀他,干定刑。
826s 庞将军果然神勇,天下人人都怕关羽。
838s 你却一箭将他射回营中。
840s 我西凉人自小善用弓箭。
844s 实话告诉你,关羽中了我这一箭。
848s 三日之后,这仗就无需再打了。
852s 好。
855s 我不太明白。
857s 等到他们发举之日,你们就明白了。
861s 来。
862s 走。
863s 来。
864s 干。
880s 营寨,安在这么迪瓦的山谷里。
884s 驱水方便。
888s 那边是何处?
890s 增口川。
894s 羽入增口,必不我所擒。
898s 文明。
899s 在。
900s 传令。
901s 叫将士们预备船阀,收拾水战用具。
905s 遵命。
906s 这不好,四面八方都是水啊。
951s 湘江巨子十里之遥,怎么会有洪水?
955s 你休要胡说,乱我军心。
958s 关羽在增口川住吧,借这雨势,突然决定放水了。
987s 父亲真是用兵如神啊。
989s 当年孔明先生也不过是草川借剑。
992s 父亲却借来天上大水。
994s 往曹军营战一波。
996s 于禁数万兵族都成了水中之鳖了。
1000s 君侯在上,还不跪拜。
1025s 关将军。
1027s 于禁,咱们也算老相识了。
1030s 来之前可否听说,是谁在此统军?
1036s 知道,是关云长。
1039s 既然知道是我在此统军,为何还领七路人马前来送死?
1045s 当年我斩颜良诸文丑之际,你不是在一旁看着吗?
1051s 上有命,下不得不为。
1057s 还请关将军念着旧情,饶过在下。
1063s 杀你脏了我的刀斧,把他押回荆州。
1069s 带我请了曹操教育主公,一并发落。
1074s 遵命!
1075s 庞德那司呢?
1083s 营门外。
1085s 把他押进来。
1087s 庞德誓死不尽我营长。
1090s 那就把他扛进来!
1092s 遵命!
1094s 带庞德!
1096s 你哥哥在我哥哥手下为官,你雇主马超也在蜀中为将。
