14s 徐将军,曹任将军令在下冒死突围。
18s 樊城被围两个月,城中的老鼠都被吃光了。
22s 如果将军再不发兵救援,我们就只有吃人肉了。
26s 跟你说实话吧。
32s 我在此等待了二十天。
36s 但是,没有魏王之令,我不能进兵。
43s 将军!
45s 将军啊,难道你想坐视樊城的弟兄们全军阵亡?
50s 想看到曹任将军录到丁军山的下场吗?
54s 将军!
56s 扶他下去。
57s 将军!
58s 扶他下去吧!
59s 将军!
60s 诺!
61s 将军!将军!
63s 我徐皇为将三十年,何曾受过如此耻辱?
70s 知道耻辱好啊,知耻而后勇啊。
76s 魏王!魏王!你终于来了!
82s 魏王,你终于来了!
90s 着急了吧?
91s 魏王,我恨不能劈自己一刀啊!
94s 你命令末将再次守候二十多天。
106s 我七次请战,你七次给我骂回来。
112s 魏王,你今天为何亲自赶来?
116s 因为现在战机已到,孙权要和咱们联合。
122s 他想吸取荆州,按心上的日子算,
130s 驴盟此事应该在荆州城下了。
134s 徐皇,末将在!
137s 听令!
138s 现在,我把我的虎贲营,鱼鳞军,还有我儿曹章全部交给你。
155s 这是我最精锐的十二万兵马。
157s 魏王!
158s 关羽号称天下第一盟将。
162s 他所统率的荆州军,是刘备最精锐的军队。
167s 现在我命令你,击败他!
171s 全部斩尽杀绝!
174s 一个降族都不留!
176s 遵命!
177s 荆州军死战不下,我们三次攻入寨门,可,可都被他们反攻下来了。
184s 传令!
185s 载调五千宫寨士兵,五千督战士兵。
297s 若有退过此箭者,督战士兵立斩,宫寨士兵王进,
305s 督战士兵带上!
307s 诺!
308s 将军!
313s 我现在已经是宫寨士兵了!
315s 弟兄们!
316s 看了从前那支无所畏惧的军队又复活了。
327s 等得太久了,胡子都白了。
332s 情况不好了。
333s 徐晃亲率精锐冲进来。
444s 反正那类曹人也打开那门冲杀进来。
448s 他们两下合计,以攻破我东寨。
487s 你把东寨丢了?
488s 将军!
489s 进攻的曹军!
490s 将军!
491s 将军!
492s 将军!
493s 将军!
494s 将军!
495s 你攻破我东寨!
496s 你把东寨丢了?
500s 将军!
501s 进攻的曹军都是精锐啊!
503s 我们东寨人少,兄弟们顶不住啊!
505s 混帐!
508s 你守不住东寨,却说曹军强悍!
511s 分明是在给自己找借口!
514s 来人!
515s 在!
516s 把这个闹钟拉下去!
518s 进发从事!
519s 诺!
520s 圣将军!
521s 末将并非怕死!
523s 的确是曹军人太多了!
526s 君侯!
527s 这位孙将军一向是个直性子!
529s 从不说假话!
531s 他说徐晃率军前来,看来定是曹军精锐啊!
536s 曹军在汉中连折五阵,损兵折将好几十万!
541s 要说精锐,我荆州兵经我调训多年,那才是精锐!
546s 管平!
547s 父帅!
551s 带人去东寨!
553s 半个时辰,打退徐晃,多回东寨!
556s 否则,提头来见!
559s 遵命!
560s 将军!将军!
562s 大事不好!将军!将军!
564s 曹军不打我东寨!
565s 现在他们去北寨了!
567s 他们都在喊!
568s 喊什么?
569s 他们喊,律盟攻下荆州!
572s 让我们快快投降啊,将军!
574s 什么?
580s 荆州失了?
581s 失了!
597s 谎言!
599s 设是谎言!
601s 谎言!
602s 曹操占不胜我,就放出谎言乱我军心!
607s 不用踩他!
608s 管平,你还愣着干什么?
613s 快去夺回东寨!
615s 我这就去!
616s 夺回东寨!
618s 律盟已经为你攻下了荆州!
642s 你在天之灵,可以安息了吧?
646s 大多多!
673s 少级飞马传令!
674s 陆薛让大多多夺取荆州以后,原地驻守!
676s 不要追杀关羽!
678s 陆薛,他在哪里?
685s 多多请看!
686s 关闭东城门!
695s 阻止他半个时辰之后,再放他进来!
698s 遵命!
699s 驾华!
702s 在!
703s 立刻率一万轻计,出西城门,追击关羽!
706s 关羽,今日会让你为你的傲慢!
713s 遵命!
718s 这盘棋还没下完,接着杀!
738s 君侯!
739s 我担心!
742s 荆州真的失了!
748s 听说过,旺眉止渴吗?
751s 那是曹操惯用的伎俩!
754s 他们越是这么喊,我就觉得我们就越快攻破凡城了!
762s 曹操用这最后的伎俩,给他的部下打气!
769s 陆子吧!
771s 父亲!父亲!
773s 父亲!
778s 怎么?你没拿下东寨?
782s 不!父亲,荆州丢了!
792s 丢什么?
797s 荆州百兵来报!
801s 昨天夜里,东吴旅盟水军过疆,袭击了荆州!
806s 本在背后捧了一道!
817s 当家有百尺座风火台!
825s 将士们为何不举火报警?
828s 东吴军士搬作客商过疆,将精兵抚于船中!
832s 三更士突然下手,杀尽寿城士卒!
839s 南郡副使人,弥坊他们手下各自有一万精兵,为什么不来援救荆州?
844s 他们这两个叛徒,一经相无!
848s 父亲!
855s 将军!
856s 郡侯!
857s 父亲!
858s 将军!
859s 郡侯!
863s 世英明经患于奸小之手,把荆州托付给我,去接熊武!
884s 将军!
885s 郡侯!
886s 父亲!
890s 棍平,你速带郡侯赶快撤退!
906s 千金!
907s 满楼在此,大汗烧死!
925s 我圣之不无,但你末日已到,冤不动我了!
945s 休要放松关羽,弟兄们,给我追!
992s 徐将军,我有三千经纪,都是西粮快马!
1027s 如果从这条路截过去,一定能抓住关羽!
1031s 胡夫无权子啊!好,斩关羽之功,我就让给你了!
1036s 谢将军!
1037s 时不宜迟,请公子即刻领兵出发!
1040s 切记,关羽小勇,你一定要小心啊!
1044s 你若是擒得关羽,卫王定会大喜!
1049s 你更是明震天下了!
1051s 大恩不言谢,容我候报!
1053s 徐皇将军听令!卫王传令!
1056s 卫王传令!对关羽的残君只追不及!
1059s 对关羽本人既不能伤,更不能杀!
1063s 知道了,父亲还要留用关羽吗?
1069s 也不想想当年给过他多少恩典,他字也不回头!
1073s 徐将军,将在外,君命有所不受!
1077s 我追杀关羽去了!
1079s 公子且慢!
1080s 卫王君令,你我不可违抗!
1083s 你听他君令了,我可没听见!
1085s 公子!公子!公子!请下马!
1094s 怎么?你要拦我?
1096s 卫王下君令了,你我必须遵守!
1099s 是卫王的儿子,你管得着吗?你信不信我劈了你?
1103s 你就是劈了我,我也要执行卫王的君令!
1106s 你们我不敢吗?
1109s 放手!
1110s 放手!放手!
1113s 砍啊!你怎么不砍啊?
1116s 卫王!父王!
1123s 你看清楚他是谁了吗?
1137s 他是徐晃!
1142s 徐晃是谁啊?
1144s 是我的韩信,白起,周雅夫!
1148s 他跟着我讨董卓的时候,你小子还没开花结果呢!
1153s 他一个徐晃,顶得上你十个糟粥!
1157s 孩儿向父王请罪!
1160s 向我请罪有何用?快向徐将军请罪!
1165s 徐将军,草长罪该万死啊!
1167s 公子,快,快请起啊!
1169s 杀关羽容易,可是这个时候杀他,已经不是功劳,而是祸水!
1189s 因为关羽是刘备的骨肉兄弟,杀了他,会招来刘备的复仇大军!
1195s 这股祸水,为何不引到吴军那儿去拿?
1199s 孩儿知道了!
1202s 只准你,大张旗鼓地追,不准你,靠近他百步之内!
1209s 孩儿遵命!
1210s 去吧!
1221s 少将军!我来了!
1228s 周沧,关羽呢?
1231s 稍后几道?
1233s 曹兵离我们还有多远?
1237s 曹兵只是击鼓吶喊,并没有死追啊!
1240s 曹曹又在试试吗?
1244s 有没见过马良?
1248s 刚才一场乱战,四面皆敌,马先生给冲散了
1253s 我们还有多少人?
1258s 不到一千了
1259s 少将军,这条小路直通上庸,我护着你
1278s 到了上庸,我们就脱险了
