15s 陈鲁迅
17s 拜见主公
25s 鲁迅啊
27s 吕盟积劳成疾
30s 英年早逝
32s 我东吴又失意良助啊
37s 在下也深感悲痛
40s 可事已至此
43s 只能顺天命
46s 你说
48s 谁可继任吕盟之职
51s 来担任东吴的大都督啊
59s 大都督之职
62s 乃东吴战时最高统兵将领
65s 如今相对平静
68s 主公可暂不设大都督之职
72s 专意整顿三军
74s 积攒粮草军性
77s 待战情爆发
80s 再深入学历
84s 好
87s 就依你吧
88s 末将含有意情
91s 说
92s 既然主公不设大都督之职
95s 末将的副都督之职
97s 也应一并裁撤
99s 为何
100s 末将本是一文士
103s 并无统兵之才
105s 请主公恩准
108s 让末将回归故里
170s 在位十多年了
175s 一直受他们这些大都督的制约
182s 现在
184s 才能真正当一回主公
215s 二弟
221s 你怎么来了
228s 云长
230s 你不在荆州带兵
231s 跑到这里来干什么
235s 我是来向兄长你
241s 你要去哪里
244s 九泉之下
248s 记着
259s 你去哪儿啊
272s 云长
273s 你去哪里
275s 站下
277s 云长
292s 外面何人
297s 是孔明吗
304s 是我害怕见到主公
329s 因此先见到我
333s 快进来
335s 主公
337s 无论你听见什么
340s 你都不要太激动
343s 你快让他进来
350s 冠将军在樊城
352s 正在与曹军激战
354s 那日
355s 那东吴旅盟
357s 突然袭击了荆州
358s 冠将军抚卫受敌
360s 被曹军突破了营寨
363s 冠将军负伤退到了麦城
366s 难知遭到旅盟围攻
368s 他
370s 他怎么了
371s 阵亡了
382s 云长怎么能阵亡呢
389s 我二弟他
391s 主公
392s 冠将军确实殡天了
396s 头颅被吴将斩下
399s 官兵周葬
401s 一并斩死
410s 不可能
412s 我二弟天下无敌
416s 只有他杀敌的份
417s 怎么可能被敌人杀呢
419s 让他退下
467s 卫王
468s 什么事
479s 孙全派人
481s 给卫王送寿礼来了
484s 一颗卫王
485s 六五大寿啊
488s 孙全给我送寿礼
493s 他做梦都想让我早点死
495s 会给我送寿礼
498s 什么呀
511s 什么
518s 关于人头
533s 还有一些
535s 念
544s 孙全拜成卫王陛下
548s 吾领陛下之命夹击刘军
553s 荆州之役
555s 实为卫王之公也
557s 新逢陛下六五大寿
560s 敬上狄囚
562s 冠也授稷以为贺青
570s 孙全
571s 许了荆州
576s 杀了关羽
579s 占了大便宜不说
581s 还想把祸水引到我这儿来
587s 直到刘关章
590s 桃园劫义 誓同生死
592s 便托死是受我命取的荆州
598s 想让刘备迁怒于我
605s 不发吾
608s 而攻卫
611s 卫王
611s 我该如何应对呀
621s 上奏天子
624s 追风关羽为晋王
626s 将其首级
628s 配以香木神曲
631s 套葬于洛阳南门外
634s 臣下即刻去办
638s 下葬的时候
641s 卓文武百官
644s 一起出殡
645s 遵命
647s 都说这人要上了岁数
676s 就喜欢念旧
678s 我这两天
685s 老想起从前的事
687s 老想起从前的事
689s 想起你温酒斩华雄
693s 斩阎梁朱文丑
700s 挂印分金
702s 武关斩六将
706s 真是一把快刀啊
709s 可是你为何死在蜀辈手里
717s 因为你缺一个好主子
720s 你要是跟了我
727s 岂能身手易主
731s 刘备
732s 家人家义
736s 我才是天下雄主
739s 你呀 你什么都不缺
747s 就缺一个好主子
751s 不过话又说回来了
755s 你要是当初真跟了我
758s 没有去寻你的雇主
760s 我又该瞧不上你了
765s 没什么呢
766s 你我也喜欢忠义之人
770s 但最好是对我忠
777s 罢了
780s 罢了
781s 是在会吧
787s 云长 你歇着
806s 陆续凋零
810s 好似风中落雨
823s 父王
823s 卫王
824s 父王
825s 父王
825s 卫王
828s 卫王
829s 我头好痛
830s 又如针扎剑脚
834s 快 快
834s 快扶卫王上车
860s 到底是上了年岁
862s 多年劳苦不息
863s 昨日又染了风寒
865s 把他旧疾又引发了
866s 赶紧设法医治啊
868s 世子恕罪
870s 卫王的头疯
871s 乃是多年故疾
873s 我才书学浅
874s 多年未能治愈
876s 这次
877s 卫王的病逝又来得这么急
879s 我
881s 卫王一人担着社稷
883s 万万不能倒下
885s 快想办法
887s 有一人
888s 或可请他一事
889s 谁
890s 此人名叫华佗
891s 他的医道超凡入圣
893s 胜我十倍啊
894s 我知道了
895s 传说中的神医
896s 此人现在何处
898s 听说到了敏俊
