5s 只有天子才能册封王位啊。
8s 臣通晓律法一规。
10s 你是暗示我废了汉帝,改朝换代。
28s 汉左延续四百年,早已日波西山,名孙世王。
34s 天下人对他早就已绝望,卫王应该承天道顺人心。
44s 那,你认为我的谋略、声望,比父王如何?
52s 卫王虽是雄主,但卫王不及先王。
65s 那我的文志武功,比父王如何?
71s 先王乃创业之主,百战艰难,其丰功未尽,足以朝日月垂千古。
80s 卫王不及先王,正因为卫王不及先王,卫王才应该尽位称帝。
95s 为何?
99s 并卫王不敢废汉,而是不需要。
110s 以先王之才之志之恩威,要做皇帝早就做了。
116s 先王不想做皇帝,先王深深明白,不做皇帝胜死皇帝。
124s 不做皇帝却圈养了一个皇帝,执于掌中运用自如。
130s 卫王的情况却恰恰相反,卫王继位未久,人心不稳。
137s 曹人、徐晃、张辽那批老将,成玉、贾许、汪朗那批老臣,都是先王培养提拔起来的。
148s 敢问卫王提拔过哪些文臣武将,卫王恩威何在?
154s 卫王只有晋位称帝,改朝换代,才能生拔自己的文臣武将,
162s 封满自己的羽毛,建立自己的恩威。
166s 臣敢肯定,他们那些人,比卫王更渴望卫王称帝,提壶宽庭。
182s 爷爷,依此。
213s 饭食已备好,请用膳。
254s 再等等,让我算完。
257s 父亲在算什么?
261s 我想和卫王做笔生意,卖给他一样东西。
266s 你能卖给卫王什么?
269s 汉室。
273s 父亲,劝卫王进帝位了?
278s 卫王早就有此心,我不过是说出了他想说而不能说的话。
285s 太好了,汉室早已经名存实亡了。
293s 父亲为卫王立此功勋,卫王肯定会重重地升拔父亲。
298s 开国以后,父亲必能位居三宫。
303s 说不定,汉室首任丞相。
306s 我不做这个首任丞相,甚至不想做首唱大臣。
312s 这份功劳让给别人吧。
315s 为何?
316s 招儿啊,怎么就如此浅薄呢?
325s 你想让后人逃我司马氏祖坟吗?
331s 司马氏是百年大祖,世事寒露。
342s 祖宗的功德名望,不可不顾啊。
347s 这个开国功臣,还是让给别人吧。
351s 父亲教训得是。
354s 那,那父亲想让谁做这件事呢?
358s 华新,他抱主建功之心,早就如持如醉了。
364s 陛下,臣有事上奏。
425s 爱卿,请讲。
427s 陛下,朝廷诸臣皆以为,
431s 汉室历经四百余年,游盛而衰,游荣而枯。
437s 如今更是气数已尽。
440s 魏王父子两代,德不四方,人即万物,超谷月金,光照天地。
447s 陛下,何不效尧顺之道,把山川社稷,擅让于魏王。
454s 如此,上合天心,下合民意。
458s 陛下也可以享受清贤之福了。
462s 此事臣等已经一决,请陛下准奏。
466s 宜祥退位。
472s 擅让,尧善于顺,意见其贤。
479s 文王善于武王,更张君王功德。
484s 陛下虽然不是什么圣君,不想效圣君之道吗?
489s 我们都是这个意思。
498s 请陛下大发大兴。
500s 忠言,这等忠言,孽祖是君。
516s 陛下休要糊涂。
518s 乾坤流转,万象更新,此乃天道也。
525s 何不一戒毒夫,永居阻挡?
528s 我知我不可成为天下之主。
543s 但高祖要斩蛇其翼,必胜拼杀,除暴其灭强主,才能开创大汉天下。
556s 我们是世代,受国恩识汉禄,何不如此不易?
564s 如果我失去祖宗的国家,在九泉之下,如何面对先皇?
573s 陛下可以带着这本图镇去见祖宗。
586s 在九泉之下,我一定能安心。
591s 请陛下顺应上天之意。
600s 请陛下顺应上天之意。
607s 归身图镇,都是虚妄之事,朕不敢从。
624s 陛下,自古以来,有兴亦有废,有胜亦有衰,岂有不亡不败者乎?
637s 汉室相传四百余年,言之陛下气数缺已殆尽,一早退避,不可遲疑。
649s 陛下,恕老臣道一句威严,遲则生变矣。
657s 上面之事,关系重大。
660s 朕,朕,朕须前往太庙,问过祖先,方可决断。
673s 祖宗啊,你们看见了吗?
706s 皇上,见臣逆子要夺足江山了,我无能。
722s 臣愧对祖宗,臣生不如死啊。
736s 皇上。
743s 你别站在那儿,祖宗不想见到你们曹家的人。
747s 皇上,臣妾虽姓曹,但臣妾是刘家的人,是皇上把臣妾立为皇后的。
759s 你给朕困出去!
774s 你没伤着吧?
775s 皇上,你叫我皇后了。
782s 朕不该动手,朕心神大乱,朕,朕已经不再是朕了。
794s 都是家训不好,惹皇上生气了,臣妾无碍。
801s 若是打一仗,能让皇上心里痛快些,臣妾愿意天天给皇上打。
807s 陛下,你怎么敢打皇后呢?
830s 男人可以打老婆,天子就不可以打皇后吗?
837s 男人是可以打老婆,天子也可以打后妃,但是你不行!
844s 你可别忘了,她是先位王之女。
847s 曹洪、曹秀,你们来干什么?
851s 陛下、皇后,我等是促嫁而来。
856s 我先告诉你们,我不光是陛下的皇后,也是陛下的臣民。
863s 别说今天陛下打了我,就是杀了我,也是天经地义的。
869s 同样的,你们两个不光是曹氏子孙,更是陛下的臣民。
876s 你们若是助纣为虐,今天就是杀了你们,也是天经地义的。
883s 皇后。
884s 皇后。
885s 是吗?常见在此。
890s 陛下若要杀我,就请拔剑吧。
894s 曹洪,你敢放肆。
898s 皇后,咱们虽然同是曹氏血脉,但是今日之事,臣不敢以私废公。
906s 陛下,起行吧,满朝文武都在门外等着,请陛下临朝。
914s 曹洪、曹兄,我父王公盖环语,名满天下,还不敢窃取神器。
921s 而你们两个竟敢帮着曹匹行篡你之事。
925s 如果是这样,必遭天歉雷劈。
931s 陛下,快快临朝吧,否则我等要嫁你出去了。
937s 你不用理这些恶奴们,你是天子啊。
944s 他们不敢拔你怎么样的。
946s 天子,掌上天子,群小所逼,可奈其何。
961s 陛下已经计盖过祖宗了,是不是可以做决断了?
1036s 是汉禄久矣,其中多有大汉功臣子孙。
1068s 你们,你们真忍心做此不臣之事?
1075s 陛下,臣等劝你善让,皆是对山川社稷的一片忠心啊。
1082s 说实话,先王在世时,我等就想拥立先王,改朝换代了。
1089s 可惜啊,先王天不假年,未及如愿。
1094s 现在新王继位,仍是执意不从。
1098s 但臣等宁可让新王斩了,也要推新王及大位。
1104s 若是陛下坚持不肯善让,只怕祸起萧强。
1110s 还杀朕?
1114s 天下人都知道,陛下一箭雍举,盘复朝中,毫无人主之福。
1123s 如果不是魏王坐在你的身边,想杀陛下者何止成千上万。
1131s 时之于此,你有何意啊?
1141s 臣回府代诏。
1156s 从与不从,陛下快发一言。
1178s 大汗事言言四百年,今日竟无一中良开言,都是朕的国。
1195s 玉玺关何在?
1205s 臣在。
1206s 不,帝王之习,得之于天,岂能交于贼子。
1252s 臣宁断头,不交习。
1256s 祖辟!
1257s 你想殉葬啊?
1261s 春秋游董湖宫,祖辟愿意不起后臣。
1274s 儿等奸逆,篡得了汉庭,却篡不了青石。
1282s 千古骂兵,万夫所指,便是你们的下场。
1291s 一千玉玺关,胜过满朝宁臣。
1311s 下旨,否则,陛下也将血剑单毙。
1315s 请陛下下旨。
1317s 借莫如此。
1318s 魏王,还认我这个皇后?还认我这个姐姐吗?
1396s 当然,同胞姐弟,生生世世如此。
1403s 那么,你可否容我说几句话呢?
1416s 姐姐请讲。
1417s 魏王啊,你继承王位,才几天啊,就想着要军临天下了。
1426s 你难道不怕父王的在天之灵会诅咒你吗?
1436s 不怕,非但不怕。
1440s 我想父王的在天之灵看到了,肯定会为我高兴的。
1448s 那天下的臣民呢?
1450s 只要我是我的子民们,食有粮,居有所,供有赏罪有罚,他们会称我为圣君。
1465s 圣逃脾,你可真是无耻啊。
1469s 那我要做什么?你知不知道我要做什么?
1472s 我今天端实情,远远高于人尺。
1475s 我也要劝你一句,你,是曹氏子孙,你身上流着我们曹家的血。
1495s 你的父王让你成为皇后的,你知道父王当年问过你吗?
1507s 父王不想让你成为皇后的,
1510s 父王不想让你成为皇后的,
1515s 父王让你成为皇后的,你知道父王当年为什么要这么做吗?
1521s 他是想让天子,为我们曹家的女婿,背叛了曹家的祖宗。
1535s 在天之灵,才真的要诅咒你。
1542s 真的?
1553s 对应天意,身上这身细甲,是父王留给我的。
1624s 你就不要逆天行事了。
1627s 回宫去吧,我保证,你终身父母。
1634s 朕在位三十二年,屡遭天下盗附,信赖祖宗之灵,
1661s 为尔附存,今瞻仰天下,
1672s 父察民心,言经之朔,行运在乎曹氏。
1686s 你前往,既属威武之际,今往,
1698s 有光耀明德,亦应其技。
1702s 隶属昭明,信可知矣。
1706s 夫大道之行,天下为功。
1711s 唐遥不思已绝子,而明波于无穷。
1716s 朕妾沐焉,今其追踵遥典,
1721s 善位于丞相魏王。
1725s 望其务慈,钦旨。
1729s 花仙,你觉得这道善位诏书,如何?
1739s 言此还算恳妾。
1742s 与其说是恳妾,不如说是欺妾。
1748s 听上去,好像是魏王用刀,逼着他善让似的。
1754s 殿下的意思是?
1758s 慈,诸你替我上一道表彰,慈恩不受,
1780s 以绝小人之棒。
1783s 遵命。
1784s 陛下,这是魏王殿下的慈恩表彰。
1800s 如此谦虚,朕为之奈何呀?
1830s 陛下,这道善位诏书,是谁笔录的?
1835s 是,是下官。
1838s 这等让人误以为魏王失德的言辞,
1843s 你也敢录下?
1845s 你是何居心?
1848s 拿出去!
1849s 斩首!
1850s 诺!
1851s 陛下!陛下!
1853s 陛下,救命!
1854s 陛下!
1855s 陛下,再受一诏。
1866s 朕就再受一诏吧。
1870s 拿卷来。
1871s 诺。
1872s 霍卿啊,这一次就由你执笔草照好吗?
1881s 陛下这话说得不对,臣怎敢僭越?
1886s 要朕亲自你写诏书?
1896s 这样才能显示出天子的至诚之心吗?
1901s 写完了。
1951s 妾上天子玉玺。
1956s 陛下,可以临朝了。
1964s 你得亲自把这道善位诏书,
1968s 授予魏王殿下。
1970s 魏王何在?
2062s 微闻陛下旨意,
2065s 魏王只能在宫外待找。
2068s 召魏王入宫。
2071s 陛下口谕,召魏王入宫。
2075s 召魏王入宫。
2077s 陛下。
2108s 生逢乱世,天下三分,战乱朕,
2125s 蒙受魏王恩德,
2130s 才得以继续悍者。
2134s 今瞻仰天象,
2138s 抚察民心,
2141s 大汉气数已然精进,
2146s 天心民意,
