3s 臣司马仪叩见吴皇。
7s 平身吧。
9s 谢陛下。
14s 这么晚了,你来做甚?
19s 华新大人奉陛下旨意,
23s 一令人在城外住起寿膳高谈。
26s 这没有下旨啊?
31s 那一定是陛下记错了。
34s 华新大人不会错,是吗陛下?
37s 你接着说。
46s 寿膳谈住起后,请陛下选定黄道吉日,
51s 并招文武百官于谭下。
54s 陛下亲指天子喜寿,
57s 将帝位擅让于魏王。
62s 又是一次铜雀台之会?
66s 陛下圣明。
68s 这次无需诏书了吧?
70s 登谈擅让,祭天大礼。
73s 豈能无诏?
75s 你们!
77s 陛下勿警,如陛下恩准。
86s 臣愿意再替汉氏借一次全马之劳。
93s 恐怕往后臣就没这个福分了。
96s 你能为朕做什么?
100s 臣愿为陛下草诏。
116s 是啊。
118s 你是曹匹的心腹之臣。
121s 此诏非你不可呀。
124s 臣领旨。
125s 司马仪啊,
129s 朕为你言默吧?
132s 盼你运笔如刀,刀刀剑斜。
136s 陛下,
138s 歇着,还是臣借来吧。
143s 谢皇后。
164s 尔魏王,
184s 西者,杨,
186s 善魏于顺,
188s 顺,善魏于宇,
190s 天命无常,
192s 违规有德,
193s 汉道凌迟,
195s 大乱资昏,
197s 寻雄自逆,
199s 环雨颠覆。
201s 接来,
202s 魏王神武,
204s 整朝纲,
205s 平祸乱,
206s 旧社稷,
207s 安宗庙,
208s 金王,
209s 清城前绪,
210s 光与乃德,
212s 成文,
213s 武之大业,
215s 招,
216s 列祖之弘列,
218s 皇陵降瑞,
219s 人神告征,
222s 但为采量,
223s 施兮震命。
225s 宣约,
226s 尔杜克邪于宇顺,
229s 用,
230s 率我唐典,
231s 敬训尔魏于系,
233s 天之力树,
234s 在尔宫,
236s 君其知顺大礼,
238s 享万国,
239s 以速成天命。
243s 山阳宫!
354s 天下都是你哥哥的,
356s 他要杀我,
357s 我还能躲到哪儿去?
379s 拜见山阳宫。
380s 司曼依,
382s 你来有何事?
383s 大魏皇帝,
387s 念兄妹之情,
389s 特命下臣,
392s 前来为山阳宫
393s 并夫人见行,
395s 只要山阳宫
434s 永不回都城,
436s 保你富贵终生。
438s 这话,
441s 你司马依依相信吗?
446s 司马大人,
450s 山阳宫不胜酒力,
452s 他说的话,
453s 你可千万别见怪啊!
455s 臣不怪,
456s 只相信大魏皇帝仁慈,
463s 山阳宫请。
467s 前人填土,
469s 后人收,
471s 后人收的修欢喜,
474s 还有收人,
476s 在后头。
477s 天色不早了,
478s 江山风大,
479s 回府吧。
510s 再看一眼吧,
512s 看一眼,
513s 少一眼,
517s 毕竟他当过
518s 几十年皇帝,
521s 能亲眼看看
522s 王国之君
523s 是怎样离开。
525s 这种际遇
526s 不是人人都看得见。
528s 当的真有意思,
530s 做皇帝的时候
555s 是别人逼我做的,
559s 不做皇帝的时候
561s 又是别人逼着
564s 不让我做的。
565s 九岁那年,
566s 公主把我推上皇位,
574s 我就成了
576s 她最诚心的宛人。
580s 从那以后,
582s 我甜甜一泪熄灭,
588s 伤愧祖宗,
590s 下愧黎民,
592s 没想到
593s 下愧黎民
597s 没有一天快乐的日子。
605s 我还真要感谢令弟呀,
609s 是他让我脱离了这苦海,
612s 今天
614s 是寡人
616s 毕生最快乐的日子。
622s 曹匹他不是我弟,
625s 他是奸臣贼子,
627s 臣妾
629s 对他恨之入骨。
639s 我这一辈子呀,
641s 经历过四个家,
643s 他们一个个都是我这个
647s 傀儡皇帝的主子。
649s 算起来,
665s 令弟算是对我最好的一个。
668s 可以回到青山绿水间了,
675s 我只在师父里度度没去过。
683s 船要沉了!
688s 船要滑快滑!
697s 叔公!
698s 快滑!
699s 快换船吧!
700s 船要沉了!
701s 退下!
702s 他想要害死你啊!
711s 快!
713s 不是司马,
715s 是曹匹,
716s 曹匹他想要害死你啊!
718s 我真久,
719s 来吧,
731s 你知道吗?
741s 这个洞
742s 不是司马一所为。
745s 我把祖宗江山
755s 无首送人了,
757s 我不配藏在大汗苦土,
763s 只为沉入江河,
766s 漂入大海未滕,
768s 寡人自己待会儿。
779s 总算是英雄了,
780s 臣妾,
798s 哪儿也不去,
801s 陪着陛下,
802s 永远陪着陛下。
806s 还是
810s 帝王家
811s 帝王家
812s 这些日子,
821s 痛定思痛,
859s 心虚万劫。
866s 你说过,
867s 能行情
873s 过于孤傲,
878s 视天下英雄
881s 如草芥。
882s 如果不防,
886s 再也不怕。
887s 如果不防,
889s 早晚会祸及自身。
895s 荆州之祸
899s 被你言中了。
903s 如果云长
905s 他能够不轻视动物,
909s 能够善加提防,
914s 何至如此?
919s 何至于丢了性命?
924s 何至于失了荆州?
928s 主公,
931s 云长眼里,
938s 母群雄皆数倍而。
943s 家兄诸葛瑾,
945s 奉孙泉之命,
947s 向云长提亲,
950s 想让云长之女,
952s 嫁给孙泉世子,
953s 孙柳两家再结秦晋之好。
957s 可主公知道,
958s 云长是怎么回答的吗?
960s 燕能嫁给泉子?
967s 这,
968s 无论任何王者听之,
972s 都有如一箭传心。
975s 他们进出上庸之兵,
995s 云长何至于此?
1000s 那刘丰
1001s 还是我的义子,
1003s 竟然见死不救。
1006s 那孟大
1007s 事后竟然投敌了。
1010s 这二人,
1011s 就算跑到天涯海角,
1014s 我也要将之斩首示众。
1016s 主公息怒,
1018s 主公息怒我。
1019s 只恨已无用了。
1027s 宁州实现后,
1031s 曹孙柳三方,
1033s 发生了天翻地覆的巨变。
1037s 在此之前,
1039s 主公已拥有京州九郡,
1042s 又夺得川蜀四十一县,
1045s 并攻下了汉中各郡。
1048s 可以说,
1051s 主公已经是天下第一雄主了。
1055s 我们定能在数年之间,
1058s 南北两路出兵,
1060s 一鼓作气,
1061s 攻下徐厂,
1063s 继而并亲济各州。
1066s 如此,
1067s 曹操必亡,
1069s 主公大业必成啊。
1072s 这就是你,
1080s 你隆重跟我说的第三步。
1083s 可惜,
1087s 公元根据境势,
1107s 曹操在大难临头之际,
1110s 得到了川蜀之际,
1112s 日后再想灭他。
1114s 更困了。
1115s 孙权却跨过了江东,
1117s 进入中原,
