5s 恕在下直言,主公不是为了就讨这杯茶水吧。
12s 我是来问你蜀中该往何处去。
26s 在下恳请主公早登大典,成绩寒作。
37s 愿我请起大海得浅波,更兼入蜀未久。
74s 还没来得及向蜀中父老施恩呢。
78s 我急于自立,那岂不是为蜀甘林先求雨露。
85s 在下觉得恰恰相反,正是因为主公入蜀不久,
94s 对臣民百姓恩惠不多,才更应该早日登基呀。
103s 此话怎讲?
104s 只有天子才能有更多的恩惠给予百姓。
113s 主公若是称王,蜀中才俊不过作个将军主部。
120s 只有主公成绩了大统,他们才得以封侯尽绝呀。
128s 王是一口井,而天子则是一口深井啊。
136s 臣民百姓谁不愿意围着深井,得到源源不断的恩惠。
143s 你这话让我茅塞顿开。
161s 既然你都这么说了,我就放心了。
171s 虽有些勉为其难,但也责无旁贷。
177s 礼言听令,我拜你为蜀郡太守,
189s 相助孔明,共掌川蜀政要。
193s 在下谢恩。
196s 建安,二十六年四月明午。
212s 皇帝被诏告于皇天后土。
219s 汉有天下,隶属无疆。
224s 逆贼曹匹,串汉弑君。
228s 窃拒神器,被身为皇室后裔。
234s 既告皇宗列祖,天命不可不从。
241s 皇业不可崩带。
245s 四海不可无主。
249s 被应天意,顺民心。
254s 守皇帝喜寿。
258s 虎临四海,为神享坐于汉家。
264s 四海宾服。
267s 建安,二十六年四月。
277s 刘备开元即位。
280s 正式建立蜀国。
283s 吾皇万岁万岁万万岁。
287s 今阵,发布天子第一诏。
292s 择日,攻伐东吾。
298s 你是来金剑的吧?
324s 是。
325s 说吧。
327s 陛下恕我直言。
333s 眼下国贼乃是曹匹,不是孙全。
337s 倘若陛下一定要舍位伐吾。
341s 这大战已开,曹匹必将是成奸取裂。
345s 孙全杀害云长,偷取荆州。
350s 是我死地,我与他誓不良。
356s 陛下,汉贼之仇,公也,兄弟之仇。
365s 司也,陛下现在既然已登皇位,
370s 就应该以天下为重啊。
372s 我跟你说句心里话,
386s 虽然我成绩了地位,
391s 但若不能为帝报仇雪恨,
397s 纵有万圣之尊,又有何用呢?
401s 我心意已决,赵命也已经下了。
407s 此事不但三军节制,数日后也会传扬海内。
414s 你难道想让我自食其言吗?
419s 为帝者,当然不能自食其言,
425s 但可以暂缓。
427s 臣赞同子龙将军的意见,
429s 盼陛下暂缓队无发兵。
