3s 没想到,刘备焦狂之气,
8s 净慎当年关羽,这是孤,
12s 不曾料到的。
20s 说吧,子虞,事到如今,
27s 什么事情,你都可以跟我直说。
36s 臣以为,眼下情势万机,
43s 主公可以给曹皮上一道祥表,
46s 承认他是天下之主,
50s 率江东文武,向他称臣。
54s 你要我,投降曹皮,放弃祖燕。
67s 主公,此乃拯救危局之策,
74s 如此一来,渴望得到曹皮出兵相援哪。
79s 与其让刘备称王,
81s 倒不如向曹皮称臣,以保江东哪。
87s 孤乃东吾之主,
90s 这祥表一上奏,
93s 我的颜面何在,王威何在。
102s 主公。
103s 这事容我三思。
113s 出格谨,劝我上奏祥表,
151s 向曹皮委曲称臣。
153s 我父兄三代鸡眼断送了。
161s 不上祥表,
172s 东吾只怕真要断送了。
175s 如果上了祥表,
179s 一胜。
181s 为何这样说?
187s 刘备称帝后,天下三族鼎立,
191s 缺失了任何一族,
194s 天下必然崩塌。
197s 曹皮与刘备一样,
199s 都有一统天下之志,
203s 岂能坐视刘备,攻去东吾。
207s 东吾一旦不存,
210s 曹位也不能久。
213s 曹皮最想看到的是,
217s 蜀无交兵,两败俱伤,
221s 但他并不想看见东吾灭亡。
228s 这个道理我也明白,
233s 可这像曹皮请香煮鸡。
245s 人主的胸怀,
249s 是被世间无数屈辱,
252s 称大的。
254s 子不,
257s 你看,
259s 可派何人为使?
261s 学士,
263s 赵姿心之过人,
266s 如遣他为使,
268s 既能表达东吾的请香之诚,
271s 又能不失主公王威。
275s 好,
277s 你立刻提问你一道响表,
280s 派赵姿送往许城。
283s 平身,
306s 赵姿,
317s 朕问你,
319s 孙全
321s 是怎样一个主公?
323s 聪明,
329s 仁智,
330s 雄劣之主。
332s 卒相,
335s 太过褒奖了吧?
338s 臣不敢过于我主,
340s 陛下可曾记得
341s 先父五皇帝的那句感叹?
344s 什么感叹?
347s 当年,
348s 卫王与我主吾侯在如虚交兵,
351s 我主刚刚策马而出,
353s 其风姿神采,
354s 就让卫王大惊,
356s 常叹道,
357s 生子当如孙仲谋,
360s 此叹,
361s 世人皆知。
363s 陛下,
364s 乃卫世子,
365s 敢问陛下,
367s 卫王这句感叹,
368s 岂不就是说我主吾侯
371s 可作卫王诸子的楷模吗?
