62s 敬请上路,老主公去吧。
68s 工医老公,都是我害了你啊!
70s 不!
71s 既身中树剑,你引我们上钩,
78s 我败在这位老江手里也不冤枉,来吧!
84s 除了韩当周泰率一万多残军冲出国口外,
201s 其余均在此被歼灭。
205s 叛将副使人彌芳,二人无路可逃。
207s 只好反隔一击,
210s 抓住了五主将马忠,向陛下投诚。
216s 现在想要逃争
218s 斩首
226s 诺
234s 吴将承朴来进邯郸周泰
237s 被沙漠科一箭射中
238s 当场毙命
240s 承朴乃东吴头号战将
245s 威名垂三代
246s 他死于此意
249s 东吴三军必然心寒
253s 沙漠科率五万蛮兵出战
256s 又立此功
257s 陛下该重重奖赏他
260s 沙漠科是要赏
263s 但更要赏的是黄忠
271s 黄忠呢
273s 他
295s 陛下
300s 老将军的血快要流干了
303s 伤亡六七万
350s 陛下圣明
364s 臣只是挨了几箭罢了
366s 杨夕
373s 等伤势痊愈
376s 我招人送你回成都
379s 要看着陛下功去尽兴
391s 好
393s 我就是抬
395s 要把你抬进荆州
402s 只打过两回败仗
404s 差之战
409s 臣输给了云长
411s 这仗不该输啊
422s 至今
424s 臣也不负云长啊
427s 韩生啊
428s 你年纪
431s 若跟云长一般
434s 云长一定胜不了你
440s 说这话臣爱听啊
446s 再就是这次败仗
449s 臣虽然失败了
452s 可陛下却大胜
454s 九泉之下
463s 遇到了云长
465s 臣就有得说了
468s 陛下封我为五湖上将
476s 知不知
483s 你父
484s 义王三
540s 君精锐
564s 传三军听令
570s 义灵
574s 卓鲁迅觐见
591s 你们把我囚禁在此
595s 已经十三天了吧
600s 是
615s 蜀公 陆迅来了
625s 陆迅
626s 我军
628s 复制口大败
631s 十万精锐
633s 折损大半
636s 上将军城埔甘宁
639s 前将军攀章无忠
643s 阵亡
645s 现在
646s 刘备大军直逼义灵
650s 那是我中原最后一道平仗
655s 义灵若是
656s 蜀军便是一马平砖必去荆州
660s 而荆州在师
665s 东吴
667s 无咎
683s 陆迅
686s 我拜你为东吴大都督
688s 统领三军
689s 迎战刘备
696s 主公
697s 在下有一问
700s 请主公直言
703s 问吧
704s 主公囚禁陆迅十三天
708s 是在等前线的战报吧
711s 复制口如果大胜了
714s 主公必不会用我
719s 如今复制口大败
722s 主公才被迫用得我
725s 复制口大胜
728s 我不但不会用你
731s 还会指你养疯卖傻
732s 祸乱军心之罪
734s 此一大败
740s 也可见你有先见之明
743s 陆迅
746s 姑爷想问你一句
749s 你之所以在营外大发狂言
752s 不也想以此而触动我
755s 急我请你出山吗
760s 请主公恕罪
770s 可惜啊
772s 被你那些风话言中了
775s 你说我大军出击
778s 是为虎驱羊
780s 报心救虎
783s 句句就对
786s 此一战
