8s 自陛下出征后
10s 天威所向平平告诫
13s 臣为陛下
14s 知智勇精叹不已
16s 敬佩无疑
18s 但臣声性谨慎
20s 常怀岐人之忧
23s 陆迅岐人
24s 虽名不扬声不远
26s 但臣闻岐研习兵法多年
29s 十年铸剑不露锋芒
32s 盼陛下不可轻视
35s 马苏啊
40s 你押运粮草是假
42s 替孔明送信才是真吧
46s 陛下一语刀破
49s 臣动身之前
52s 丞相是树叶不能寐
54s 总是为君情而忧虑
56s 孔明在忧虑什么呢
58s 丞相自己也说不清楚
62s 据臣猜测
64s 他还是担忧陆迅
66s 孔明说得已经很清楚了
70s 陆迅研习兵法多年
75s 十年铸剑
79s 不露锋芒
81s 马苏啊
89s 你肯定知道
92s 春秋使的赵阔吧
94s 赵阔研习过的兵法
96s 只怕要比这陆迅多得多
100s 但结果呢
101s 只上谈兵罢了
106s 合作为绩
107s 你歇息几日
118s 寄回成都
119s 帮我传话给孔明
122s 就说此时
124s 乃法务关键之一
126s 我们只可尽
136s 这是我给我自己的军令
142s 还有
145s 让孔明多备些粮草军血
148s 待秋粮时
149s 运至萧廷前线
156s 遵命
201s 末将在
202s 天过去了
206s 为什么还没有攻下炮火寨
210s 吴军抵抗甚为顽强
211s 我军只要攻打
212s 敌
213s 四战不退
214s 增兵两万
223s 三日之内能否拿下
227s 末将必定四战
241s 朕在问你
242s 能否攻下敌寨
244s 你难道没有胆气直说吗
247s 禀陛下
248s 怕是疲惫不堪
252s 吴军居高临下
253s 易守难攻
255s 末将定会四战
256s 但
257s 没有毕生的把握
259s 你还是不是张义德的儿子
264s 你还是不是我的侄儿
265s 如果你没有毕生的把握
270s 就直说
271s 战令换人
273s 陛下
274s 三日内我定攻下敌寨
276s 如不胜
277s 肝当军法
278s 好
279s 拿纸笔
280s 立军领状
281s 禀陛下
283s 我义兄三日内连续重杀十二次
285s 身上已有五处战伤
287s 末将想
289s 如果连他都
290s 无法攻克炮火寨的话
293s 那别人
294s 恐怕就更难攻上去了
296s 传命
304s 各营撤自山下
306s 休整两日
309s 之后
311s 另做布置
312s 再战再攻
315s 遵命
317s 遵命
318s 陛下
336s 眼下
337s 巫军已到了退无可退的地步
341s 必会鼓足余勇
343s 拼死一搏
344s 朕要改变
351s 陛下的意思是
359s 那巫军诱出山寨来打
363s 休整之后
367s 各营都须派出老弱兵马
369s 日到寨下交阵
372s 如其主 击其将
375s 敌军有五十余寨
377s 必有哪一寨守将按耐不住
380s 出寨迎战
381s 只要他出来
383s 我军便可趁虚攻寨
386s 只要攻破三五个寨
387s 便会牵动敌军所有营派
391s 我在全军出击
396s 定会
397s 陛下圣明
402s 大都督
432s 蜀军败退了
434s 什么时候
436s 半个时辰之前
437s 蜀军连续苦战
438s 终于不治
440s 开始全面败退
442s 连尸体都来不及抬走啊
445s 大都督
446s 敌人损伤惨重
447s 未尽寸步
449s 我看不如抓住有力战机
450s 请一支精兵杀至山下
452s 狠狠地击他一下
454s 如果
454s 才能夺占几座敌营盘
456s 赶他三十里外
457s 那就更好了
459s 你们不许出击
464s 你们听着
469s 没有本都督的命令
471s 没有本都督的命令
473s 任何人不许出击
476s 为者
477s 均罚从事
478s 大都督
479s 我军毕竟兵少
481s 蜀军兵多
482s 若不乘胜而追
484s 一扣咬死他
485s 一旦蜀军缓过气来
487s 我们再战
488s 恐怕会损失得更多
490s 你们只管坚守就是了
494s 本都督有一支援兵
495s 正向这里赶来
499s 应该快到了吧
501s 援军
502s 东吴哪儿还有可用之兵啊
508s 我说了
510s 是东吴之兵了吗
513s 我说的是时辰一到
515s 三十万精兵从天而降
521s 算了
522s 你们也不要再问了
526s 总之一句话
528s 没有本都督的命令
529s 任何人不许出击
535s 遵命
551s 不敢了吧
552s 那孙权二次
553s 就应该倒过来呀
555s 对
555s 全村
556s 吴军全都是村子
558s 咱们为这帮村子
559s 赶一碗
566s 这奶奶的
568s 给我召集两千甲士
569s 随我出击
570s 砍了那帮畜生
572s 将军
572s 大都督有令
573s 不可出击
574s 你没看到那帮畜生
575s 在骂我们的主公吗
577s 兄弟们
578s 听说有个败将叫傅俊
580s 还是全村的内地呢
583s 是可忍熟不可忍
585s 我非杀了他们不可
586s 将军
586s 你个信要不能去啊
587s 大都督如果怪罪下来
589s 那
589s 什么大都督
591s 闪开
592s 当我这死
594s 将军
594s 将军
596s 傅俊已经把寨子夺去了
640s 快朝袍湖寨撤
641s 撤
668s 就在这里
671s 你还记得本都督
672s 跟你说过什么吗
675s 都督下令
677s 不许出寨
680s 你违令出击
682s 牵动左右各营
685s 蜀军御学半月
686s 都不能前进寸步
689s 你这贸然一击
692s 就让我们丢失了
693s 四座营寨
699s 传令
700s 押出傅俊
702s 迎前正法
703s 诺
704s 大都督
705s 傅将军虽然有过失
708s 可蜀军的声声辱骂
709s 实在是不堪入耳啊
712s 再说
714s 他毕竟是
718s 他毕竟是主公的内地
722s 对吗
723s 不错
724s 我是主公内地
725s 我也是为了主公
726s 不受那些畜生辱骂
728s 我才出债杀敌的
730s 陆徐
731s 你能把我怎么样啊
734s 傅俊啊
743s 你给我听好了
746s 在本都督的营帐里
748s 只有将帅没有皇亲国戚
752s 拉出去
753s 扎了
754s 诺
755s 陆徐
756s 我是有功之臣
757s 报
758s 陆徐
758s 大都督
759s 主公亲自来大营靠军
761s 王驾离此不到吴岭
764s 陆徐
765s 你还不快去进驾
766s 陆徐
768s 大都督
769s 大都督
770s 还是接驾吧
773s 陆徐
774s 乖乖去接驾吧
781s 拉出去
782s 斩了
782s 遵命
783s 陆徐
785s 你
794s 大都督
795s 傅俊服法了
822s 末将陆徐
824s 拜见主公
825s 拜见主公
827s 霍言
828s 快一快请起
830s 谢主公
832s 霍言
833s 当了几个月的大都督
835s 瘦了不少啊
