8s 罗长马,东吴真是人节地历。
15s 孙坚之后出孙泉,周瑜之后出鲁肃。
22s 吕蒙之后又出了这个陆迅。
27s 陆迅此人虽然名不见经传,
30s 但他竟然如此坚韧,屡败而不乱,
36s 蒙羞寒耻而无动于衷。
40s 终于把陛下陷入败局。
43s 此人谋略胆识,不下于当年的周瑜。
50s 是啊,有此人在,
53s 东吴又可以保二十年无虞了。
57s 如果这次陛下败了,
59s 你估计未属吴三方又将出现何种轻事?
65s 学生认为,经此议后,
69s 吴叔两方均立大错,
72s 曹魏又将占据上风。
75s 吴叔两方必须消除旧恨,
78s 联手抗曹,方等自保。
81s 不错啊,马苏。
85s 你有如此见识令我十分宽慰,
88s 可见足下之才不次于陆迅。
93s 先生过奖了。
94s 来,你可识得此阵吗?
98s 此乃先生早年所创的八阵图。
109s 分为修生商度,警死经开把门。
114s 不识者一旦陷入阵内将难以脱身。
118s 夹江对面有一片山谷,
122s 名叫余富浦,
124s 那里沟壑纵横,可以布阵。
127s 你带两千兵马星夜赶到余富浦,
131s 按照此图或开局或垒石或挖陷阱,
135s 不成八卦军阵。
138s 此阵虽然不能打败陆迅大军,
142s 但可使他心惊胆战,暂缓其日。
146s 遵命。
148s 等等,把这个放于阵中,
155s 让吴军来开启。
158s 先生,这何中是何物?
161s 我给陆迅的一声问候。
172s 丞相!
173s 丞相,赵云将军从西川赶来了。
176s 快请。
177s 诺。
178s 丞相,星夜传我前来,是为何事?
185s 八成是要攻打荆州了吧?
188s 子龙啊,数日之后,
199s 陛下的败报就会传来。
202s 我们七十万大军,只怕所剩无几了。
207s 什么?怎么会这样?
213s 这前几天,不是还连连结报吗?
216s 陛下不是还让你考虑迁都的事吗?
219s 祸兮福所依,福兮祸所福。
224s 陛下连战数月,一直不肯办事。
229s 入下之后,为躲避库属,竟然把大军移入山林。
234s 如我所料不错,陆迅必用虎功。
240s 我大军很快就要大难临头了。
245s 虎功?当年吃力大战。
250s 丞相蒙州于界东风,助他一把大火,大破曹军。
255s 如此惊天动地的事情,简直是历历在目。
260s 难道陛下他忘了吗?
262s 智者千律,难免会有一失。
266s 耕地之后,自行天下无敌。
275s 罢了,不说这些了。
279s 子龙啊,你曾经在无数次危难时候救助陛下。
285s 这次,又要劳你救驾了。
288s 丞相下令我,我该怎么办?
290s 你带来多少兵马?
292s 部甲一万,骑兵一万。
294s 部兵已然无用。
298s 你带领所有战绩星夜赶往萧庭前线,
302s 阻止陆迅追杀。
304s 接到陛下之后,立即赶往白帝城。
308s 遵命。
309s 火箭一出,即刻向敌营发起火弓。
339s 待敌军大乱时,随我杀进营中。
344s 大多都言令,追杀,追杀,直到生亲留备。
350s 遵命,追杀,追杀,生亲留备。
355s 此次一,只许胜,不许败。
360s 必胜,必胜。
363s 营寨接紮于林间,秋高暮躁,绿火急燃。
628s 末将赶来护驾时,看见周围百里所有的营寨都变成一片火海了。
632s 拿我剑来,破了他的奇门八卦身。
799s 如何?
800s 真乃天人也。
802s 莫非天人,空明乃真卧龙。
813s 大多都,我在石堆顶上发现一只盒子,把它带了回来。
817s 打开看看。
819s 大多都,一只秋蝉,一只螳螂都是死的。
828s 螳螂不蝉,黄雀在后。
833s 这什么意思啊,多都?
835s 空明这是在告诉我们,小心曹匹,趁需攻袭我们江东。
841s 这样的话,螳螂和蝉即将败了。
847s 走。
