4s 吴王口谕,传蜀汉使臣马肃觐见。
30s 吴王笑蜀汉故事,离声顺其。
34s 看来,今天我和魏使之间,必有一人要被烹杀了。
57s 蜀参军马肃,拜见吴王殿下。
60s 既为使臣,见我王为何不贵?
65s 上国天使,不败小帮之主。
69s 马肃啊,你此行来无,是想施展三寸之舌。
78s 效仿立声顺其罢。
80s 告诉你,孤平生最讨厌顺格。
88s 来人啊。
89s 在。
90s 将这狂徒扔入油顶,扎了。
93s 诺。
95s 且慢。
97s 本使,无需尔等玷污。
101s 待我,自己下顶货。
112s 人言东吾多贤。
114s 没想到,竟然寄句我一如生。
119s 慢。
120s 何惧一匹夫啊?
130s 大王既然不惧马肃,为何不敢听我一言?
137s 你无非是想替诸葛亮作说口。
140s 劝我连蜀聚魏,救蜀出险禁。
148s 非也。
150s 马肃此来,不为救蜀,乃为救吾。
155s 救吾?
159s 可笑至极。
165s 现在被包围的可是蜀汉,并非东吾。
173s 殿下,你既然知李生税其之典故,
178s 为何却不知扁鹊与蔡桓公之典呢?
182s 在扁鹊眼里,患有重病的王公,
187s 往往却不知道自己的病症之所在。
192s 你可是言之,如言不重我意。
207s 自己下顶货去吧。
209s 谢大王。
210s 谢大王。
213s 大王,你乃是当今明主。
221s 我家丞相,亦是当世之俊杰。
226s 互为盟友,则天下太平。
230s 若互为仇敌,则纯王齿寒。
234s 同理。
236s 孰有山川之险,吾有三江之故。
241s 若两国联合共为纯耻,
244s 则进可兼去天下,退可顶足而立。
249s 如果大王贪信曹蔚所许之小利,
255s 助贼攻蜀,
257s 试问蜀一旦灭亡,
260s 东吾又能和魏抗衡多久呢?
264s 早晚毙王爷。
267s 反之,蜀如果击退了曹蔚的各路军马,
272s 国主以后还会与殿下为盟吗?
276s 蜀吾必将反目成仇啊!
280s 启禀殿下,魏蜀吾三方,
284s 就好比这只顶的三族,
287s 短及一族必然天下轻富,
290s 而吾蜀两国,
292s 就好比一个人的两只脚,
294s 缺了任何一志,
296s 此人必然难以立足。
299s 敢问殿下,
301s 你见过有谁拿着刀剁自己的脚吗?
305s 也罢,也罢。
321s 既然殿下愿意备盟毁约,
328s 向曹蔚拱手贡献江东八十一郡,
333s 在下也愿自下顶货,
339s 以权明解。
341s 慢。
346s 怎么?
348s 殿下嫌顶中的费油不够多吗?
351s 先生好口才,好胆识啊。
364s 请到后殿一叙。
367s 启禀殿下,
372s 那么大一顶费油,
375s 不能白费了。
377s 此话何意啊?
383s 既然蜀使没有入顶之福,
386s 还请殿下指魏使入顶,
389s 以表明吾王连蜀抗魏之志。
392s 并以此整天下视听。
397s 召魏使上殿。
405s 召魏使上殿。
410s 禀主公,探马来报,
432s 四路法蜀大军均被诛隔量,
436s 社稷杀退了。
439s 说我听听。
442s 方王可必能军治西平关,
446s 御蜀上将军马超所祖,
449s 竟然不战自退。
452s 蟒王孟霍,
454s 虽起兵攻至蜀南部四郡,
457s 可伟延却使用移兵之计,
461s 令孟霍损兵折将,
464s 只能退败瞒洞。
467s 新城梦达起兵至半道,
470s 突然换兵,
472s 自此再也不能前进一步。
475s 伟大都督曹真,
478s 兵出扬平关后,
481s 与赵子龙举手各出险道,
484s 战退梁南,
486s 待梁草带进之后,
489s 也只能办事回国了。
492s 曹匹果然非诸葛亮之敌啊。
498s 主公那天如果不把魏使置进鼎祸,
502s 我只怕我们又要结怨于蜀了。
507s 不结怨于蜀,
510s 必结怨于魏。
514s 魏国法蜀不成,
516s 反来东无报复。
518s 主公无虑,
520s 这一次主公有恩于蜀,
523s 曹匹如敢犯境,
526s 主公也可亲蜀,
528s 发兵相援。
531s 这些年,
535s 无论是战,
537s 是何,
539s 都取决于自身国力,
542s 只有自身强胜了,
545s 别人才肯怨你。
548s 子昀,
557s 告诉荆州陆迅,
559s 上采诸环,
561s 严加操练三军,
564s 严防曹匹来犯。
578s 丞相,
580s 草魏的四路大军全都败退了。
584s 据报,
586s 吴王森权的四路大军
588s 未派一兵一组。
590s 尤长啊,
592s 此次退敌,
594s 你可居首功,
596s 本相要多谢你了。
598s 学生蒙先生教诲多年,
601s 略尽棉薄而已,
603s 万万不敢居功。
605s 此次草批五路法蜀之策,
609s 你知道是出自谁的主意吗?
612s 消息虽不确切,
614s 但在下听说,
616s 是一个叫司马怡的人,
618s 给草批出的主意。
620s 司马怡,
626s 字重达,
628s 年近五十,
630s 未居尚书右虎叶,
632s 一直是个文臣。
634s 在草批登大位之前,
