20s 洪城将军吴庆率部军三万五千前来听命
27s 卫军将军苏丽武率马军两万报到
31s 好 好
31s 完成太守申仪
33s 预送仲达兄大功一键
37s 不知足下纳否
43s 兄台
45s 何时到的
50s 都退下
52s 诺
53s 崇拜启用
75s 可喜可贺呀
78s 敢问
79s 功成之后
81s 你就不怕再度被贬吗
89s 岂能不怕
92s 那您为何还要煮膳呢
96s 贪哪
101s 兄台知道
103s 我司马以贪功名
105s 贪大业
107s 整日心痒难熬
109s 梦中都想和诸葛亮斗一高下
114s 卫国生死存亡尽掌于你手
119s 此时此刻
121s 你有两个选择
124s 本位吉祥
130s 一者你可拥兵自守
135s 坐视天子曹芮背秦
139s 听其卫国灭亡
142s 而你呢
143s 日后可军王位
146s 会事绝逐天下
148s 逐天下
150s 屠城霸业
152s 且慢
154s 你说什么
156s 天子背秦
161s 兄台快说其二
164s 其二便是旧天子
167s 护朝廷
168s 占蜀军
170s 晋忠勇
171s 功成之后嘛
176s 你再遭到曹真等亲贵的诋毁
182s 陷害
190s 我选其二
194s 兄台要送我何等大功
197s 请讲
203s 孟达
204s 五日之后
207s 他竟要起新城十二万大军
211s 进取洛阳
212s 生秦天子献给诸葛亮
215s 新城之洛阳路途不远
219s 孟达可轻易得手啊
224s 兄台是如何得知此事的
237s 孟达谋士李楠
239s 是我的旧友
241s 他抄写了
242s 孟达写给诸葛亮的密信
245s 交给了我
247s 亮曲长安如飞足下报信
284s 曹魏真是要亡国灭种了
288s 中达
289s 赶紧发兵洛阳
291s 前去救驾呀
293s 赶去来不及了
297s 那你怎么办
299s 只有一个办法
301s 不向朝廷示警
303s 免得惊动孟达
305s 我秦帅一支铁锦
307s 行夜禁军
309s 直扑新城
310s 请那叛将孟达
314s 中达呀
315s 你这是要以天子为儿
318s 秦贼建功啊
343s 离新城还有多远
347s 你看
348s 好
349s 看来孟达并无防备
351s 我们来得正是时候
353s 父亲
355s 父亲
356s 前军转换孟达新使
358s 押过来
372s 认得我吗
373s 不认得
377s 我是镖记大将军司马一
380s 天哪
381s 你
382s 你不是在五百里外的晚城吗
384s 我自从天降也
388s 听着
390s 只要你肯说实话
392s 我非但不杀你
394s 反而会保你功名富贵
396s 是
397s 诸葛亮
398s 派下官
399s 去给孟大将军送一封信
401s 不了
402s 中農归部军中
404s 书心何在
406s 信
410s 大都督
412s 将军
419s 孟达将军如勿
421s 禁报
422s 魏廷已再度启用司马一
425s 此人奸诈多智
426s 用兵起轨
428s 如果走漏消息
430s 他必引大军星夜争剿
432s 请将军提前举兵
434s 脱离新城
436s 与我会事后
437s 共取洛阳
439s 看来这个诸葛亮
441s 早有预见呢
442s 本来半个时辰
447s 万事皆休啊
451s 押下去
452s 待我查试
453s 诺
462s 亲贼先秦王
464s 我易
466s 派以胆大心细之人为使
468s 进城拜见孟大
471s 就说司马一奉命前往洛阳
473s 觐见天子
475s 路经此地
477s 随行只有二子
479s 协护卫侍从
480s 恕人
482s 有达出城相见
484s 在下愿望
488s 平息大都
546s 臣司马一拜见陛下
548s 仲达呀
549s 爱卿
551s 快快起身
552s 朕怕你
553s 如大汉望甘林哪
562s 那是何物
563s 叛将孟达扫击
568s 出什么事了
577s 孟达
578s 与诸葛亮暗通
580s 准备举新城兵十二万
582s 共取洛阳
583s 声请陛下
585s 臣得知身疑密报后
588s 星夜兼程赶往新城
590s 请拿叛将孟达
596s 陛下请看
598s 这是诸葛亮与孟达的来往书信
608s 如非爱卿相救
610s 朕恐早丧于他命了
613s 爱卿
615s 你刚刚上任
616s 便见此其功
618s 你是天朝的功臣哪
622s 恭喜陛下 贺喜陛下
624s 有众达在
625s 诸葛亮他这必败无疑呀
628s 众达不但用兵如神
631s 其耿耿忠心可照日月
634s 名垂青史
636s 草修佩服吴帝呀
639s 大三马过奖了
642s 请拿叛将孟达
645s 接晚成太守身疑之功
659s 听旨
663s 授身疑为济州刺史
667s 赐晚成侯
669s 臣领旨谢恩
672s 见
677s 爱卿
678s 朕将两经全部兵马
680s 交付于你
682s 朕令你带领全部军马
684s 出战诸葛亮
686s 日后如果有任何机密
688s 你不必上报于朕
690s 你可当机立断
692s 先斩后奏
693s 吴军犯境以来
733s 夏侯驸马初败
737s 大司马曹修再败
740s 大将军曹真三败
742s 此三番败阵下来
745s 朝廷已损失了几十万兵马
752s 丢失城池十七八座
755s 更要紧的是
758s 京城人心动摇
761s 百官未敌
766s 朝廷已有前都之意了
770s 不过我可以证告各位
775s 魏军之败到此为止
778s 蜀军之败
781s 由此开始
782s 如果大都督早些挂帅
784s 朱葛亮何以猖狂
786s 我军定能胜他
788s 将军此言差矣
792s 如果没有曹修等三人的战败
795s 我们就不会有今后的胜利
798s 曹修等人的战败
800s 消耗了朱葛亮
802s 大量的前梁军马
804s 特别是时间
807s 他们深入我魏境
810s 五岳有余
811s 兵风已挫
813s 已成强弩之末
816s 朱葛亮的粮草
818s 军械的供给
819s 已经供应不足
821s 而他们入我魏境作战
825s 每一粮一箭
828s 都要从汉中运出
832s 这样
833s 我们就占尽了天时和地利
837s 这就是我们
839s 决定胜利的先计
843s 就出一道骑兵
853s 入资无辜
854s 穿秦岭
855s 进去长安
859s 这朱葛亮要这样供兵的话
863s 中原一半就是他的了
866s 可惜啊
868s 朱葛亮平生谨慎
871s 所以啊
874s 他只有稳扎稳打
876s 步步为营
879s 不求速胜
880s 只求百战不怠而
882s 大都督
884s 我们该如何用兵啊
885s 军侧移
898s 一个地名叫
905s 街庭
908s 它恶守汉中咽喉
910s 是蜀军的良道所在
913s 只要我们能够抢占街庭
916s 就遏制住了蜀军的良道
919s 时日内
921s 蜀军必会撤兵
923s 如果朱葛亮还不撤兵
928s 那我军就分布在
931s 各处险要口
932s 坚守不战
935s 在五个月之内
938s 笼袭的几十万蜀兵
940s 就会饿死
944s 贤弟
946s 若是早用重达的话
949s 天下早就大定了
952s 大都督
954s 我愿率领两万军马
956s 袭取街庭
958s 此意非将军不可
960s 请将军率两万士兵
963s 前往
965s 自引大军随后
968s 遵命
968s 报
971s 禀长相
972s 曹睿重新启用司马一
973s 拜为西征大都督
974s 中原各部卫军
975s 全由司马一掌握
976s 报
978s 丞相
979s 不好了
980s 尚庸拜兵来报
981s 司马一已经知道了
982s 梦达叛乱的事情
984s 现已将其斩首
985s 梦达所有的部下
986s 已经归降司马一了
988s 禀长相
989s 司马一拜张合合
990s 举凰为左右大将军
991s 及各路大军四十八万
993s 现已挥师袭击
1009s 梦达起势不灭
1012s 反应迟钝
1014s 才招致此祸
1018s 司马一奸诈多智
1020s 极善勇逼
1022s 他才是我的大敌
1027s 我为判断一下
1030s 司马一进军之后
1033s 会攻去哪里呀
1048s 定会攻去街亭
1050s 断我燕侯要斗
1055s 种家
1057s 你们谁能迎军
1059s 拒守街亭啊
1062s 丞相
1063s 在下愿守街亭
1071s 有常
1073s 街亭虽小
1075s 却干系极大
1077s 一旦失手
1078s 我军大势皆去了
1080s 马夙愿立军令状
1083s 如果街亭失手
1085s 请斩我头
1086s 你知道吗
1094s 街亭没有城池
1096s 那里易攻难守
1099s 我自幼饱读兵书
1101s 颇通兵法
1103s 右盟
1104s 献上教诲多年
1106s 岂能守不住一个小小的街亭
1109s 司马一职才不下于曹操
1112s 张合又是天下名将
1114s 你
1115s 你恐怕不是他的对手
1119s 修道司马一张合
1122s 就是曹操从坟墓里爬出来
1123s 我也不惧
1125s 丞相
1126s 请收命吧
1138s 我马氏祖贤
1140s 皆汉是忠臣
1142s 术法入沙场
1144s 马歌果施缓
1145s 壮烈千秋
1148s 禀丞相
1150s 在下早就想领兵征战了
1153s 请丞相赐给我一个
1154s 告慰先祖的机会
1159s 丞相
1160s 我看马素
1161s 报国之心急壮
1163s 丞相
1164s 你就允了他吧
1180s 我给你两万五千精兵
1182s 再加上将一员
1184s 助你前去
1188s 谢丞相
1191s 王平
1193s 在
1194s 我命你为副将
1196s 助马素
1197s 镇守街庭
1199s 末将领命
1201s 王平
1203s 马素多智
1205s 你生平谨慎
1207s 你二人相互辅佐
1209s 定能建功
1211s 记住
1212s 到街庭之后
1213s 当在五鹿总口
1215s 当道下斋
1216s 令卫君急切不能偷过
1218s 扎营之后
1220s 立即画四之八道刑事图
1222s 送与我看
1223s 你二人
1225s 如果能保街庭一月无余
1228s 便是取长安的第一贡
1233s 遵命
1235s 请
1249s 高祥
1249s 在
1251s 街庭东北有一座城池
1253s 名叫裂柳城
1255s 你引军一万前去驻扎
1258s 如果街庭有任何危急
1260s 你可引兵相救
1262s 诺
1271s 在
1273s 你领本部兵马
1274s 前去街庭之后驻扎
1276s 如街庭有难
1277s 你即可接应
1279s 丞相
1281s 我是先锋将军
1283s 为何不让我率军攻去长安
1286s 却让我干些接应的闲差呀
1289s 你知道街庭之后是什么地方吗
1292s 杨平关
1294s 街庭恶我军咽喉
1297s 杨平关恶汗中咽喉
1300s 那里是北伐胜败的关键所在
1302s 你岂能小试啊
1304s 能保杨平关一月
1309s 此功便在马素之上
1312s 日后我定让你引领大军
1315s 攻去长安
1318s 遵命
1318s 子隆啊
1326s 在
1326s 我还是有些不放心了
1330s 丞相
1332s 你今日为何如此多虑呀
1336s 我也跟你征战二十几年了
1340s 从来没见过你像今天这样
1342s 我从未与司马仪交战过
1346s 可是长久以来
1348s 他藏于暗处
1350s 我高居明处
1352s 他对我
1353s 可谓是了如指掌
1356s 而我对他却是一知半解
1361s 子隆啊
1362s 你和邓骘各应义军
1364s 出旗鼓做义兵
1366s 如与司马仪大军
1368s 战或不战
1369s 皆由你定
1371s 你只要让司马仪
1373s 胆战心惊就行了
1376s 领命
1398s 小军
1399s 你看
1400s 前面就是街亭了
1406s 丞相过于谨慎了
1408s 一小小关爱
1409s 区区街亭
1411s 守他一月
1412s 有何难在
1415s 不管怎么样
1416s 在下余见
1417s 我们还是谨遵丞相之命
1420s 在五路总口处下寨
1422s 多派军士伐木扎营
1424s 以图长久之计
1426s 不然
1427s 路口下寨
1428s 无嫌可疑
1431s 倘若卫兵抢占山头
1433s 居高临下
1434s 我军岂不危在
1436s 那参军的意思是
1438s 你看
1439s 那儿就坐山头
1441s 山上林木极果
1443s 乃天赐之险
1445s 不如就在山上屯军
1448s 那是一座孤山哪
1450s 四面皆无山岭相连
1453s 倘若卫军驻至
1454s 四面围攻
1455s 我军可就没有退路了
1459s 将军此言差矣
1461s 孙子兵法云
1463s 平高势下
1464s 势如破竹
1467s 我军居山上
1468s 卫军居下
1471s 他们胆敢来攻
1472s 我只需万箭齐发
1474s 木石滚下
1475s 定叫卫兵
1476s 片甲无悔
1477s 但如果卫军为而不攻
1478s 怎么办
1480s 数日之后
1481s 我军粮草断绝
1482s 将会不战自乱哪
1484s 孙子兵法云
1486s 至之死地而后生
1489s 将军领兵征战多年
1492s 不会不明白这个道理吧
1494s 我军一旦粮草断绝
1496s 将士们必将奋起死战
1498s 以当百
1499s 安能不胜
1500s 参军
1501s 这兵法所言
1502s 并非都对啊
1503s 王将军
1507s 丞相每次统兵征战
1509s 都带着我
1511s 丞相御师不绝时
1513s 常吹熏于我
1514s 莫非将军想要抗命
1516s 我
1519s 在下奉命
1522s 这就对了
1524s 大军即刻上山扎营
1527s 参军
1528s 在下的意思是说
1530s 你带两万大军在山上扎营
1533s 我用五千军士在山下立寨
1535s 你我之间形成计较之势
1537s 倘若卫兵来袭
1539s 也好有个照应
1542s 那你就带着本部兵马
1544s 下山立寨吧
1548s 我急退卫军
1549s 丞相面前
1551s 你可分不得功
1552s 我
1569s 蜀军已经占领了阶梯要道
1572s 将军
1573s 此处离蜀军太近
1575s 强武都可以射倒了
1576s 还是请将军回营吧
1579s 临阵交战
1580s 跪在知己知彼
1581s 不深入谈营
1583s 如何看清蜀军阵势
1588s 我们已经被蜀军发现了
1589s 不必慌张
1591s 敌军不多
1592s 你们先回去
1593s 把蜀军引开
1594s 喏
1594s 我再观察片刻
1596s 走
1605s 父亲
1606s 父亲
1607s 退下
1610s 军中只有将士
1611s 吴父子
1614s 禀大都督
1615s 末将奉命前往阶梯打探
1618s 发现蜀军
1619s 已经占领了阶梯要道
1622s 两真是神级妙算
1628s 高我一头啊
1631s 看来上天
1632s 不予我建功的机会啊
1637s 大都督为何自博自叹
1639s 末将认为
1640s 阶梯唾首可得
1646s 司马昭
1647s 你从军不久
1649s 为何出此大言
1651s 禀大都督
1652s 末将曾逼近敌营仔细看过
1655s 阶梯吴国当到处
1656s 只有一座军营
1657s 兵不过五千
1659s 而蜀军大营
1660s 全扎在
1660s 阶梯东面的石山上
1662s 只要我大军围攻
1663s 必能夺取
1664s 蜀军居高临下
1666s 府市四面
1667s 我军只能仰攻
1669s 事倍功半
1671s 取它怎能不难
1673s 末将曾绕山一周
1675s 发现那是一座孤山
1677s 山随高却孤立无援
1678s 一旦被围
1679s 便无路可逃了
1681s 更要紧的是
1682s 那山离河流很远
1683s 屈水不易
1685s 就算山上有泉水
1687s 也不足大军引用
1689s 大都督请想
1690s 一旦断了他们的水源
1692s 他们能支撑几日
1694s 司马昭
1696s 带我前去观察
1699s 不行
1700s 大都督
1702s 难道你连我都信不过吗
1704s 不是信不过你
1710s 我更相信自己的眼睛
1719s 司马昭
1721s 这情形你可仔细探查过
1725s 而当时离蜀军后队
1726s 只有一箭之地
1728s 看得一清二楚
1729s 全军立即八营袭击
1734s 以迅雷不及掩耳之势
1736s 为主截停蜀军
1738s 遵命
1772s 此我见功了
1773s 统领将军是谁
1779s 马良之弟
1780s 蜀参军马肃
1781s 传言说
1782s 他跟随朱国亮多年
1783s 深知兵法套律
1786s 我不信任何人
1787s 看他如何行事
1793s 我朕来看
1794s 徒有虚面
1796s 朱国亮敢用此人为将
1801s 岂有不败
1804s 看来朱国亮半是英明
1806s 也要会以此人了
1811s 街庭左右
