81s 好像是一座空城。
84s 传令,后军便前军撤军。
89s 粮草都在城中,为何撤军?
99s 诸葛亮在城中设了埋伏。
101s 如此大万小城,即使有伏兵也并不多。
110s 请都督下令,末将领兵杀进城去。
113s 城中伏兵事不多,城中之外的山上哪里?
121s 诸葛亮平生谨慎,从不走险。
124s 城中伏兵伏地出现在城中。
126s 快撤,撤兵完了,山中伏兵就杀出来了。
163s 撤!
190s 你退军了?
191s 为何你轻弹一首琴曲,竟能下退司马仪十几万大军?
200s 平生谨慎,从不行邪,见城门四开,我抚琴独坐。
208s 他便深信,城中必有伏兵。
216s 天呐,城下要是弹错一个音符,
219s 把此城踏为平地啊
221s 知音
230s 我若是死马 尽快离开
245s 遵命
258s 禀大都督
259s 城外拿到一个打柴的百姓
262s 末将沈温后得知
264s 得知
266s 西城中
298s 只有祝国亮和一两千老弱残兵
300s 我们上他的当了
302s 我军退后
314s 祝国亮匆匆撤走了
316s 你妙算
326s 父亲不
327s 父亲不要难过
337s 这都是天恕我
339s 我难过的就是天恕
341s 天为何不助我
346s 丞相真是料敌如神
349s 我刚命将士们
350s 备好了滚木雷石
352s 徐晃就带着三万轻骑沙岛
354s 我军万箭七发
356s 当场就射翻上千地区
359s 据说徐晃身重书鉴
361s 八成是死了
364s 文昌辛苦了
367s 若不是你守住了杨平关
370s 我大军何以能平安
372s 退回蜀中
374s 只是不知道子隆
377s 怎么样了
378s 赵将军归营
380s 丞相
384s 我回来了
385s 子隆
387s 你受伤了
389s 我的身上
390s 都是魏军的血
392s 丞相有所不知
393s 子隆将军让我在前
395s 领军撤退
396s 他自己断后
397s 一连斩杀了
398s 一连斩杀了魏军三员战将
400s 才吓得追军不敢靠前
403s 丞相
404s 我军未曾短少一人一骑
406s 连兵器也未曾缺少一件
409s 你子隆
413s 丞相
415s 来
417s 赏子隆金五百
419s 金一万匹
421s 丞相
423s 三军无功
425s 我有何脸面受伤
427s 如丞相非要赏在下的话
433s 那则是赏罚不明
438s 且把金银丝帛存于库中
441s 以后赏给其他奖势吧
443s 你再试试
446s 长暂子隆忠勇
451s 今日我看
453s 而且一帛云天啊
458s 赴王平归营
465s 召王平来见
471s 诺
472s 丞相有令
475s 召王平觐见
477s 拿根绳子来
496s 保护父上
498s 拜见丞相
502s 王平
508s 你生性谨慎
511s 因此我才命你相助阿肃
516s 但扎营一时
518s 你为何不见哪
521s 回禀丞相
522s 在下再三劝见参军
524s 让他在五路总口出安营下寨
527s 但他大怒不从
530s 后来
531s 为君为善
532s 在下也曾十多次引军冲杀
535s 怎奈
536s 夸不敌众
540s 在下齐请丞相
543s 讲罪
545s 赵马素
552s 你自小暴毒病术
586s 精术战法
588s 我也屡次告诫你
593s 接廷
595s 乃我军根本之敌
598s 可你到了阵前
601s 目空一切
603s 厚大喜功
605s 不听王平之见
607s 失守阶厅
609s 几乎令我大军
610s 陷入万劫不复之境
614s 你自己说
616s 该当何罪
619s 这是唯一人的罪责
633s 立故军令状
636s 敢当军法
646s 丞相
648s 这马素虽有过失
650s 可念在其
652s 跟随先帝和丞相二十多年
655s 我看念其旧薰
657s 罪免其死
659s 以后让他将功赎罪
662s 丞相
663s 马素不可轻饶
665s 我几十万大军
669s 靠什么凝聚军心
671s 靠的就是赏罚分明
673s 言必信行必果
675s 如果立了军令状
677s 而不执行
678s 那么今后还会有谁
680s 严守军令
683s 丞相
684s 如果你宽纵于他
686s 君威何在
688s 丞相
692s 天下未定
693s 数岸地下人少
695s 谋略之事本就不多
697s 马素平日做事勤勉
699s 又熟知兵略
701s 此次接听之败
702s 皆因敌军态度
703s 并非马素一人之过
705s 丞相
706s 丞相
707s 承让
709s 胆死的两万弟兄
732s 往复先生教诲
737s 不堪重任
739s 同时接听
743s 总有万死
745s 也不足以行罪
750s 请丞相执行军法
760s 杀我士重
762s 以名正典型
764s 我出去
795s 勿施行刑
798s 丞相
799s 丞相
800s 谢丞相
801s 将培育大安
807s 马素只有来生再报偿了
811s 用肠留步
862s 用肠喝了这碗酒
882s 多谢文昌
883s 马素
902s 生不能随诸位将军
906s 征伐讨逆
908s 当诱我属中将士
912s 披荆斩棘
913s 巫王不胜
915s 待诸位将军
916s 北伐建功
918s 成就大业之日
921s 九泉之下
922s 也定当开怀
927s 丞相
938s 马素告辞了
940s 用肠明法
982s 临世而聚
984s 只有街庭之事
987s 就街在臣
989s 臣受任无方
992s 知人不明
994s 律事多案
996s 罪何难逃
998s 请陛下罢免臣职
1001s 以正皇位
1003s 臣跪地俯首
1006s 死待天命
1008s 礼安来了吗
1010s 尚书令已在外面候旨
1016s 快传他进来
1017s 遵命
1018s 请
1019s 臣奉旨见驾
1030s 艾京
1032s 你来得正好
1033s 乖乖免礼免礼
1034s 谢陛下
1035s 朕拿到了
1036s 丞相的请罪奏折
1038s 他让朕罢免他的职权
1040s 礼安啊
1042s 依你看
1043s 这事应该怎么办啊
1045s 不知陛下
1047s 心意如何呀
1049s 朕是左右为难啊
1051s 你说
