4s 丞相啊,如果要是二次北伐,你是不是打算从陈仓进军的?
12s 真是怀念荆州啊。
29s 要是荆州在我们手里的话,北伐大军便可车船并进,数日之间抵达许长。
38s 粮草军械兵马更可以源源相叙。
43s 如今失了荆州,北伐大军每次出使,不经千里数道,跃八百里秦川,事倍功半不数。
55s 稍有不慎,形势便会逆转。
59s 上次北伐就是因为延误太久,以致于接听之时功亏一篑。
66s 丞相。
68s 你们退下吧。
70s 我给陛下写一份表彰,先帝律汉贼不两立,王爷不偏安,故托臣讨贼与。
86s 以先帝之名,良臣之才,也知臣罚曹蔚,是以弱敌强也。
93s 然而不罚贼,王爷必亡。
96s 与其坐儿待王,不如拼立法职。
100s 臣受命至今,清不安息,食不干畏。
105s 深知北伐必先南征,故由五岳渡庐深入布茅之地,易安厚防。
112s 非不自惜,是知王爷不能偏安于蜀中,必奉先帝之意,图北伐大局。
123s 在下将为。
130s 何事啊?
131s 子龙老将军过世。
133s 说什么?
151s 半个时辰前,子龙老将军在他的府上过世了。
158s 天哪!
159s 管我一臂啊!
173s 无尽都亡谷殆尽了。
187s 子龙家有何遗言啊?
198s 老将军,在去世前没有什么遗言。
207s 在去世前没有什么遗言。
209s 只是大喊了三声。
213s 大喊什么?
216s 罚成败立顿,非臣之所能逆毒也。
312s 陛下,大都督曹修刚刚在石亭大败,未损失惨重,朝野不宁,三军惊害。
326s 此时正是北伐良机啊。
329s 子龙老将军刚刚过世,国师一助,君哲一率。
335s 朕伤心之余,担心这是北伐的凶兆啊。
342s 陛下不必担心。
344s 臣夜观天下,地气难移,北斗惠暗,正和我军伐位。
355s 相父啊,朕有一言,说出来你可不要生气啊。
361s 陛下请讲。
365s 你说。
366s 我们开国以来。
368s 魏军从来不敢犯我,倒是相父频频攻伐人家。
373s 如果相父不举兵的话,属魏无,相安无事,这天下岂不太平吗?
380s 恕臣冒昧,陛下今年多大了?
389s 朕十七了。
392s 陛下青春年少,是属魏无三国最年轻的君王。
398s 今后的岁月还长着,可陛下知道臣多大了。
405s 相父大概快五十了吧。
409s 五十有二。
411s 二,臣如果想偷安,完全可以不发威。
420s 每日上朝下朝,过平安的日子。
425s 平蜀中各出险要,二十年可保无虞。
430s 可二十年之后呢,曹魏必会兴兵伐蜀。
435s 到那时,臣早已亡故,可陛下才三十七啊。
443s 真的吗?
444s 凡偏居异余者,都不能久迟。
450s 要么进去,要么坐卧。
453s 臣之所以一再举兵备伐,
459s 就是想在有生之年,攻取中原,谋定天下。
465s 只有到了那时候,陛下才能安享千秋大业啊。
475s 朕明白了。
477s 不过相夫,你在表上说,
481s 至于北伐成败立顿,非臣知所能逆独也。
486s 你这话岂不是知其不可为,而强为之吗?
491s 与其坐以待毙,属于伐之。
499s 大将军啊,你可来了,你快请吧。
504s 皇上厚你多时了。
506s 我听说几天前,皇上召见过那司马仪,是吗?
511s 是。
512s 我还听说,皇上召见司马仪,
515s 他司马仪坐的是天子皇驾,脚不沾地,直上玉街是吗?
520s 是。
522s 大将军,你快请啊。
529s 我归位天子皇叔,太子太傅,领天下兵马的大将军,
535s 却让我从朝廷门一直走到这儿来。
537s 大将军,你息怒。
540s 大将军啊,你尊贵,尊贵之人不与下臣计较,对不?
547s 大将军,快请吧。
550s 尊贵之人?
552s 快请快请。
554s 臣叩见吾皇。
567s 曹真,朕命你督督雍良军情。
572s 令已经下了两个多月了,你却还在京都拖延着,
576s 不娶雍良上任。
578s 陛下息怒,臣家中有些小事,安排完了我就走。
585s 娶妾还是纳妃,听歌还是管我。
589s 你只顾享乐,可知道边关已经出大事。
595s 出什么大事了?
597s 你睁眼瞧瞧,诸葛亮再度被罚,率领三十万精兵,直奔尘仓而来。
608s 诸葛亮疯了,诸葛亮他疯了。
614s 诸葛亮他疯了,亲自抄斩他的后路,接廷大败。
618s 接廷之战与你有何关系,那是人家司马怡的功劳。
626s 你只会劝朕用曹氏宗亲提防司马氏。
630s 我看照这样下去,司马氏是提防住了,可是江山要丢给诸葛亮了。
638s 三叔,我知道,你是嫌雍良苦寒,不愿前往上任。
650s 诸葛亮,朕成全你,把你全部权位,拙司马怡来担任大都督。
658s 陛下,万万不可啊,陛下。
661s 陛下,臣这就往雍良继任。
665s 我哪怕不要这把老骨头,我也要大败蜀军,为陛下建功。
671s 好,朕限你三日之内前往雍良,督率三军迎战。
679s 如果再败,就不要回来见朕了。
683s 臣领旨。
692s 把你的儿子曹爽也带上,让他上阵杀敌,历练历练吧。
699s 遵旨。
708s 卫将。
769s 大军围城以后,他死战不降。
775s 我军攻上城市十几次,都被这守军杀退。
779s 良将啊,卫军都在迎战。
789s 只有他胜如贤廷信布,片言不发,依令不下。
795s 而只要他从守军身后走过,守军将士们纷纷拼命接战,难以攻克啊。
812s 丞相,末将愿亲自领军攻城。
816s 你是中军上将,重任还在后头呢。
820s 夜下,轮不着你上阵。
824s 这个区区的陈仓城,已经阻挡我大军十多天了。
831s 丞相啊,我是怕战事如此焦灼下去的话,只会有利于曹蔚而不利于我军的。
838s 卫军援兵已到陈仓尾五十里,正在立战扎营。
847s 何人领军?
848s 曹真。
850s 我还以为是司马仪。
852s 曹瑞真是个昏君,总是爱用曹氏的情况。
860s 看来司马仪还是被气了。
863s 那我军应如何应应?
866s 陈仓有好招顾手,一时难下。
870s 曹真来了,反倒好办了。
874s 博悦。
876s 丞相。
877s 东吴用炸响之际,大败曹修。
880s 你也用炸响之际,转曹真一回入。
884s 丞相,因为之前有了曹修的前车之剑,
890s 如今曹真就不会上当了。
893s 兵法之棋在于不寻常规。
897s 正因为有曹修的前车之剑,
901s 曹真才不以为我们会用同样的计策对付他。
906s 反而容易成功。
908s 再者,上次被罚,司马仪剑去打过。
915s 曹真身为忌恨。
917s 此次他领军罚我,求胜之行,应比司马仪更胜。
925s 这好办。
929s 丞相,写信也不费事。
932s 我现在就去写一封炸响书去。
934s 传命前军,每日只行十里。
948s 逢山几首,玉河几直。
951s 诸葛亮诡计多端啊。
953s 我们只能稳扎稳打,步步为营。
956s 大徒徒,英明啊。
958s 好招正在陈仓血战。
961s 儿请命率两万军前去解围。
963s 等不住气了。
965s 陈仓是儿,诸葛亮早服下服兵了。
971s 大徒徒,你深知诸葛亮用兵之道。
975s 万一好招不敌,陈仓有事怎么办?
979s 好招,乃司马仪所见。
