25s 你是副都督。
27s 是。
28s 在曹振辉拥梁养伤期间,
32s 你应主理大都督,
34s 直到我来继任,
36s 是吧?
37s 是。
38s 可我在来此路上,
40s 抓获了九个逃兵。
44s 巡问后得知,
46s 英中军心大乱,
48s 日日都有逃兵。
50s 你是咱们执掌军纪的。
55s 禀大都督,
57s 逃兵太多,
58s 在下实在无法依约束。
60s 无法约束,为何不战?
64s 战了逃兵,
67s 日后谁敢出战蜀军呢?
69s 逃兵能战吗?
83s 牵涉一少人吗?
90s 拉下郭怀,
103s 斩首示众。
104s 诺。
105s 大都督,
106s 军心动乱,
107s 最在曹申的。
108s 大都督,
109s 郭将军虽然执法不严,
110s 但曹战离任之后,
111s 一直是他布军迎敌,
112s 否则,
113s 钟国亮早就杀来了。
114s 是啊,大都督,
115s 饶了他吧。
116s 大都督,
122s 如果再有逃兵,
123s 与郭将军同罪。
124s 饶了郭将军吧。
125s 请大都督开恩。
126s 请大都督开恩。
127s 请大都督开恩啊。
129s 听着,
136s 不恕军威,
138s 不战自愧,
140s 即日起,
141s 逃一个斩一个,
144s 士族逃跑斩五掌,
147s 五掌逃跑斩十掌,
151s 十掌逃跑斩校尉,
155s 校尉逃跑,
157s 斩将军,
161s 将军逃跑,
162s 我司马宜自斩投入,
164s 向朝廷谢罪。
166s 遵命。
167s 通杖四十。
176s 诺。
177s 现在可以议兵了,
185s 众将听令,
188s 都第一道军令是,
193s 这个甩案给我换了,
196s 立刻打造一座统案,
198s 立在这里。
199s 遵命。
200s 来人。
201s 在。
202s 抬出去。
203s 诺。
204s 本都第二道军令是,
217s 放假两日,
219s 把营中所有酒肉都搬出来,
222s 让将士们饱餐两日,
224s 大醉一场。
226s 遵命。
227s 这将士们如果都喝醉了,
232s 一旦有警,
233s 何以迎敌?
236s 无妨。
238s 把我的率旗插遍山岗,
241s 蜀军文封后,
243s 就是不丧诞,
245s 也得倒退三十里吧。
248s 遵命。
249s 本都第三道军令是,
251s 把前一阵子有功将士的名册报上来,
255s 凡是斩杀过两个蜀军的,
258s 皆升一级,
260s 赏钱五百,
262s 杀四个蜀军的,
265s 升两级,
266s 赏钱一千,
267s 依此类推。
268s 直指各位将军。
270s 遵命。
271s 没说完呢。
273s 凡是没有斩杀过蜀军的人,
276s 不管他是将,是威,
278s 是士,是卒,
280s 立刻斩杀。
284s 遵命。
285s 大胆声。
286s 遵命。
288s 凡还是那些营牌,
295s 将士还是那些将士,
298s 可一看便明白,
301s 大赌赌换人吧。
304s 陈仓已在我军手中,
306s 良道已开,
308s 他司马仪来了又能如何?
310s 千万不要这么想,
313s 司马仪深通兵法,
315s 颇负套律,
317s 是我最棘手的敌人。
320s 丞相,
321s 恕末将眼拙,
323s 我就没有看出来司马仪有什么套律。
327s 上次被罚,
328s 丞相一到空城记,
330s 就惊叨了他。
331s 我来告诉你司马仪的套律吧。
336s 他这个人,
337s 不善于攻,
339s 却善于守,
341s 是天下第一守城大将。
345s 而我们哪,
347s 最讨厌卫军深沟高垒,
350s 坚守不战,
352s 因为时间不利于我,
354s 而有利于敌。
356s 司马仪希望我们强攻一座座城池,
360s 这样,
361s 五十年都攻不到洛阳,
364s 现在你该明白,
366s 坚守不战,
369s 就是司马仪的套律。
372s 看似愚呆,
374s 其实乃大志啊。
378s 明白了。
380s 丞相,
381s 那你有何打算呢?
384s 不消除司马仪,
386s 竟不夺中原。
389s 我们只能诱他出来与我决战,
392s 将为,
393s 龙溪各城,
397s 卫军守备如何?
400s 末将已查明,
401s 在龙溪十五座城池中,
403s 只有武都和殷平的守备是最弱的。
406s 威延,
407s 你能攻下武都和殷平吗?
411s 丞相,
412s 两座小城,
414s 去他又何难?
415s 好,
417s 但不只是攻城这么简单,
420s 你应该知道怎么攻城。
422s 你应该知道怎么办吧?
424s 知道。
425s 先为而不攻,
427s 再攻而不下。
429s 等他卫军来远。
431s 你打探清楚了?
436s 蜀军真的只有三千?
438s 末将看得清清楚楚,
440s 蜀军确实不多,
442s 甚至不到三千。
444s 城池周围五十里,
446s 你也探查过了?
447s 周围的每座山巒都探查过了,
450s 确实没有发现蜀军。
453s 退下吧。
456s 是。
457s 蜀上人,
472s 急于向朝廷告诫啊。
475s 列位将军,
482s 谁肯给本都一个面子,
486s 灭了武都的蜀军?
488s 末将愿望。
492s 好,孙离,
495s 不愧为奋威将军。
498s 我给你三千人马,
502s 条件是,
503s 拿下武都,
505s 赏金封侯。
507s 如果攻不下武都城,
509s 就不要回来见本都了。
511s 遵命。
512s 退下吧,
513s 国怀留下。
519s 营长的军师手下留情,
541s 在下已无大碍。
543s 办件事吧,
558s 不要让将士们知道。
560s 为好三千口棺材,
565s 孙离回不来了。
567s 我不想让他们扑尸山谷。
570s 为什么呀?
572s 武都城在我大营侧移,
575s 蜀军三千人马,
577s 岂敢攻城?
579s 诸葛亮是诱我出军,
582s 半刀伏击罢了。
584s 都督既知孙离回不来了,
588s 为何还要拆他前去?
591s 不救不行啊,
593s 不出手相救。
598s 一旦武都城陷落,
601s 各城的守军就会认定,
605s 被围后本都不会救援,
607s 他们就会不战自愧。
612s 周围几十座城池,
614s 就会相继陷落。
616s 到那时,
618s 军中大营该如何支撑啊?
621s 孙离重用啊,
626s 是才我提到救援武都城,
631s 他开然请命,
635s 虽说我不好当面点破,
637s 但一想到这样的勇将,
639s 有去无回,
641s 我,我心痛欲裂。
648s 请再赐我三千军,
654s 我前去接应孙离,
656s 定能设法将他救出。
662s 敢亲赴险,
663s 再多打造三千棺,
666s 死又何惧,
670s 你先去吧,
675s 我不会让你死的。
677s 前面势力就是武都,
701s 蜀军正在击攻县城。
703s 再探!
704s 诺!
705s 驾!
706s 弟兄们!
708s 为国尽忠!
710s 扬我军威的时候到了!
713s 跟我冲!
715s 我代大将魏延,
731s 丞相差我在此等候多时,
733s 两儿等小贼也非我对手,
735s 快快下马收降吧!
737s 魏延!
739s 我孙离专斩大将!
741s 你拿命来吧!
743s 放箭!
746s 杀!
751s 休跑了贼将!
781s 弟兄们!
782s 郭将军!
793s 你来得正好!
794s 随我杀出去!
795s 魏军败逃了。
838s 你斩获如何呀?
840s 魏将孙离,
844s 因三千兵马援救武都城,
847s 被我斩杀了两千多,
