15s 站住。
23s 丞相病了?
24s 是啊。
26s 丞相得知张八将军伤重而亡,
28s 悲痛欲绝。
30s 昨天去陈仓的路上又淋了雨,
32s 回来就病倒了。
43s 这可如何是好啊?
45s 曹军上任之后,
49s 攻势日盛,
50s 三军都等着丞相调兵遣将呢。
59s 丞相醒了,
61s 请立位觐见。
62s 国兵中惊天气,
105s 三军,
107s 就由你和王平来执掌。
112s 遵命。
113s 还有啊,
116s 让各部回营收拾形状,
120s 做好归师的准备。
124s 三日之后,
126s 黎明启程,
128s 陆续撤回汗中。
131s 敢问丞相,
133s 这次撤兵是诱敌,
135s 还是真撤?
140s 当然是真撤了,
142s 丞相的身体实在支撑不了。
150s 二者,
151s 雨季将至,
154s 那时道路泥濘,
156s 粮草难以转运,
159s 与其撑到那时无功而返,
165s 不如现在就撤。
167s 那,
169s 攻陷的城池如何处置?
175s 需要了,
177s 都放弃吧。
179s 陈仓也要放弃吗?
182s 大军撤后,
184s 无需两刀。
186s 可是丞相,
188s 陈仓城下我军
189s 阵亡了上万的将士人。
192s 我知道陈仓来之不易,
195s 可是大军都撤了,
198s 陈仓一座古城如何守得住啊?
201s 王平啊。
212s 末将在。
213s 大军撤后,
215s 你率两万人马在陈仓道口设斧,
220s 三日之后再撤,
222s 尽防曹真来袭。
225s 遵命。
226s 丞相。
228s 退了吧。
255s 副帅,
256s 昨天半夜起,
258s 南边各城议纷纷腾起烈焰,
260s 天亮后,
261s 儿亲自领军前去打探,
263s 发现蜀军正苍黄而退,
265s 连旗山大道返回汉中。
268s 主国两位何退军?
269s 孩儿出事也不急,
271s 因此我率清纪追杀十余里,
274s 拿下了几个洛丹的蜀兵。
276s 拷问后得知,
279s 原来朱可亮病危了。
283s 病危了?
286s 病危了?
292s 中达,
295s 你说朱可亮是真病还是假病?
300s 这个蜀军他是真退呢?
304s 还是假退呢?
308s 副帅,
309s 儿认为,
310s 朱可亮真病假病并不要紧,
313s 关键在于,
314s 蜀军是真退兵,
316s 还是诱敌之计?
322s 少将军以为朱可亮是真退军还是诱敌呢?
326s 朱可亮用兵谨慎,
328s 他若真退,
329s 必然会在陈仓道口受下伏兵,
332s 等大军回到蜀境,
333s 伏兵才会撤去。
335s 我军不需追杀,
336s 只需前往陈仓道口,
338s 点烟一下蜀军留下的火灶,
340s 便知七乡。
342s 如何知七乡?
345s 军中造犯,
346s 差这十人一造,
348s 如果蜀军留下的火灶过千,
350s 则证明有万军在此埋伏,
352s 如果没有火灶,
354s 或是火灶不多,
356s 则证明蜀军没有剩下埋伏,
358s 我军则可放心地收复陈仓了。
362s 少将军深通兵略,
364s 所说极缺机敏,
367s 老夫敬佩不已。
371s 各位将军,
373s 本都上任时曾夸下海口,
376s 说半月之内必能退敌,
380s 本都失言了,
382s 本都失言了,
386s 本都上任已经十八日了,
389s 晚了整整三日,
393s 整整三日。
395s 大都督兵为所至,
397s 诸葛亮落荒而逃啊。
400s 大都督用心如神啊。
403s 听令,
404s 曹爽率前军,
407s 郭怀殿后,
409s 郭怀殿后,
410s 本都自提中军,
412s 疑似禁兵,
414s 收复龙溪各城邑。
415s 遵命,遵命。
420s 父亲,
421s 这是禁书托御良官带来的,
424s 他少话说,
425s 秋雨将至,
426s 拥粮苦寒,
427s 让天剑绵衣,
429s 千万别染上风湿了。
431s 您看,
432s 可贴心人哪,
448s 好生温暖,
450s 好生温暖,
457s 曹爽归营了吗?
460s 还没有。
461s 你要记住,
462s 曹爽之才
464s 远在其父之上,
466s 日后你要好生再有。
478s 父亲,
480s 曹爽斩获不懈化,
481s 他们的马虎下面
482s 全挂在水军头目。
484s 如此看量真的退军了?
520s 李将军,
521s 昂明啊,
529s 吃亏了吧?
530s 别提了,
532s 我在陈仓道
533s 埋伏了足足有五天,
535s 可是一个备兵都没有来,
537s 正当我准备撤退的时候,
539s 卫军从东边冲杀而至,
541s 我就赶紧挥石迎战,
544s 可没想到,
546s 从西边又杀出几万卫军,
548s 这一下子我被两面夹击,
551s 腹背受敌。
556s 这卫军,
