3s 此乃奇门八卦阵也。
23s 我九岁便识它了。
25s 既然识得,
27s 那你可破得了此阵呢?
29s 能识就能破吗?
33s 好,
35s 你只需率精前来攻阵。
37s 若破了此阵,
39s 我就退回汉中,
41s 永不复出。
43s 当真?
60s 苍天在上,
62s 三君在侧,
64s 君子已把难追。
68s 带领张虎、岳平三将,
93s 听令!
95s 在!
101s 诸葛亮所摆阵,
103s 名叫八卦阵,
105s 设井祠、杜商等八个兵门。
107s 你们别看此阵
109s 威风凛凛,
111s 其实华尔无始,
114s 毫无足迹。
119s 你们先从正东的
121s 升门杀入,
123s 继而转向西南方向的
125s 再从那里出来,
127s 之后迅速地
129s 杀回到北门,
131s 从开门杀入。
133s 如此,此阵即破了。
135s 八卦阵变成了
179s 两一太极阵,
181s 同两一的。
221s 诸葛亮把所有阵门全关闭了,
223s 带领他们根本冲不出来啊。
311s 大丞相有礼,赠送
313s 司马、仲达、墨珠三头,
315s 一共靠军。
336s 走!
341s 从升门杀入,修门杀出,
343s 不料一旦入阵,
345s 什么门都没有了。
347s 诸葛亮令我代话,
349s 让大都督回家去说,
351s 说在
353s 再读兵法,重新战策,
355s 三年以后
357s 再来决一辞熊。
359s 下去。
361s 诺。全军冲杀蜀军战营,
375s 直奔诸葛亮四轮车。
377s 父亲且慢,
379s 诸葛亮分明是想激怒父亲,
381s 用我军冲杀啊。
387s 即使如此,我也不惧他。
389s 郭怀传令。
391s 在。
393s 跟着我的大刀,冲杀蜀军战营,
395s 还捉诸葛亮。
397s 追! 冲啊!
412s 卫军战败了,司马宜的大刀
414s 已经往东南方向逃散。
417s 丞相,给我两万战机,
419s 我追杀司马宜,你带着大军
421s 乘胜追击。
423s 罢了。
425s 为何?
427s 他已经走远。
429s 二者,我军粮草已尽,
431s 不宜长途追杀。
433s 什么?
435s 粮草已尽?
437s 怎么,从没有听丞相
439s 你说起过?
441s 我是怕军心动乱,
443s 所以隐瞒不说。
445s 十日前,
447s 史无中的粮草就该到了。
449s 不料发生何事,
451s 至今
453s 迟迟不来啊。
455s 还会是情景。
489s 还好,
494s 史无中没有率军追杀。
496s 诸葛亮用兵最好设伏,
498s 因此他也怕
500s 我埋下伏兵。
502s 传令,
505s 三军后退五十里,
507s 进入城池要战。
509s 我军令,任何人
511s 不准出战。
513s 遵命。
539s 上将将违!
541s 我问你,为什么
543s 我迟迟不来?
545s 为什么一误我军战机?
547s 关你何事?
549s 带我见丞相说话。
551s 见丞相?
553s 你有脸见丞相。
555s 你见什么见丞相?
557s 你见什么丞相?
564s 你不拆!
566s 你负责运送
568s 二十万弹军粮,
570s 应该本月初八就到。
572s 为何违宪
574s 整整十五日?
576s 沿途道路曲折,
578s 多处塌方了。
580s 小官历尽
582s 千难万险,
584s 紧赶慢赶,
586s 好不容易才赶到的。
589s 一山两道,本相
591s 走过多少回。
593s 再慢也不会延迟
595s 十五日那么久!
597s 分明是你好久误事,
599s 就其都扑到我这儿来了!
601s 丞相,
603s 下官是礼颜内侄,
605s 请你看在李大人面子上,
607s 饶下官一回吧。
609s 安御,
614s 违宪三日就当
616s 除战,
618s 念在你初次运粮,
624s 我不杀你,
626s 从轻发落。
628s 谢丞相!
630s 拖下去,
632s 终章八十!
636s 诺!
638s 丞相!
640s 是不得丞相!
642s 丞相三思!三思啊!
644s 丞相!丞相!
648s 丞相,君粮是我军三军之重,
650s 高安误了良期不说,
652s 更断送了我军大好战机,
654s 怎么能轻饶了他?
656s 高安是礼颜的心腹,
660s 若杀了此人,
662s 礼颜定会猜忌我,
664s 更重要的是,
668s 以后
671s 就没人再敢运粮了。
673s 诸葛亮,
687s 我证你身中犯戒,
689s 我证你
691s 跌落悬崖。
693s 我证你
695s 斧刀加劲,
697s 我证你
701s 死无葬之地。
703s 驾,前进尾巴!
705s 末将率军外出太营,
725s 在蒙山小道抓获这个蜀利。
727s 你是谁,
734s 为何受过军仗?
737s 书军良官,
739s 当官 名叫苟安
741s 因为运粮误了旗线
744s 被祝国亮
745s 打烂了屁股
747s 误了多少日
750s 十五日
753s 怪不得祝国亮
755s 那天没有乘胜进军
757s 原来是军粮没了
759s 你误粮误得好啊
763s 本都再赏你八十军账
765s 饶命啊 大多多
766s 饶命
770s 听着
772s 你愿活还是愿死
773s 愿活
774s 小的
775s 愿活
779s 蜀汉有个大臣叫李延
781s 你认得他吗
781s 大多多
782s 那是我叔父
815s 你去长安
817s 做大魏朝廷的
820s 尚书如何
821s 请大多多下令
823s 小的
824s 愿你消命
836s 父亲
838s 苟安从旗山大营回来了
839s 请求入鉴
841s 让他进来吧
841s 诺
853s 这儿苟安
854s 拜见叔父
857s 你怎么变成这个样子了
860s 侄儿押运粮草
861s 不过就
862s 就吃了几日
865s 祝国亮
866s 打了侄儿足足八十军账
869s 差点把我腿打断
873s 谁让你一无其限呢
878s 回家养息去吧
879s 叔父
881s 侄儿归返途中
882s 捷得一封密信
884s 你
885s 是司马依
905s 写给魏帝
906s 曹芮的亲笔信
908s 父亲
909s 出什么事了
910s 你自己看看吧
914s 诸葛亮
915s 接受了司马依的重金
917s 两人相立密约
920s 相互撤军
922s 以未水为戒
923s 永不互犯
928s 这么重要的东西
929s 你是怎么得到的
933s 侄儿
933s 归国路上
934s 经过暖关酒店
937s 看见两个魏国官员
938s 正在饮酒
939s 侄儿变灵不暇
940s 杀了二人
941s 从一人身上
942s 搜到这封密信
947s 我会在圣上面前
949s 为你请功的
952s 密信的事
953s 你万万不可泄露啊
955s 侄儿明白
957s 你先回去吧
958s 诺
963s 丰儿 马上备马
965s 我去成都
966s 父亲
967s 这是不是
968s 司马依设的离间计呀
970s 你记不记得
971s 几年前
972s 丞相也用过
973s 类似的计谋
974s 致使司马依
974s 被朝廷所废
976s 宁可信其有
979s 不可信其无啊
982s 我是先帝脱孤的重臣
985s 社稷有威
987s 我不能不管他
988s 父亲 父亲
990s 你一旦蹭到了朱葛亮
992s 朝廷必然大乱
993s 蜀汉就完了
997s 丰儿 你急什么呢
999s 朱葛亮
1002s 要是真的被罢撤了
1007s 不是还有我吗
1010s 我就不相信
1012s 我比朱葛亮差
1014s 父亲 父亲 父亲
1023s 这
1031s 陛下
1032s 司马依已经上奏
1034s 魏帝曹芮
1036s 说他与朱葛亮
1037s 私定密约
1038s 两人各自退军
1039s 化疆而至
1041s 永不相犯
1043s 这时
1044s 竟然把陛下你
1046s 和蜀中的文武大臣
1048s 全部蒙在鼓里
1050s 朱葛亮
1052s 他究竟想干什么
1056s 爱卿多虑了
1058s 丞相在北伐前
1060s 朕就劝他不要动兵
1061s 既然咱蜀灭不了魏
1064s 魏国也灭不了蜀
1065s 何不两国修好相安无事
1068s 现在丞相与司马依
1071s 言和修好
1073s 让他主动退兵
1074s 这不也正符合
1075s 朕的本意吗
1077s 陛下呀
1079s 要害不在这里
1081s 要害在于如此大事
1083s 朱葛亮
1084s 他为何不向陛下请旨
1087s 为何要私下里
1088s 与司马依签订密约
1091s 其密约背后
1092s 还有无其他交易
1094s 恕臣直言
1095s 恕汉究竟谁是国君
1098s 是陛下你
1100s 还是朱葛亮
1109s 这么大的事
1111s 丞相不应该背着朕
1114s 陛下呀
1115s 这么多年来
1117s 朱葛亮借北伐之名
1119s 一直掌控着
1121s 蜀汉的全部精锐
1124s 可怕了
1127s 你是说
1128s 丞相会行篡逆之事
1129s 不管朱葛亮
1130s 是否会行使篡逆
1132s 关键是他行使篡逆的话
1134s 陛下能否阻止他
1136s 战胜他
1137s 如果不能
1138s 那么陛下这个君王
1140s 就只有虚名了
1142s 朱葛亮这个强臣
1143s 却是实际上的国君呢
1146s 陛下
1147s 自古以来
1149s 凡是君若臣强的
1151s 齐君没有不死的
1153s 齐国没有不亡的
1155s 对对对
1156s 陛下
1158s 还记得汉先帝吗
1160s 他是怎么死的
1164s 不会的不会的
1166s 先帝在白帝城脱孤的时候
1168s 曾经跟朱葛亮说过
1170s 如果我不成气
1171s 他可以自立为蜀汉之主
1173s 那朱葛亮当时是拒绝了的
1175s 如果他要夺朕的江山的话
1180s 何须等到现在呢
1181s 比一时此一时啊
1184s 那时候朝中有许多
1186s 忠于先帝的文武大臣
1189s 如赵云 孙乾 关兴 张包等
1193s 他们对于先帝的感情
1195s 远远甚于朱葛亮
1198s 朱葛亮神识度势
1200s 当然不敢冒犯
1202s 现在不同了
1204s 前朝的文武大臣都已经过世了
1207s 朱葛亮已经没有了后顾之忧了
1215s 那你说朕该怎么办啊
1219s 陛下立刻下一道指令
1220s 找朱葛亮回京议事
1222s 至此 臣执此信与他当面对峙
1226s 那 他要是不来怎么办
1228s 更说明朱葛亮心存不忘
1234s 心存不归了
1245s 陛下守诏
1246s 说东吴陆迅轻率十五万军
1250s 轻入蜀地
1252s 连破川南八九座关岸
1256s 使吾中将领不能敌
1259s 陛下召我回成都相救
1263s 如果东吴起兵返境的话
1266s 我们早就该有消息了
1268s 不错
1269s 东吴返境是假
1271s 陛下让我回朝才是真呢
1274s 那丞相打算怎么办
1277s 我必须回成都见驾
1281s 丞相
1282s 我军刚刚得到补充
1284s 兵精粮足
1285s 而且牢牢掌握着战场的主动
1287s 而司马仪呢
1288s 又战败了
1289s 兵退了两百里
1291s 可是如果这时候你要是走了
1293s 我们岂不是功亏一篑吗
1296s 说得不错呀
1299s 我猜想
1301s 八成是司马仪做的鬼
1304s 几年前他吃了我一道反奸计
1308s 今日以我之道
1310s 反报于我
1313s 将在外
1314s 军命有所不受
1315s 末将请丞相不要回去
1319s 不行
1321s 我在蜀中地位不同将帅
1324s 我必须回成都见驾
1329s 便是不忠
1330s 便是抗旨
1331s 定会遭人猜忌
1334s 而司马仪
1336s 他所谋的就是让我朝中内乱
1339s 逼我退军
1341s 这样吧
1343s 我让魏延 王平统军
1345s 各部坚守原地
1347s 不必退军
1348s 只有你
1349s 随我回成都见驾
1352s 那末将带多少人马
1354s 带什么人马呀
1357s 怕我有不测呀
1360s 无师计足矣
1373s 吕将军
1373s 丞相已到十里河
1375s 随行多少兵马
1376s 一辆车驾
1377s 从计数十
1378s 随行将军只有将为一人
1380s 远出呢
1381s 后面有没有大队人马
1383s 在下八五十里内全部探过
1384s 没有
1385s 再探
1386s 百里所在
1387s 全部都要探到
1388s 诺
1389s 驾
1396s 列位
1397s 请在此静候
1398s 我亲自去趟十里桥
1400s 迎接丞相
1427s 下官李峰
1428s 拜见丞相
1431s 李峰啊
1433s 你为何独自来此
1436s 丞相
1437s 你没有收到我的信吗
1439s 收到了
1440s 那你为何不带大军护驾
1444s 大军进出旗山不容易
1447s 我让他们原地驻守
1449s 等我回去继续北伐
1451s 丞相可知道
1453s 城里暗藏多大危险吗
1457s 知道
1458s 谁让我是丞相呢
1460s 先帝脱孤之重
1463s 我岂能姑息自己信
1467s 罢了
1468s 你引我进城吧
1472s 诺
1517s 丞相
1518s 陛下有旨
1519s 请你到太宁宫相见
1535s 我说
1536s 这密信的事
1538s 朕还是不追究了吧
1540s 诸葛亮马上就要回朝了
1542s 事已至此
1543s 陛下千万不能再犹豫了
1547s 可是
1548s 朕与相父
1549s 他有父子之情啊
1552s 我很不下心来
1553s 陛下如果很不下心来
1556s 那么先帝的基业
1557s 就要沦入他人之手了
1560s 陛下
1561s 你好好地想一想
1563s 你与诸葛亮
1564s 既有君臣之理
1566s 更有父子之情
1568s 可他是怎么对待你的
1569s 他暗通司马仪
1571s 密夺先帝江山
1573s 昔日
1573s 曹操挟天子令诸侯
1575s 如今的诸葛亮
1577s 就是属中的曹操啊
1579s 李大人把我说成了曹操
1583s 也有道理
1586s 曹操是丞相
1589s 我也是丞相
1592s 但我与曹操
1594s 虽可并提
1596s 却不能并立
1598s 诸葛亮中曹梦得奸
1602s 中间不两立
1607s 臣相回来了
1611s 臣诸葛亮
1613s 拜见陛下
1615s 丞相请喜
1617s 陛下
1618s 北伐大军连战连截
1622s 司马仪兵穷历劫
1625s 臣正要长驱北上
1627s 直到长安
1629s 不知陛下为何突然下令
1632s 让臣回茶不忘
1635s 那个
1639s 朕多日不见相父
1641s 心里十分想念
1643s 想让你回来续一旧
1650s 陛下可知道
1652s 三十万大军出一趟旗山
1656s 有多艰险
1658s 要耗费多少钱粮
1660s 可知道前方将领攻城拔寨
1663s 流了多少鲜血
1665s 牺牲多少性命啊
1668s 这
1670s 陛下
1671s 事已至此
1673s 你不必多善
1675s 你是天子
1676s 何惧下臣
1678s 以言此话说的
1681s 我有何罪
1683s 请陛下直言
1693s 相父
1694s 这儿有封信
1696s 你看看吧
1697s 司马仪请陛下
1710s 好字
1712s 好文章
1714s 好计谋
1716s 陛下
1718s 可相信这信上写的事情吗
1723s 朕不大信
1725s 不过
1726s 诸葛亮
1728s 陛下当然不相信这是真的
1731s 所以才召你回朝议事
1733s 问个究竟
1735s 但是
1736s 此信是真是假
1738s 应该由你来禀告皇上
1741s 毕竟这信上说
1742s 是你与司马仪达成的协议啊
1745s 此信从何而来啊
1754s 独卫苟安
1755s 在回成都的路上
1757s 从卫使身上搜出来的
1759s 那个卫使呢
1762s 那人拼命抵抗
1764s 被苟安布下
1765s 杀死了
1766s 那么苟安呢
1769s 对啊 义亲
1770s 你刚才说苟安已经进宫了
1773s 那他现在为何不来啊
1774s 是啊
1776s 臣一早就传他去了
1778s 可
1779s 可现在怎么还没到啊
1783s 如我所料不错
1785s 苟安已经逃离了成都
1792s 江为
1794s 把实情禀报陛下
1796s 诺
1798s 禀陛下
1799s 苟安运送军粮为限十五日
1801s 依律当斩
1802s 但丞相念他是出犯
1804s 又顾忌他是上书令之内侄
1806s 所以往开一面只掌责了八十
1809s 之后苟安便心怀仇恨
1811s 在回去的路上又被卫军掳了去
1813s 随其那亲兵多被杀死
1815s 只有两人逃到了山里
1816s 辗转数日才回到祁山大营
1819s 而如今这两人就在宫外
1821s 陛下若不信的话
1822s 可以召上来作证
1824s 所谓苟安格杀密使
1826s 搜得密信
1827s 纯属胡说
1829s 陛下
1831s 苟安已归降司马仪
1834s 司马仪写了这封信
1836s 让苟安来成都行离间之际
1839s 陛下为何不查呢
1847s 这
1848s 这是听信的礼言的禅言
1850s 这
1851s 这是一时糊涂啊
1856s 陛下
1858s 江为指苟安说谎
1862s 他的亲信密使回朝
1864s 难道就是真的了吗
1866s 礼言
1867s 如今这两个亲兵就在宫外
1869s 而苟安何在
1870s 不管你怎么说
1872s 密信在此
1873s 白纸黑字
1874s 陛下
1875s 你快下旨吧
1877s 先罢免了诸葛亮
1879s 然后再另其祥查
1882s 陛下
1883s 臣有话说
1884s 风儿
1885s 天子面前
1887s 哪有你说话的份
1891s 陛下
1892s 丞相是更古以来
1894s 罕见的忠臣呢
1896s 你有话快说
1898s 那天苟安来给家父送信时
1900s 臣就觉得此事不可靠
1902s 苦劝家父
1903s 不要中了司马仪的离间计
1905s 无奈家父不听我劝
1907s 臣只好派人
1908s 连夜赶往旗山大营
1910s 将此事报知丞相
1911s 请丞相小心在意
1914s 丞相执张熟悍三十万大军
1916s 他如有异心
1918s 完全可以清君策之名
1920s 率领大军返城
1921s 半日之间
1922s 即可谈定成都
1923s 但丞相没有这么做
1926s 他此行
1926s 只待回五十余计啊
1930s 畜生
1932s 你这个家贼
1934s 李延
1935s 你才是畜生
1936s 是逆贼
1941s 相父
1943s 你的忠心
1944s 可昭日月
1946s 居然错怪你了
1949s 臣并不委屈
1953s 只是前方将士们
1954s 用血和性命换来的成果
1958s 应臣一走
1960s 顿时化作乌有
1964s 臣为此心痛啊
1967s 这都是李延的罪过
1969s 来人哪
1970s 在
1970s 将李延拿下
1971s 一马中半
1972s 诺
1976s 放手
1980s 我自己会走
1981s 父亲
1983s 忠孝不能两全
1985s 孩儿不忍看你铸成大错呀
1997s 丞相
1998s 家父虽然有罪
2000s 但请赐他一条活路吧
2054s 李大人
2056s 请
2062s 这是送行酒啊
2068s 不是送行酒
2070s 是交行酒
2073s 那是何意啊
2077s 白帝诚实
2079s 你我受先帝托孤重任
2082s 先帝把梦想托付给了你和我
2086s 但多年来
2087s 你我各忙其事
2088s 生分了许多
2090s 才会酿成今日之祸
2095s 总而言之啊
2100s 我输了
2102s 我唯有一死了
2105s 郑芳
2107s 你对我到底有何仇恨啊
2110s 我对你其实并没有仇恨
2114s 但是我反对你
2116s 用举国之力北伐
2119s 我在蜀中多年
2122s 甚至国力有限
2125s 可你却不停地举国法位
2129s 弄得是冰皮民伐
2132s 内外不宁
2134s 长辞以往的话
2137s 蜀汉要被你榨干了血呀
2146s 我知道北伐以来
2148s 蜀汉子民付出了沉重的代价
2152s 因此我日夜不安
2156s 蜀所事者
2158s 一者天险
2160s 二者汉事正统
2162s 因此才能偏安至今
2165s 但从古至今
2166s 偏安者断不能久安
2170s 先帝明白此理
2172s 才立下了汉贼不两立的誓言
2176s 我受先帝之托
2178s 舍生冒死举兵北伐
2182s 你为何就不明白此理呢
2184s 主不伐位 位必伐蜀
2192s 如果上天相佑
2194s 我定能平定庸良 收复中原
2197s 反之
2199s 要是我们偏安一余
2202s 不思进取
2205s 早晚必亡啊
2208s 不
2210s 宁死也不同意
2222s 平身吧
2224s 谢陛下
2226s 列位爱卿
2228s 丞相正在祁山
2230s 乘胜追及魏军
2232s 朕得到了礼言密报
2235s 称有东吴来犯
2237s 因此
2238s 朕不得不下令丞相
2240s 率师回园
2242s 事后方知
2243s 所谓东吴来犯
2245s 纯属子虚无有
2246s 事情的起因
