6s 相父 这十年下来
9s 你已经古出旗山了
12s 你身体已大不如从前了
15s 可千万要保重啊
17s 谢陛下
19s 此次臣定能成功
28s 相父
30s 陛下还有何吩咐
33s 我扶你上车吧
35s 朕如何使得你是天子
39s 朕既是天子
42s 也是你的义子啊
48s 请你上车吧
49s 臣走了
69s 相父已经老了
105s 真怕
107s 再见不到了
157s 上将军
159s 在下在外巡营
160s 忽然看见此人前来投败
162s 便拿下他面见上将军
166s 你是何人哪
168s 为何来我军中
171s 禀上将军
172s 在下郑文
174s 是魏国前军偏将
176s 与秦朗同手武功
178s 上月蜀军攻城
180s 我等抵挡不住
182s 只得弃城而逃
184s 我等回到大营后
186s 秦朗将弃城之罪全加于我
189s 将坚守之功全归于他
193s 司马仪便升秦朗为前将军
197s 去下令杀我
200s 幸得军中袍泽说情
202s 才幸免我于死
204s 却令我再率部前来
206s 夺取武功城
208s 武功在我手中
211s 你岂能拿得回去
213s 在下深知上将军神武
216s 若我再攻打武功城
218s 岂不自寻死路
220s 又恨那司马仪
223s 上伐不分
226s 逼我上绝路啊
229s 所以在下想来想去
232s 只有前来投奔上将军
234s 才有生路一条
237s 在下求上将军收纳在下
241s 在下愿意牵马追荡
244s 以死报效
258s 想之计来虚化我
261s 拿我当什么人了
264s 来啊
265s 在
265s 将此人推出去斩首
267s 诺
267s 求上将军明察
269s 在下是真真切切
270s 前来投上将军的呀
272s 上将军若是今天杀了在下
274s 往后谁还敢来投靠上将军
277s 上将军不准为军投降
280s 岂不逼我等死战吗
282s 这外面何事啊
286s 报
287s 启禀上将军
290s 城外来了一支卫军
291s 领兵将军自胜秦朗
293s 说是什么
294s 阴阳将军单挑正文交战
297s 陈滚啊
302s 秦朗不是你的上司吗
305s 他的武艺比你如何
308s 请上将军下令
309s 在下愿取他首级
312s 你一表忠心
313s 好
316s 你若能斩下秦朗
318s 我升你做千将军
319s 在下领命
322s 上将军稍待
325s 自拦受死
331s 莫怪我
347s 秦朗狗头在此
348s 请上将军查验
377s 上酒
385s 谢上将军
387s 坐
388s 谢上将军
396s 郑文大
397s 谢上将军
403s 郑文大
405s 既然你投到我的账项
408s 今后咱们就是生死兄弟
411s 我这个人没什么别的长处
413s 就是重义气
415s 喜欢忠勇之士
418s 上将军乃蜀汉第一盟将
421s 为名遍天下
423s 卫军听说上将军在此
425s 早已经有恐惧之心了
428s 郑文大
430s 既然从卫军中来
432s 就应该知道司马一的虚实
434s 他的龙溪大营
435s 现有多少兵马啊
438s 龙溪大营共扎有
440s 左中右三座大战
443s 共计兵马十三万
445s 而且都是卫军的精锐
447s 不少啊
450s 无怪乎司马一
453s 敢坚守不出
456s 上将军
457s 其实司马一早就不在
460s 龙溪大营了
462s 他在何处
463s 他在北渊营中
465s 为何
466s 司马一料诸个量
470s 早晚避过龙中大盗
473s 因此他亲自驻守在那儿
477s 以观动静
478s 还有
478s 北渊营中有多少兵马
480s 五千铁骑
481s 近游司马一之子
483s 司马昭统领
484s 你听见了吧
486s 司马一
487s 而我有铁骑两万
488s 如果全军
495s 攻沙北渊
497s 以四机一定可全胜
499s 收拾了司马一
504s 为全军震动
506s 到那时
508s 中原就可敷战二地
513s 果真如此的话
515s 那上将军
516s 便是北伐守攻
519s 那是
521s 北伐守攻
525s 那是
526s 便是北伐守攻
528s 但丞相留有言命
530s 他不在的时候
531s 三军不可轻动啊
533s 待丞相回来
534s 那就一无战机了
536s 北渊在龙溪之后
538s 距此一百五十里
540s 我军如是长驱奔袭
542s 孤军深入
544s 这是不是太过冒险了
546s 兵者归齐
548s 不入虎穴焉得虎子
551s 正位
552s 末将在
553s 逐你带路
555s 绕过魏军的龙溪大营
556s 直袭司马一
557s 末将领命
562s 上将军
563s 还是等丞相回来
564s 再说吧
566s 丞相声信谨慎
