14s 丞相,咱们的仓劳实之久空啊,恐怕这些余粮只够大军使用三天了。
22s 知道为什么叫你来吗?
26s 丞相是不是想派我去剑阁运粮呢?
29s 敌风何其能干,但战斗断后,也没办法把粮食运出剑阁,换你去就行了吗?
42s 那丞相的意思是?
46s 找一家大户借些粮食,就能渡过春荒啊。
52s 找大户借粮?丞相,这龙溪之地人烟稀少,何来大户啊?
61s 有一家大户,大的梅边,存粮有几十万单。
68s 谁啊?司马怡?
73s 探明,长安大藏刚刚发运了三十万单粮食,由笼中大道直接运到司马怡的大营。
95s 我想派你去,把他劫回来。
99s 好,丞相给我多少兵马?
103s 一千。
104s 一千?这一千兵马,少了点吧?
114s 不是少,是太少了是吗?
118s 三十万单粮食,怎么着也得有三千卫军护送。
123s 正是,丞相只给我一千兵马,而且我要常去奔袭数百里直到龙中。
132s 这别说劫粮了,只恐怕有去无回啊。
139s 只能给你这么多,若是去的人多了,会打草惊蛇。
146s 卫军必有防范。
148s 你带的这一千人,都必须回去。明白了吧?
161s 末将明白。
162s 子俊啊,我军粮仓的情况你也知道。
170s 三十四万大军,就指望你这口粮食了。
175s 堪用的大将里面,只有你曾在卫军领过兵,熟悉他们的情形。
181s 若是换了别人,怕办不成此事。
185s 无论你劫到劫不到粮,都必须在明日三京前回应。
191s 你若不回来,或是劫不到粮,我就得率军撤回汉中。
198s 子俊啊,一切都靠你了。
205s 丞相放心,王平就是分身碎骨,也要完成这个使命。
213s 丞相,保重。
215s 压粮前往龙溪大营,谁敢阻拦?
264s 官方何在?
271s 我们是大都督帐下的亲兵,奉命巡粮。
279s 将军,粮草俱在,想干什么?
284s 查一查,你们是不是一次冲好,蒙骗大都督?
289s 你!
290s 仔细查!
291s 检查完毕,没有发现可疑的东西。
303s 将军,好走。
305s 走!
315s 遵命!
330s 走!
331s 走!
332s 走!
335s 走!
336s 走!
339s 怎么回事?
353s 不知何故,这些牛马车都推不动了。
359s 仔细查查!
360s 遵命!
362s 不行啊,动不了。
364s 不好,一定是刚才那个巡粮官做了手脚。
369s 粮官何在?
370s 启禀将军,下官在。
374s 粮草呢?
375s 刚才木牛流马翻命都不能动它,怎么会没了呢?
455s 难道是擦去高飞了吗?
463s 粮草呢?
466s 刚才木牛流马翻命都不能动它,怎么会没了呢?
472s 是擦去高飞了吗?
474s 还有,你说的伏兵呢?
477s 他们何在?
479s 将军,将军,下官没有欺骗将军。
482s 刚才,刚才确实漫山遍野,全是蜀军的旗帜啊,将军。
486s 拖走!
487s 不必多说了,斩。
489s 拖走!
493s 诺!
494s 朱国亮诱我出战不成,开始诱我军粮了。
503s 他先故意送我们木牛流马,让我们用以运军粮。
510s 之后,再截我们的军粮。
513s 父亲,几十万弹粮,如果落入朱国亮之手,后果不堪设想。
522s 赶紧追杀吧!
524s 怎么追?
525s 由此往南,山路几十条!
528s 你知道他去哪儿了?
530s 就是知道了!
532s 追兵少了,能夺回粮食吗?
535s 追兵多了,会不会遭遇伏击?
537s 难道丢了粮食不成,还要再搭进几万兵马吗?
541s 回营吧!
542s 拜见丞相!
587s 粮节回来了吗?
589s 丞相,你看!
591s 好啊!
607s 你救了我,救了三军哪!
626s 顺天承运,皇帝诏曰,
658s 蜀军北犯已来,司马一等联拜。
664s 丧城师弟损兵者将,
668s 更为痛心者,
670s 使朕费尽心力,愁挫粮饷。
675s 而等却一次就让朱国亮,
679s 竭取三十万弹。
681s 眼下正值春荒,
684s 中原百姓义子相识。
688s 请门心赐问,
691s 你对得起朕,对得起国中受苦受难的百姓们吗?
698s 卓,免去司马一大将军头衔,
703s 暂留大都督印信,以示成戒。
708s 如一个月内再无圣计,
712s 朕将前后罪并处,以尽效尤。
720s 天子圣谕宣完了,
735s 你该接旨谢恩了,
751s 你可要攥住了,
753s 这可是圣旨啊。
755s 上差走了。
777s 眼下正值春荒,
806s 几十万弹粮食,
809s 足可救几十万百姓,
813s 我有罪!
814s 朱国亮,可恨!
818s 偷鸡摸狗之辈,
820s 我要是拿到它,
822s 我定要将它抽筋剥皮!
825s 不要再骂朱国亮了,
827s 偷鸡摸狗也是本事啊,
830s 国亮在,
835s 朝廷才不会免我军权,
838s 如无朱国亮在,
842s 陛下早就杀我了。
845s 大都督,
846s 你看,
847s 下面就是上风谷,
849s 据末将查探,
850s 朱国亮,
851s 把夺来的粮草,
853s 全都放在这里,
855s 谷口中,
856s 由魏延和王平,
857s 率蜀军经略看守。
859s 这好地方啊,
865s 一条小路进出,
868s 都难啊。
871s 大都督,
875s 有蜀军往这边来了。
877s 咱们往北回去。
888s 遵命。
889s 皇上只给了我们一个月的期限,
897s 眼看期限将至,
898s 大都督要早下决心啊。
900s 大都督不要急,
904s 我看您肯过了期限,
905s 也不要清兵冒进。
907s 过了期限,
908s 朝廷会霸却大都督。
910s 朝中来信,
911s 说夏侯渊之子夏侯霸,
913s 已被陛下提升为标记大将军。
916s 我担心,
917s 期限过后,
918s 陛下会用他来顶替你。
920s 而此人狂妄自大,
924s 不学武术,
925s 一旦长军,
926s 不是连累将士们吗?
928s 我们才不愿意受那小子管束呢。
930s 大都督,
931s 快下决心吧。
933s 大都督,
936s 快下决心吧。
937s 大都督,
938s 下决心吧。
939s 大都督,
940s 大都督,
941s 王平率兵五万驻守孤岛,
965s 他们可都是属军精锐啊。
967s 好啊,
969s 要是寻常将军驻守,
971s 我还没机会破敌呢。
974s 大都督何意?
975s 听着,
979s 诸葛亮原本把拱卫大营的五万精锐
982s 调往尚丰谷了,
983s 他的祁山大营就由弱力驻守。
988s 我若派十万精锐,
991s 猛烈攻打祁山大营,
994s 诸葛亮会怎么样?
996s 他必调兵增援。
998s 调何处援军?
1000s 为燕王平。
1005s 那尚丰谷不就空虚了?
1008s 末将明白了,
1009s 请大都督下令,
1011s 我愿率兵前去攻打诸葛亮祁山大营。
1015s 你和孙岭一同率兵前往。
1019s 记住,
1020s 逼近诸葛亮大营时,
1022s 必须让将士们舍生忘死,
1026s 昼夜蒙宫。
1027s 遵命!
1028s 大都督,
1029s 我愿率三万军前往尚丰谷,
1031s 等魏延回军援救大营时,
1033s 我杀他个片甲不留。
1035s 不必了,
1036s 我要亲自率军前往,
1044s 可料用偷鸡摸狗之计,
1048s 劫走我十几万军粮。
1051s 我要亲自把他夺回来,
1053s 给陛下一个交代。
1055s 凡兵法讨略,
1064s 说透了,
1066s 不在数,
1067s 而在道,
1071s 在与阴阳边,
1073s 在与阴阳变化,
1075s 虚实其证,
1077s 数是表,
1079s 道才是根本。
1084s 你若是误透了,
1086s 比学会上千种阵法更重要。
1090s 丞相,
1091s 丞相,
1094s 魏军突然出现大谷精锐,
1097s 直逼我吉山大营而来。
1099s 魏军来了多少,
1101s 司马仪来了吗?
1103s 据报,
1104s 魏军不下十万人,
1106s 多是雍粮精锐,
1108s 其上将孙李国怀都在,
1110s 中军处有司马仪大盗。
1113s 丞相,
1116s 司马仪也亲自来了,
1118s 看来是要跟我们决战了。
1120s 你忘了虚实其证了,
1126s 如果司马仪大盗来了,
1129s 他本人就不会来。
1132s 反之,
1134s 如果司马仪本人来了,
1136s 那大盗就无动。
1138s 我和司马仪较量多年,
1144s 斗兵斗将,
1146s 斗阵斗心眼,
1149s 我已把此人捉摸透了,
1152s 他知道我有精兵驻守上方国,
